,sentences,label
0,I do not feel humiliate,sadness
1,I can go from feel so hopeless to so damned hopeful just from being around someone who care and is awake,sadness
2,I m grab a minute to post I feel greedy wrong,anger
3,I am ever feel nostalgic about the fireplace I will know that it is still on the property,love
4,I am feel grouchy,anger
5,that is been feel a little burden lately was not sure why that was,sadness
6,that is been take or milligram or time recommend amount and that is fall asleep a lot fast but I also feel like so funny,surprise
7,I feel as confused about life as a teenager or as jade as a year old man,fear
8,I have been with petrona for year I feel that petrona have perform well and make a huge profit,joy
9,I feel romantic too,love
10,I feel like I have to make the suffering I m see mean something,sadness
11,I do feel that running is a divine experience and that I can expect to have some type of spiritual encounter,joy
12,I think it s the easy time of year to feel dissatisfied,anger
13,I feel low energy I m just thirsty,sadness
14,I have immense sympathy with the general point but as a possible proto writer try to find time to write in the corner of life and with no sign of an agent let alone a publishing contract this feel a little precious,joy
15,I do not feel reassure anxiety is on each side,joy
16,I do not really feel that embarrassed,sadness
17,I feel pretty pathetic most of the time,sadness
18,I start feel sentimental about doll I have as a child and so begin a collection of vintage barbie doll from the sixty,sadness
19,I now feel compromise and skeptical of the value of every unit of work I put in,fear
20,I feel irritated and reject without anyone do anything or say anything,anger
21,I am feel completely overwhelmed I have two strategy that help I to feel ground pour my heart out in my journal in the form of a letter to god and then end with a list of five thing I am most grateful for,fear
22,I have the feeling she was amuse and delight,joy
23,I was able to help chai lifeline with your support and encouragement is a great feeling and I am so glad you were able to help I,joy
24,I already feel like I fuck up though because I do not usually eat at all in the morning,anger
25,I still love my so and wish the good for he I can no long tolerate the effect that bm have on our life and the fact that is have turn my so into a bitter angry person who is not always particularly kind to the people around he when he is feel stress,sadness
26,I feel so inhibit in someone else kitchen like I m paint on someone else picture,sadness
27,I become overwhelmed and feel defeat,sadness
28,I feel kinda appal that she feel like she need to explain in wide and lenghth her body measure and so on page,anger
29,I feel more superior dead chicken or grieve child,joy
30,I get giddy over feel elegant in a perfectly fit pencil skirt,joy
31,I remember feel acutely distressed for a few day,fear
32,I have see hear and read over the past couple of day I am leave feel impressed by more than a few company,surprise
33,I climb the hill feeling frustrate that I d pretty much pace entirely wrong for this course and that a factor that have never ever hamper I have make such a dent in the day,anger
34,I can t imagine a real life scenario where I would be emotionally connect enough with someone to feel totally accept and safe where it it morally acceptable for I to have close and prolonged physical contact and where sex win t be expect subsequently,joy
35,I am not sure what would make I feel content if anything,joy
36,I have been feel the need to be creative,joy
37,I do however want you to know that if something someone is cause you to feel less then your splendid self step away from they,joy
38,I feel a bit rude writing to an elderly gentleman to ask for gift because I feel a bit greedy but what is christmas about if not mild greed,anger
39,I need you I need someone I need to be protect and feel safe I am small now I find myself in a season of no word,joy
40,I plan to share my everyday life story travel adventure inspiration and handmade creation with you and hope you will also feel inspired,joy
41,I already have my christmas tree up I get two and am feel festive which I m sure is spur I to get start on this book,joy
42,that is wear it once on its own with a little concealer and for the day I m feel brave but do not want to be pale then its perfect,joy
43,I feel very strongly passionate about when some jerk off decide to poke and make fun of we,joy
44,I was feel so discouraged we are already rob peter to pay paul to get our cow this year but we can not afford to not get the cow this way,sadness
45,I was feel listless from the need of new thing something different,sadness
46,I lose my special mind but don t worry I m still sane I just want you to feel what I feel while read this book I don t know how many time it was say that sam was special but I can guarantee you it was many more time than what I use in that paragraph do I tell you she was special,joy
47,I can t let go of that sad feeling that I want to be accept here in this first home of mine,love
48,on a boat trip to denmark,joy
49,I stop feel cold and begin feel hot,anger
50,I need to feel the dough to make sure its just perfect,joy
51,I find myself feel a little discouraged that morning,sadness
52,I feel selfish and spoil,anger
53,I was stymie a little bit as I write feel unsure that I might go somewhere with the story unintende,fear
