,Reviews
1,"Harry Potter thinks he is an ordinary boy - until he is rescued by an owl, taken to Hogwarts School of Witchcraft and Wizardry, learns to play Quidditch and does battle in a deadly duel. The Reason ... HARRY POTTER IS A WIZARD!"
2,
3,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. As she had no middle name, she chose K as the second initial of her pen name, from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said, ""No one ever called me 'Joanne' when I was young, unless they were angry."" Following her marriage, she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she gave evidence under the name of Joanne Kathleen Rowling. In a 2012 interview, Rowling noted that she no longer cared that people pronounced her name incorrectly.Rowling was born to Peter James Rowling, a Rolls-Royce aircraft engineer, and Anne Rowling (née Volant), on 31 July 1965 in Yate, Gloucestershire, England, 10 miles (16 km) northeast of Bristol. Her mother Anne was half-French and half-Scottish. Her parents first met on a train departing from King's Cross Station bound for Arbroath in 1964. They married on 14 March 1965. Her mother's maternal grandfather, Dugald Campbell, was born in Lamlash on the Isle of Arran. Her mother's paternal grandfather, Louis Volant, was awarded the Croix de Guerre for exceptional bravery in defending the village of Courcelles-le-Comte during the First World War.Rowling's sister Dianne was born at their home when Rowling was 23 months old. The family moved to the nearby village Winterbourne when Rowling was four. She attended St Michael's Primary School, a school founded by abolitionist William Wilberforce and education reformer Hannah More. Her headmaster at St Michael's, Alfred Dunn, has been suggested as the inspiration for the Harry Potter headmaster Albus Dumbledore.As a child, Rowling often wrote fantasy stories, which she would usually then read to her sister. She recalls that: ""I can still remember me telling her a story in which she fell down a rabbit hole and was fed strawberries by the rabbit family inside it. Certainly the first story I ever wrote down (when I was five or six) was about a rabbit called Rabbit. He got the measles and was visited by his friends, including a giant bee called Miss Bee."" At the age of nine, Rowling moved to Church Cottage in the Gloucestershire village of Tutshill, close to Chepstow, Wales. When she was a young teenager, her great aunt, who Rowling said ""taught classics and approved of a thirst for knowledge, even of a questionable kind,"" gave her a very old copy of Jessica Mitford's autobiography, Hons and Rebels. Mitford became Rowling's heroine, and Rowling subsequently read all of her books.Rowling has said of her teenage years, in an interview with The New Yorker, ""I wasn’t particularly happy. I think it’s a dreadful time of life."" She had a difficult homelife; her mother was ill and she had a difficult relationship with her father (she is no longer on speaking terms with him). She attended secondary school at Wyedean School and College, where her mother had worked as a technician in the science department. Rowling said of her adolescence, ""Hermione [a bookish, know-it-all Harry Potter character] is loosely based on me. She's a caricature of me when I was eleven, which I'm not particularly proud of."" Steve Eddy, who taught Rowling English when she first arrived, remembers her as ""not exceptional"" but ""one of a group of girls who were bright, and quite good at English."" Sean Harris, her best friend in the Upper Sixth owned a turquoise Ford Anglia, which she says inspired the one in her books."
4," 
Stuck at home? Got some time on your hands? Want to start a long series? But you don't want a dud?Check out this
 booktube video
 all about which series are worth your time (and which ones aren't)! 
Here's the Written Review!
Can you hear me screaming?As expected, the illustrations brought this book to a whole new level. I legitimately want to buy another copy, solely to take it apart and frame it.Each page is just bursting with new life. Honestly, how could you not love such beautiful images?Hogwarts, Hogwarts. Hoggy Hoggy warty warts.I think at this point, everyone and their great-great-grandmother has heard of this book.Harry Potter, orphaned before he was one, was sent to live with his Aunt Petunia and Uncle Vernon. He was always a bit of an odd child - much to his family's dismay.Things just... happened ...around him. Like when he was running from bullies and jumped to the school roof. Or when he got an atrocious haircut (courtesy of Aunt Petunia) and all of his hair grew back in a single night.On his eleventh birthday, a letter comes to him and a whole new world opens in front of his eyes.In short - I LOVED THIS ONE. I thought I loved the Harry Potter books when I first read them, but when I bought the illustrated version...well, that love instantly quadrupled.The fully illustrated Philosopher's Stone still has all the wonder and amazement as the boy-turned-wizard embarks on a harrowing 7-book-adventure and the illustrations bring a whole new dimension.Seriously, I can't emphasize enough how much I love this book. Just look at these images - they're magnificent:Ahh! Just look at sad, tiny Harry. Don't worry kid - life will get better!Not only are these full-color, high quality images but there are so many of them.Often, illustrated books have a picture here or there but not HP. There's pages and pages of pictures like this - and often the pages without full-sized images will have a small illustrations here and there between the large ones.Words cannot express how highly I recommend this one. If you haven't read HP recently...I strongly urge you to check out this book.YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads"
5,"Update – 4/4/2022 – Reread out loud to my kidsBoth of my kids were born after the whole Harry Potter series was released. They are now old enough to start appreciating the story so I thought it would be fun to read it out loud to them. While it did take us a while because, you know . . . life happens . . . we were able to find a few minutes every few nights or so to read a chapter or part of a chapter. It was really fun to see them getting into it. They are looking forward to watching the movie and starting in on the Chamber of Secrets!Original review:One of my first jobs was at a bookstore. When I was a kid my Mom would take me to the mall and I would spend tons of time hanging out at Waldenbooks (who here remembers Waldenbooks?) Right when I became legally old enough to work, I went in and submitted my application and a few weeks later I was selling literature to the masses.Why do I tell you this story on this review, you ask? Well, at the time, young adult/teen literature consisted mainly of RL Stein, Christopher Pike, Beverly Cleary, Judy Blume, and a few other classic Newberry Award winners, but certainly we did not have a YA section to the extent you see it today.Towards the end of my tenure at Waldenbooks - as Oprah's book club was hitting its stride and Men Are From Mars, Women Are From Venus was in its bazzilionth week on the New York Times best seller list - a book display arrived featuring a buzzy new title about a certain boy wizard. I remember the display at the front of the store, and selling a few copies, but I didn't realize what it would become.A few years later (early 2000s), I had kinda gotten out of the loop on what was big in books. I had just finished college, which had taken up most of my free reading time. A friend of mine named Bronco (yup, real name, not a nickname, who also was the Best Man at my wedding) had a copy of this book on his coffee table. Holy cow! Here is that same book we were selling at Waldenbooks about 5 years before - what was he doing with it!?Well, he said it was good, so I borrowed it. I quickly plowed through the first 4 books and then got the pleasure of joining the world in waiting for the release of Order of the Phoenix. And, I noticed when I went to the bookstore, the YA section and selection was not so small anymore. I truly believe it was Harry Potter that opened the door to get more young adults (and even adults, of course) reading and authors interested in writing for that genre."
6,"I'm going to keep this brief since there isn't much to say that hasn't already been said. *clears throat*I think the reason I waited so long to read this series is because I just couldn't imagine myself enjoying reading about an eleven-year-old boy and his adventures at a school of wizardry. I thought it would be too juvenile for my taste. I was wrong, of course.I can honestly say that I loved every minute of this. It's a spectacular little romp with funny, courageous, and endearing characters that you can't help but love.It has talking chess pieces, singing hats, a giant three-headed dog named Fluffy, a hilarious giant with a dragon fetish, a master wizard that's just a little bit crazy, mail carrier owls, goblins running a bank, unicorns, centaurs(!), trolls . . . and probably much more that I'm forgetting. And then there's the lead characters: Hermione, the young scholar who starts out prim and up-tight but soon becomes a true friend; Ron, the boy who has little money but who has an abundance of family and loyalty to his friends to make up for it; and then there's Harry, the boy who starts out sleeping in a closet and ends up being a hero. Harry is kind to those that deserve it, fearless when it counts the most, and wonderfully intelligent. What's not to love? In regards to the ending: I feel silly saying this about a middle grade novel, but I didn't suspect Quirrell a bit! If there were hints that he was the true culprit and not Snape, I obviously missed them.FAVORITE QUOTE: ""But from that moment on, Hermione Granger became their friend. There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.""Now, if you'll excuse me, I'm off to start Harry Potter and the Chamber of Secrets.*******************************************************My reviews of other titles in this series:Harry Potter and the Chamber of Secrets"
7,"My original review was a comparison of sorts between Harry Potter and Twilight. However, this is stupid as the two are incomparable. Honestly, its not even worth discussing. Its not just that Twilight doesn't come close, it is the fact that Harry Potter transcends other similar works. Its peerless. To quote Samuel L. Jackson in Pulp Fiction: It ""ain't the same fuckin' ballpark, it ain't the same league, it ain't even the same fuckin' sport."" There was a day when I thought I needed to defend Harry Potter, in the midst of the now dead Twilight craze, and you can see that below in what was my original review. It is a testament to the power of this series, that while various other franchises (Twilight, Hunger Games) have surged into popularity and then faded, Harry Potter remains unwaveringly strong after nineteen years. It is clear readers hold just as much admiration for these books as they always have. Time has not dimmed that.I will, one day, write an essay about what these books mean to me. Eternal, this is the one that started it all. Original review (circa 2010) A note in regard to the on-going Potter vs Twilight debate: Go ahed, tell me Twilight is better. Tell me that James is scarier than Voldemort, That the Cullens are a better family than the Weasly's That Edward is cooler than Harry, and Bella is smarter than Hermione. Tell me that Stephenie Meyer is more talented than J.K. Rowling. Go ahead, I dare you. Those who think the topic of Harry Potter or Twilight is worth debating and arguing over, are utterly stupid. Quite frankly-this book is amazing. "
8,"Rereading for the 3rd time for the group read.Once upon a time, there was a 10th grader named Khanh who didn't get along with people very well. She wasn't an outcast in school, and all the bullying and teasing stopped with the commencement of high school, but she had always been a bookworm and has generally preferred the company of her own thoughts.Lunchtime had always been dedicated not to eating, but to sitting in the library, browsing through books.(Not to worry, she got her nutrition in 5th period in the form of a giant 6-inch M&M studded cookie and a package of Sour Patch Kids and/or a package of Reese's Pieces. Ah, the effortless metabolism of youth.)One day, there were shiny new books on her school library's ""New Releases"" shelf. Harry Potter, books 1 through 3. She had heard of the books before, of course, since they were a constant presence on the NYT bestsellers list, but she had always avoided them, thinking of them as children's novels.At the grand age of 14, surely she was too old for a little kid's fantasy novel. She had read the Outlander series earlier that year, after all. And it had sex in it. SEX! She didn't really quite understand everything in the book, but the point is, she had read them. Surely, at 14, Khanh was ready for more mature novels.And that did not include Harry Potter. Harry Potter is 11. Khanh is 14. There is a vast difference in their ages. Khanh was a teenager, dammit.But the Harry Potter books were new. Brand new. They were shiny, they had never been touched by another reader. And Khanh was tempted.She picked up the first book in the series: Harry Potter and the Sorcerer's Stone.The end.Or rather, the beginning."
9,
10,I will never ever rate this lower than 5 stars. BEAUTIFUL.
