,Reviews
1,"I think that the failure not only of Children's Literature as a whole, but of our very concept of children and the child's mind is that we think it a crime to challenge and confront that mind. Children are first protected from their culture--kept remote and safe--and then they are thrust incongruously into a world that they have been told is unsafe and unsavory; and we expected them not to blanch.It has been my policy that the best literature for children is not a trifling thing, not a simplification of the adult or a sillier take on the world. Good Children's literature is some of the most difficult literature to write because one must challenge, engage, please, and awe a mind without resorting to archetypes or life experience.Once a body grows old enough, we are all saddened by the thought of a breakup. We have a set of knowledge and memories. The pain returns to the surface. Children are not born with these understandings, so to make them understand pain, fear, and loss is no trivial thing. The education of children is the transformation of an erratic and hedonistic little beast into a creature with a rational method by which to judge the world.A child must be taught not to fear monsters but to fear instead electrical outlets, pink slips, poor people, and lack of social acceptance. The former is frightening in and of itself, the latter for complex, internal reasons. I think the real reason that culture often fears sexuality and violence in children is because they are such natural urges. We fear to trigger them because we cannot control the little beasts. We cannot watch them every minute.So, to write Children's Literature, an author must create something complex and challenging, something that the child can turn over in their mind without accidentally revealing some terrible aspect of the world that the child is not yet capable of dealing with. Carroll did this by basing his fantasies off of complex, impersonal structures: linguistics and mathematical theory. These things have all the ambiguity, uncertainty, and structure of the grown-up world without the messy, human parts.This is also why the Alice stories fulfill another requirement I have for Children's Lit: that it be just as intriguing and rewarding for adults. There is no need to limit the depth in books for children, because each reader will come away with whatever they are capable of finding. Fill an attic with treasures and the child who enters it may find any number of things--put a single coin in a room and you ensure that the child will find it, but nothing more.Of course, we must remember that nothing we can write will ever be more strange or disturbing to a child than the pure, unadulterated world that we will always have failed to prepare them for. However, perhaps we can fail a little less and give them Alice. Not all outlets are to be feared, despite what your parents taught you. In fact, some should be prodded with regularity, and if you dare, not a little joy. "
2,"THIS BOOK IS MY DREAM.It’s Alice’s Adventures in Wonderland, plus Through the Looking-Glass and What Alice Found There, plus a ton of critical analysis and fun facts and biographical info and poetry and background and cultural and period information and bonus illustrations and basically all you need or could ever want to know, except if you’re me and your love for and curiosity about Alice and Lewis Carroll and Wonderland will never be satiated.And also it’s about a square yard and the font is tiny and it weighs about 30 pounds and takes an eternity to read.I loved this so much that it made my heart hurt to finish it. My version of paradise is probably something like this, where I’m alternating between reading the original text I love more than anything and eloquent, wise, humorous elaboration on things I had never known. The more I learned, the more I wanted to know.I guess you could say I grew…curiouser and curiouser.I love myself.Anyway, my bookmark for this book was a folded-up sheet of lined paper on which I wrote down the titles and works of art and research queries I wanted to know more about as I read. I filled up both sides of that sheet.Absolutely every aspect of this book is gorgeous and curated and fascinating. I don’t really know how to review this because it basically transcended reading for me. It was just a perfect experience.Bottom line: If you love Alice like I do, or really really like it, you need to read this book. It’s a gift. That’s all I can say.-----------pre-reviewi have never, in my entire life, cried in public over a book.until today.THIS BOOK MADE ME CRY IN PUBLIC!more of a review to come??"
3,"Try to avoid hyperactive white rabbits Alice's Adventures in Wonderland aka Alice in Wonderland How did Caroll get his ideas?Many questions arose both around Carroll´s alleged drug consumption and the mental state of the author and besides himself, nobody will ever know. But it has been used to argue for pro drug consumption by hippies, for damnation by all of their political and ideological opponents, and as part of The myth of how authors find inspirationThe idea of how the mental state of a writer, or artist in general, influences her/his works is even more fascinating, because the line between sane imagination and creativity and madness or getting lost in a world one created her/himself is thin. Just genetic luck or pure coincidence may make the difference between a world-building, ingenious, and very successful author superstar and severe, lifelong mental illness. Being in the zone and flow state of positive creative overkill or of uncontrollable mindfucks one really isn´t into. Mental strength and self-discipline, to let the demons work for one instead of killing them, or a small pharmacological help may make the difference between world fame and mental asylum and completely blocking or losing the controllable and not harmful symptoms might destroy the ability to make such works, take away the needed basis of dreams, hallucinations, and loss of reality necessary to create unique works. A manifestation of how precious and fragile those human egos, fictional surrogates of what the brain wants, are.One of the first comedic fantasy works with depthAt a time when there was close to no fantasy literature available, Carroll wrote a precursor of today's bizarro fiction/fantasy/ crossover/horror/comedic whatever genre, focussing on the hero´s journey of one main plot with the strangeness and surreality of the other characters and environment as main driving engines. Through the Looking-Glass, and What Alice Found There Don´t look behind the mirrorsMaybe a bit too strangeBecause of the violence and weirdness, I wouldn´t consider it as a clean, normal read for all ages anymore, but closer to the elder kid section. A true classic, having a lasting impact on pop culture and many other works and tinkering with the ideas of reality, consciousness, the layers of dimensions that might lie beyond the known three, and the realm of interpretations, connotations, and innuendos. More in it than in stereotypical standard classicsBecause it is highly subjective, it is very difficult to draw the line between witty, hidden criticism and satire and simple plot devices with coincidental benefits, and just the author knows what the true intention was. But just that so many, big, clever, whatsoever generations of adults and parents are thinking about and puzzling around what hidden meanings might be behind that lovely story with beheadings, bipolar, schizophrenic, and generally prone to mental illness side characters, highly developed nanotech that let´s one grow and shrink and stuff, differentiates it from other classics.The extra easter goodie for the adult readersOne of the rare examples where timeless, all-devouring questions have been compressed and distilled to an allegedly benign, nice, little tale for the kiddies, but the deeper the interested adult digs, the further she/he explores the Matrix-style abyssal depths of the hidden human thoughts, fears, and imaginations, the bigger the WTF factor becomes.Inspiration unknownI don´t know where Carroll took his ideas from and what inspired him to invent this tale, as for instance other pioneers of fantasy tended to use, steal, and adapt old mythology, but much of the content is just so bizarre that it can´t be compared with the typical standards of the innocent (except the violence, opportunism, sexism, racism, extremism, and many other evil isms) old tales.Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: https://tvtropes.org/pmwiki/pmwiki.ph..."
4,"If anyone ever tells you that you can’t write a book, keep in mind Lewis Carroll.Lewis Carroll, the author of Alice’s Adventure in Wonderland, is actually a pen name (As Lisa of Troy isn’t my real name, he already gets bonus points from me). His real name was Charles Lutwidge Dodgson. Wikipedia describes him as “somewhat asymmetrical.” He walked rather stiffly and awkwardly, and he was deaf in one ear. He had a weak chest from a bout of whopping cough and a stammer.And yet…..He wrote Alice in Wonderland. Everything was smooth sailing from there on out, right?Of course, not!In June 1865, the first two thousand copies of Alice’s Adventure in Wonderland were printed. However, the illustrator, John Tenniel, was so dissatisfied with the printing of the pictures that Carroll decided that all 2,000 copies would be sold as wastepaper. Carroll wrote in his journal about how he probably would not even break even. According to Wikipedia, there are only 22 known copies of the “wastepaper” version in existence, and they are incredibly valuable. Here’s hoping that my mistakes will one day be worth millions!What did I think of the story itself?Dodgson made some huge gambles. For starters, he picked a female protagonist in the 1860’s. Alice is having adventures, not talking about boys or love. Thank you, Mr. Dodgson!The author is also highly creative, inventing all different kinds of characters from the Cheshire Cat to the Queen of Hearts. Alice also drinks and eats to become smaller and larger. This was such a great concept to think about. Aren’t there instances where you feel like you have very little power, almost voiceless, and other instances where you feel like you can make a great big difference, where you are a key player?“What is an unbirthday present?”“A present given when it isn’t your birthday, of course.”The opening to Alice’s Adventure in Wonderland is such an intriguing scene. Alice sees a rabbit dressed up, looking at his watch, and stating, “Oh dear! Oh dear! I shall be too late!” For me, this is the perfect blend of reality and fantasy. I can imagine being in a park and seeing a rabbit hopping out from his or her hiding place. It isn’t too far of a stretch to imagine it also clothed and talking.In Through the Looking-Glass, there is a poem within the book entitled, Jabberwocky, which I read back in nineth grade. Reading it again, it almost cries out to be read aloud. It is so much fun!Also, traces of Through The Looking-Glass can be seen in Neil Gaiman’s Coraline which I loved.However, this type of literary genre is not my favorite. Philip Pullman (my favorite author) says this of how to write, “think of some interesting events, put them in the right order to make clear the connections between them, and recount them as clearly as you can.” In this particular case, I didn’t see the connection between scenes. Alice seems to shift quickly between her interactions, and I don’t understand how this is one united story. Because the story is so disjointed, I didn’t feel like we were making any progress and didn’t feel the suspense rising.The other question when you go into an alternate realm is “How are we going to get home?” The answer to that question in this book is entirely underwhelming.Based on my research, it appears that there is some symbolism underneath the story, but I don’t fully understand what that is. Perhaps it is a function of not living in the Victorian era or understanding the politics and mores of Oxford.Now if only I can think of a children’s story that will stand the test of time……if not, I guess at least I’m not asymmetrical. Connect With Me!Blog Twitter BookTube Facebook Insta"
5,"(Book 868 from 1001 books) - Alice's Adventures in Wonderland & Through the Looking-Glass (Alice's Adventures in Wonderland #1-2), Lewis CarrollThrough the Looking-Glass, and What Alice Found There (1871) is a novel by Lewis Carroll (Charles Lutwidge Dodgson), the sequel to Alice's Adventures in Wonderland (1865). Set some six months later than the earlier book, Alice again enters a fantastical world, this time by climbing through a mirror into the world that she can see beyond it. Through the Looking-Glass includes such celebrated verses as ""Jabberwocky"" and ""The Walrus and the Carpenter"", and the episode involving Tweedledum and Tweedledee. The mirror which inspired Carroll remains displayed in Charlton Kings.عنوانهای چاپ شده در ایران: «آلیس آنسوی آینه»؛ «ماجراهای آلیس در سرزمین عجایب و سفر به درون آینه و آنچه آلیس آنجا یافت»؛ نویسنده: لوئیس کارول؛ تاریخ نخستین خوانش: ماه مارس سال2001میلادیعنوان: آلیس آنسوی آینه؛ نویسنده: لوئیس کارول؛ مترجم: محمدتقی بهرامی حران؛ تهران، جامی، سال1374؛ در138ص؛ شابک9786001760235؛ چاپ دوم سال1389؛ موضوع: داستانهانی نوجوانان از نویسندگان بریتانیا - سده 19معنوان: ماجراهای آلیس در سرزمین عجایب و سفر به درون آینه و آنچه آلیس آنجا یافت؛ نویسنده: لوئیس کارول؛ مترجم: جواد دانش آرا؛ تهران، فرهنگ نشر نو، سال1395؛ در462ص؛ مصور؛ شابک9786008547044؛ آن‌ سوی آینه؛ دنباله ای بر کتاب «آلیس در سرزمین عجایب» است، مرحله‌ ای که سرانجام «آلیس»، که هویت خود را در «سرزمین عجایب» یافته، سعی در شکل‌ دادن آن، و پیدا کردن جایگاهش، در اجتماع دارد؛ «لوئیس کارول»، کتاب «آن‌ سوی آینه» را، هفت سال پس از «سرزمین عجایب»، هنگامی که «آلیس لیدل» چهارده‌ ساله بود، نوشتند؛ در «آنسوی آینه»، «آلیس» با اختیار کامل، گام به «شهر آینه» می‌گذارد، تا باز هم با موجودات بیشتری آشنا شود، و تجربه بیندوزد؛ در این داستان، «شهر آینه» را، قانونِ «شطرنج» اداره می‌کند، و «آلیس» که با ورود به این سرزمین، تنها یک مهره ی سرباز پیاده، به شمار می‌آید، بر طبق قانون «شطرنج» می‌تواند تا خانه ی هشتم پیش برود، و با رسیدن به آنجا، صاحب مقام مهره ی «وزیر» میشود؛ در بخش‌های نخستینِ داستان، وزیرِ مهره‌ های سرخ «شطرنج»، همانند یک آموزگار، راه پیروزی را برای «آلیس» شرح می‌دهدتاریخ بهنگام رسانی 22/03/1400هجری خورشیدی؛ 02/12/1400هجری خورشیدی؛ ا. شربیانی"
6,3.5 estrellas 
7,"Dreams , figments of the wondrous mind, what things can it create...A little girl named Alice, 7 with her big sister a few years older, sitting on the banks of the gentle river Thames, on a calm , warm sunny day, in 1862 how delightful , still she is bored watching her sibling read a book, not paying any attention to her, with no pictures, imagine that... getting sleepy...Out of nowhere a nervous White Rabbit dashes by Alice, no big deal even though it has clothes on, not thinking it peculiar when the animal speaks, looking at a watch, and declares he will be late to an important party. Intrigued the child follows the rapid rabbit down a large hole, a long tunnel , soon finding a precipice, then falling and falling, the never ending drop continues as the frightened girl starts to believe, maybe, quite possible , arrive finally on the other side of the world, welcome Australia. Nevertheless landing safely in a pile of leaves, unhurt Alice in a strange hall sees a bottle that says drink me. She the brave girl does, being much too big, for this land, needing to get out, to the beautiful place outside that Alice views, through the door, too small for her and shrinks... this will not be the last time either, her size will vary in future adventures in this magical tale. Meeting a plethora of mad characters, as one of them matter of fact boasts we're all mad here. The Cheshire Cat with his always grinning smile as he fades away and reappears ...the Queen of Hearts the annoyed ruler frequently shouts and proclaims, ""Off with their heads"", and her curiouser and curiouser croquet match...with real animals for equipment, the Mad Hatter and his perpetual tea party with the March Hare who enjoys puzzling Alice. The mellow Caterpillar likes sitting on top of a mushroom smoking leisurely and showing scorn for the little girl's silly questions, the Mock Turtle who head looks like a cow and is sad, the ugly Duchess sneezing because her maid's over use of pepper, other weird souls in this enchanting book appear. If you are a type of person who relishes the road less traveled, this will be up your alley. A classic children's fable that will always be a favorite, having sold more than 100 million copies, and adults can be entrapped also, and benefit by the amusing satire of their foibles, which everyone has.That is being human ..."
8,"Another reread for me, and what a pleasure it was to reconnect with Alice’s Adventures in Wonderland/ Through the Looking Glass. Many years since I read this but it still raises a smile!"
9,"“Once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.”If I ever had to choose to be another literary person than my beloved soulmate Don Quixote, it would have to be Alice in Wonderland. Why would I need to be another character than the one and only Don? Well, it is good to have a backup if you are asked to come to a masquerade as a favourite book character (a not completely unlikely risk and side effect of my profession), and you realise that your blonde hair and the emphasis on blue dresses in your wardrobe makes that a much more natural choice than the Medieval male dresscode of La Mancha.On the other hand, Alice is a perfect complement to the Don in many ways. While he sets out to give the ordinary world some magic, she dives into Wonderland to make it sparkle with her common sense approach to madness. A perfect pair, those two characters. In times like these, they are needed more than ever, to fight the windmills or Jabberwockys of modern craziness. As coffee is a means of survival to me, and I like the idea of drinking it out of a mug featuring an illustration of a famous tea party - as nonsensical as most, but more fun - I once went to London and bought myself a Mad Hatter mug, the handle nicely formed like one of those keys Alice had such trouble with. The quote on the back of the mug has helped me (along with the caffeine and a sense of humour as dark as my no-milk-and-no-sugar coffee) survive many a lesson with teenagers:""If you knew Time as well as I do,’ said the Hatter, ‘you wouldn’t talk about wasting it.""I know for a fact that this book can be reread as many times as needed to figure out your own identity and level of madness, without any waste of time whatsoever:“Who am I then? Tell me that first, and then, if I like being that person, I'll come up; if not, I'll stay down here till I'm someone else.”I can almost give the same promise that Milo got in The Phantom Tollbooth:""RESULTS ARE NOT GUARANTEED, BUT IF NOT PERFECTLY SATISFIED, YOUR WASTED TIME WILL BE REFUNDED."""
10,"I'm pretty sure everyone knows what these books are about. Both Alice's stories are completely bonkers and very much loved. I've read them many, many times over the years, they are part of the reason I got hooked on reading as a child and remain among my favourites of all time. Disney took elements of both the stories to create the classic Alice In Wonderland film, which was originally released on this day in 1951.Put on some Jefferson Airplane and read them if you haven't!"
