,Reviews
1,"سيظل دائما جميع الحيوانات سواسية..الا ان بعض ""الخنازير"" ستري دائما انها ""متساوية"" اكثر من الاخرينجورج اورويل عام 1943 يقدم لنا نموذج لثورةثورة حيوانات علي ""صاحب العزبة""..عشان حقوقهمثورة زي اي ثورة في تاريخ الانسانية..ثورة زي الثورة الروسية ولا الرومانية ولا ....أهي ثورةحكاية مكررة، تقريبا بنفس النهاية..فإننا لم نتعلم من التاريخ، فهل سنتعلم من الرمز؟الحكاية هنا حكاية ثورةثورة ما من اجل عيش يتناسب مع العمل..من اجل حرية حقيقيةثورة ما من اجل الكرامة..ثورة من اجل العدالة الاجتماعيةثورة نجحت في ازالة الضاغية...ثورة نجحت في جعل الارض كلها حقا للثوارصارت ارضهم وملكهم..صار خيرها كله لهم..صاروا يملكون زمام امورهمصاروا يتغنون نشيد نصرهم...فرحين بحريتهم..يرون في المستقبل فقط رخائهمآل التنظيم الي جماعه من الخنازير..يقودها اثنانالاول اختار مصلحة باقي الحيوانات واراد تطوير حياتهم بما يحقق اهداف ثورتهموالثاني اختار الكسل..اختار التراخياختار ان يطلق علي الاول كلابه ليتلاشيواختار ان ينفيه ويعلنه خائنا للبلاد..لاختلاف سياسة الاصلاح التي يريدها الاول بسياستهشوه سمعته ومحا بطولته..بإستخدام خنزير اعلامي ""يقلب الحق باطلا"" ايضا يعمل تحت سياستهاختار ان يغير الدستور الوصايا السبع..بما يحقق مصالحه وسياستهوصار الثاني هو الحاكم الرسمي للبلاد..الحاكم الشرعي..الوحيد ..الجمهوري المنتخب..بما لا يتعارض مع سياستهصار الاول خائن...واي من يظهر عليه علامه تمرد فإنه خائن مثله ويعدم فورا..لا يتعارض هذا مع القانون..فقد غطي عليه بسياستهعاد الظلم..عاد القهر..عاد الفقر وقله العيشعاد التمييز الاجتماعيوكيف له الا يعود وهناك قطيع من الخرفان الاغنام يمأمأون بانجازات الخنازير الواهية..الكاذبةيرددون الافكار المحرفه..يعلون بها صوتهم فوق اي صوت للمعارضهستتأثر بحق بمشهد اجتماع الناس بعد بضع شهور..يتذكرون ما كان ..ويقارونه بالانكيف ضاعت ثورتهم...كيف ضاع حلمهم..وكيف خفت صوت نشيدهميحاولوا التغني بنشيدهم مره اخري ...لربما بعث لهم الامل مجدداليفاجأوا بمنع الخنازير للنشيد..فالثوره انتهت بالنسبه للخنازير بحكمهم..وباعدامهم اخوانهم..المعارضون الخونه*************************ركب الخنازير الثورة وحموا حكمهم بالكلاب الشرسةوغطوا علي اخفاقاتهم وسرقاتهم بخنزيرهم المحنك اعلاميا يحيل الحق باطلا والباطل حقاتعاونوا مع الغراب الذي يدفع بغطاء ديني سماوي الحيوانات دفعا لتقبل معيشتهم الضنكهثم تحالفوا مع عدوهم الاصلي ليحكموا قبضتهم علي الحكموضعوا يدهم في يد الاعداء...حتي صار لافرق بين خنزيرا وانسان************************************لا اعتقد ان هذا ريفيو اساسا لروايه رائعه صاغها برمزيه وبراعه جورج اورويلهذا مجرد تلخيص ردئلقد عرفت الان لماذا لم تكتب احد اصدقائي هنا في الجودريدز ريفيو عن ذلك الروايه -بالرغم من غزاره ريفيوهاتها-..الروايه لا تستحق ريفيو اساساهي تقرأ وتستوعب فحسبولكن لنصارح أنفسنا ... أننا لم نتعظ من التاريخ بشكل مباشر...فكيف ان نتعظ من صورة رمزية له وإن كانت بمنتهي الأتقانفلنحاولربما ننجح يوما في ثورة لا تنتهي بمزرعة الحيواناتمحمد العربيفقط في 24 يونيو 2013""ملحوظه""-----قرأت تلك الرواية قبل احداث 30 يونيو 2013والغريب جدا ان بعد أعادة قراءتي للريفيو أجد أنها تصلح لنفس الحال بعد سنتين..نفس الريفيو الرمزي يصلح لأي وقت...بالضبط كالرواية..وسعدت أني كتبت الريفيو بالرمز مثلهاالعجيب فعلا ان الرواية تصلح لكل العهود السياسية التي أتت علينامصر قبل 25 يناير وبعدهامصر قبل 30 يونيو وبعدهاوبمجرد ان قرئتها..شعرت ان هذه الرواية يجب ان يتم تدريسها بالمدارس..فكل الاجيال تستحق هذا الوعي السياسيالا اني رايت سببا -وان اكاد ان اجزم انه ليس السبب الرئيسي لهذا- ان نهايتها المقبضه لا تتناسب لصغار السنولكن هذه النهاية المقبضة للاسف...واقعية"
2,"Amazon's very Orwellian involvement with this book at the end. If Amazon ever partnered Facebook they'd own us.This is not really a review, but one of those moments where everything that was clear to you suddenly becomes utterly muddied and you really can't say what lies beneath the murky waters although a moment before you were sure you could.I'm reading Christopher Hitchen's astonishingly percipient and brilliant Arguably: Essays. I read Animal Farm too young to identify the individual animals with actual characters on the stage of communism (the old boar Major is Marx, Farmer Jones is the Tsar, the pigs Napoleon and Snowball, Stalin and Trotsky respectively) so this essay is giving me a lot to think about. So far, nothing more so than this quote (below). (Background to the quote): A group of Ukrainian and Polish refugees in a displaced persons' camp had discovered sympathetic parallels with their own plight in Orwell's parable and had begged him for permission to translate his almost-totally unknown book. But...The emotions of the American military authorities in Europe were not so easily touched. They rounded up all the copies of Animal Farm they could find and turned them over to the Red Army to be burned. The alliance between the farmers and the pigs so hauntingly described in the final pages of the novel were still in force. The book is banned in Cuba, North Korea, Burma, Iran, Kenya and most Arab countries. It is banned in the UAE not because of it's content but because it has anthropomorphic talking pigs which are unIslamic (is this not Orwellian in itself?). It is still censored in Vietnam. These nations wouldn't want ordinary people reading the book and looking at their own ruling porcine elites and seeing any parallels now would they? Who knows what kind of thoughts and actions that might lead to?Amazon and Animal FarmOn 17 July 2009, Amazon.com withdrew certain Amazon Kindle titles, including Animal Farm and Nineteen Eighty-Four by George Orwell, from sale, refunded buyers, and remotely deleted items from purchasers' devices after discovering that the publisher lacked rights to publish the titles in question. Notes and annotations for the books made by users on their devices were also deleted. After the move prompted outcry and comparisons to Nineteen Eighty-Four itself, Amazon spokesman Drew Herdener stated that the company is ""changing our systems so that in the future we will not remove books from customers' devices in these circumstances."" However, Amazon does not seem to a guarantee in its ToS that they won't don't this again and I understand that authors have the ability to edit (read 'change') parts of their books. This is because you can't buy a Kindle book, only rent one and Amazon can update (read 'change') them. Wikipedia and other sourcesNext step: Fahrenheit 451. Get the firemen out to burn the books, only ebooks allowed where content can be controlled.Original review 30 Oct 2011, updated several times."
3,"This is a book I've been meaning to read for ages but never got around to - last week I not only read it but gave a lesson on the historical context for the grade 8 class, who will be reading this book and The Wave. As I found, out of the class of 24, about 20 of them had already read the book, and at least one kid knew it was an allegory of the Russian Revolution. Still, my lesson wasn't totally redundant :)For anyone who isn't familiar with the story, Animal Farm is about the animals on a farm in England rising up against the incompetent, cruel farmer (Mr Jones, who represents the deposed Tsar, Nicholas II) and taking over the farm, renaming it Animal Farm (USSR) and - so the glorious vision intended - running it for themselves, so their lives would be better.The vision is given to them by a pig, Old Major, who dies not long afterwards. Old Major probably represents Vladimir Lenin and Karl Marx, and it's not the socialist ideal put forward that is critiqued by this book but how that vision is corrupted by certain other characters, namely another pig called Napoleon, who represents Joseph Stalin. Napoleon chases a pig called Snowball (Leon Trotsky) off the farm with his personally trained dogs (while still just the General Secretary of the Party, Stalin recruited people who would follow him blindly, so that when Lenin died in 1924 he was able to defeat Trotsky for the leadership position and his ""dogs"" kept everyone else in line).The pigs then take charge, and with their literacy skills keep changing the rules the animals established in order to suit themselves, using a pig called Squealer to convince the other animals that their memories are faulty. After all, as the drafthorse Boxer keeps saying, ""Comrade Napoleon is always right"".Boxer is - for me - the most heartbreaking character in the novel. He represents the peasants, and is the most hardworking animal on the farm. He has utter faith in the leadership of Napoleon and works himself to the bone - literally. His reward is very telling, though I don't want to give it away. Most of the characters represent either a person, several people or groups of people, and for the complete list you can check it out on Wikipedia.Orwell, while a socialist, was very cynical about Stalin's communist USSR - and for good reason! Animal Farm is a very well-written critique of how socialist ideals are corrupted by powerful people, how the uneducated masses are taken advantage of, and how the dictator or communist leaders turn into capitalists (just look at China). It's a wonderful example of how effective the allegorical style/format can be, and a well-deserved classic."
4,"The only good pig is a dead pig.Yeah, yeah, everyone claims Orwell wrote this as about the Russian Revolution, Stalin, and the rise of Communism. Pshttt. Whatever.You know what I think he was really saying?
Beware the Other White Meat!
 Ok, maybe not. Look, I know what you're thinking, That pig looks adorable!, but the next thing you know, that piggy is all grown up and stealing your cookies!And you'll let it steal your cookies because Mr. Pig has convinced you that giving up your cookies every day was a part of the original agreement! Besides, what do you know, you're just a stupid sheep...Plus, it's just a cookie, where's the harm?Not to mention, the last guy who complained about giving up his cookie ended up mauled by that dog. Probably just a coincidence, though.Right?But it's ok because pigs are smart. That's what everyone says, right? Smarter than you are, at any rate. And if the pig says it's ok, then it's ok.I mean look at it! It couldn't possibly have anything but your best interests at heart!Alright, I'm outta pig gifs.So, I thought this was a pretty cool book. Sure, it's supposed to be about Russia, but it could just as easily be about the working class in my country. Bottom line?We need to stop listening to the spin doctors on the boob tube and start thinking for ourselves. Question everything, especially the things we think we know are true. It might be a good idea to teach our kids that it's ok to not blindly believe everything we tell them, too. Besides, if we're right, then our ideals can stand up to the scrutiny of children. Otherwise, we risk raising a generation of idiots.Oh! I found one more pig gif!"
5,"Animal Farm is the story of a set of animals who overthrow their human-owner. Will the animals have better lives now that the humans are gone?Philip Pullman once said that, ""A story will help us make sense of anything."" In this case, George Orwell uses Animal Farm as an allegory of Russian history with certain characters representing famous Russian historical figures such as Karl Marx, Vladimir Lenin, Joseph Stalin, and Leon Trotsky. This book was part of the monthly Readalongs that I am hosting, and what a wonderous book to begin 2022! The Readalong was simply spectacular and gave this reading such a particular depth. As the Readalong encompassed readers across the globe, we had the opportunity to discuss how the book related to our own government's history. Animal Farm provides a lot of ideas to noodle on, and I really enjoyed it. This is one of the books on the 100 Books to Read According to the BBC List:https://www.listchallenges.com/bbcs-t...2023 Reading ScheduleJan Alice in WonderlandFeb Notes from a Small IslandMar Cloud AtlasApr On the RoadMay The Color PurpleJun Bleak HouseJul Bridget Jones’s DiaryAug Anna KareninaSep The Secret HistoryOct Brave New WorldNov A Confederacy of DuncesDec The Count of Monte CristoConnect With Me!Blog Twitter BookTube Facebook Insta"
6,"ALL ANIMALS ARE EQUAL BUT SOME ARE MORE EQUAL THAN OTHERS !In the start, I thought this book would be from the view point of animals; about how they are treated, how they expect to be treated and how man is cruel towards them.But but but;I am amazed at how Orwell criticizes the political maneuvers and totalitarian rule, using animals to explain what humans do. The author beautifully portrays the way a revolution is started to stop what is happening and going full circle comes to the same point it started from. Just the face of power is changed. This book tells how the ruling class makes fool of the working class, uses their energies and resources for their own pleasure. What happens behind the closed doors of power. How the working class is being brain washed that they are happy and satisfied and free despite of the obvious slavery they have been undergoing. My favorite character was Benjamin (yes, a donkey) , who remains a neutral throughout and says nothing despite understanding everything.A huge applause to Orwell for being able to explain human psyche, political and social dilemma wrapped in the form of this story."
7,"A perfect book. People will still be reading this in a thousand years time, when communism is just a footnote."
8,"“All animals are equal, but some animals are more equal than others.”Those damn PIGS.I can't even."
9,"(book 564 From 1001 Books) - Animal Farm, George OrwellAnimal Farm is an allegorical novella by George Orwell, first published in England on 17 August 1945. According to Orwell, the book reflects events leading up to the Russian Revolution of 1917 and then on into the Stalinist era of the Soviet Union. Orwell, a democratic socialist, was a critic of Joseph Stalin and hostile to Moscow-directed Stalinism, an attitude that was critically shaped by his experiences during the Spanish Civil War. The Soviet Union, he believed, had become a brutal dictatorship, built upon a cult of personality and enforced by a reign of terror. Old Major, the old boar on the Manor Farm, summons the animals on the farm together for a meeting, during which he refers to humans as ""enemies"" and teaches the animals a revolutionary song called ""Beasts of England"". When Major dies, two young pigs, Snowball and Napoleon, assume command and consider it a duty to prepare for the Rebellion. The animals revolt and drive the drunken and irresponsible farmer Mr. Jones from the farm, renaming it ""Animal Farm"". They adopt the Seven Commandments of Animalism, the most important of which is, ""All animals are equal.""Snowball teaches the animals to read and write, while Napoleon educates young puppies on the principles of Animalism. Food is plentiful, and the farm runs smoothly. The pigs elevate themselves to positions of leadership and set aside special food items, ostensibly for their personal health.Some time later, several men attack Animal Farm. Jones and his men are making an attempt to recapture the farm, aided by several other farmers who are terrified of similar animal revolts. Snowball and the animals, who are hiding in ambush, defeat the men by launching a surprise attack as soon as they enter the farmyard. Snowball's popularity soars, and this event is proclaimed ""The Battle of the Cowshed"". It is celebrated annually with the firing of a gun, on the anniversary of the Revolution. Napoleon and Snowball vie for pre-eminence. When Snowball announces his plans to modernize the farm by building a windmill, Napoleon has his dogs chase Snowball away and declares himself leader. ...عنوانها: قلعه (مزرعه) حیوانات - نویسنده: جورج اورول؛ (جامی،...) ادبیات انگلستان؛ تاریخ نخستین خوانش متن نسخه انگلیسی: در سال 1975میلادیمترجمها: بدون هیچ ترتیبی آنهایی را که یافتم چل و چهار نامدار را بنگاشتم؛ گویا باید در رکوردهای گینس ثبت شود مترجم 01 - امیرامیرشاهی در 154ص؛مترجم 02 - محمد فیروزبخت در 136ص؛مترجم 03 - احسان واحدی در 133ص؛مترجم 04 - رضا زارع در 120ص؛مترجم 05 - علی گرانمایه در 152ص؛مترجم 06 - سیروس نورآبادی و محسن موحدی زاد در 130ص؛مترجم 07 - احمد کسایی پور در 171 ص؛ نشر ماهی 1394 در 147ص؛مترجم 08 - مرضیه صدر در 108ص؛مترجم 09 - نرگس حیدری منجیلی در 128ص؛مترجم 10 - صالح حسینی و معصومه نبی زاده در 158ص؛مترجم 11 - آزاده دادفر در 195ص؛مترجم 12 - مریم صالحی در 127ص؛مترجم 13 - شهاب حبیبی در 176ص؛مترجم 14 - مجید نوریان در 78ص؛مترجم 15 - همایون نوراحمر در 131ص؛مترجم 16 - همایون بهشتی در 139ص؛مترجم 17 - مرجان غیبی در 234ص؛مترجم 18 - یولاند گوهرین در 160ص؛مترجم 19 - غلامرضا صالحی معوا در 128ص؛مترجم 20 - زهرا نوروزی در 117ص؛مترجم 21 - زینت علیزاده در 128ص؛مترجم 22 - بهروز غریب پور در 92ص؛مترجم 23 - سمانه فلاح در 104ص؛مترجم 24 - وحید کیان در 139ص؛مترجم 25 - محمدرضا آخوندی و زهرا محمدی در 108ص؛مترجم 26 - مریم رشتی زاده در 124ص؛مترجم 27 - محمد هاشمی و سعید هاشمی در 112ص؛مترجم 28 - حوریا موسایی در 126ص؛مترجم 29 - منصوره چراغی در 126ص؛مترجم 30 - مجتبی پایدار در 112ص؛مترجم 31 - پژمان کوشش در 155ص؛مترجم 32 - آوینا ترنم در 128 ص؛مترجم 33 - حوراء وحیدی در 128 ص؛مترجم 34 - ادریس باباخانی در 90 ص؛مترجم 35 - مژگان احمدی در 120ص؛مترجم 36 - حلیمه بیع آتی در 112ص؛مترجم 37 - قدیر گلکاریان در 120ص؛مترجم 38 - علی اصغر افرجی در 132ص؛مترجم 39 - مهنوش جواهری در 141ص؛مترجم 40 - علی جواهرکلام در 128ص؛مترجم 41 - حجت امامی در 127ص؛مترجم 42 - محمدعلی جدیری و صمد محمدی آسیابی در 111ص؛مترجم 43 - حمیدرضا بلوچ در 127ص؛ مترجم 44 - احمد کسایی پور در 147ص؛ کتاب «مزرعه ی حیوانات»، یا «قلعه حیوانات»، رمانی پاد آرمان‌شهری، به زبان «انگلیسی»، و نوشته ای از جناب «جُرج اُروِل» است؛ ایشان این رمان را، در طول جنگ جهانی دوم بنوشته، و نخستین بار در سال 1945میلادی، در «انگلستان» منتشر کرده اند؛ «مزرعه ی حیوانات»، درباره ی گروهی از جانوران اهلی است، که در اقدامی آرمانگرایانه و انقلابی، صاحب مزرعه (آقای جونز) را، از مزرعه‌ ی خویش فراری می‌دهند، تا خود اداره ی مزرعه را به‌ دست گرفته، و «برابری» و «رفاه» را، در جامعه ی خود، برقرار سازندرهبری این جنبش را، گروهی از «خوک‌»ها، در دست دارند، ولی پس از مدتی، این گروه انقلابی نیز، به رهبری خوکی به نام «ناپلئون»، همچون همان آقای «جونز»، به بهره‌ کشی از حیوانات مزرعه می‌پردازند، و هرگونه مخالفتی را سرکوب می‌کنند؛ جناب «اورول»، با نگارش این رُمان، از استبداد طبقه ی حاکم «شوروی»، به سختی ناراضی، و باور داشتند نظام «شوروی» به یک دیکتاتوری بدل گشته، و بر پایه ی کیش شخصیت، بنا شده است؛ داستان، با توصیف شبی آغاز می‌شود، که خوکی به نام «میجر پیر»، حیوانات را گرد هم آورده، و از ستمی که انسان بر حیوانات روا داشته اند، برای آنان سخن می‌گوید، و حیوانات را، به شورش علیه انسانها دعوت می‌کند؛ وی سپس، یک سرود کهن را که پس از آن به سرودی انقلابی، در بین حیوانات مزرعه بدل می‌شود، به آنها یاد میدهد؛ پس از چندی، حیوانات در پی شورشی، مالک مزرعه، به نام آقای «جونز» را، از مزرعه بیرون کرده، و خود اداره ی آن را به دست می‌گیرندپس از آن انقلاب حیوانی، خوکها (که از هوش بالاتری نسبت به سایر حیوانات برخوردار هستند) نقش رهبری حیوانات مزرعه را، به دست می‌گیرند؛ اما پس از چندی در بین خود حیوانات، یک سری توطئه، و کودتا انجام می‌گیرد؛ «ناپلئون» که یکی از دو خوک پرنفوذ مزرعه است، با استفاده از سگ‌های درنده‌ ای که مخفیانه تربیت کرده؛ «سنوبال»، دیگر خوک پرنفوذ مزرعه را، فراری داده، و خود رهبر بلامنازع مزرعه می‌شود؛ پس از آن، «سنوبال» عامل «جونز» معرفی شده، و تمام رویدادهای بد، و خرابکاری‌هایی ��ه در مزرعه صورت می‌گیرد، به وی یا عوامل او، در داخل مزرعه نسبت داده می‌شود؛ و به فرمان «ناپلئون» بسیاری از حیوانات، به جرم همکاری با «سنوبال»، توسط سگ‌ها اعدام می‌شونددر ادامه ی داستان خوک‌ها به‌ تدریج همه ی قوانین حیوانات را زیر پا می‌گذارند؛ قانون اساسی حیوانات معروف به «هفت فرمان» به تدریج محو و تحریف می‌شود، خواندن سرود قدغن، و حیوانات با غذای روزانه ی کم، مجبور به کار بسیار می‌شوند؛ در حالیکه خوک‌ها فرمانروایی می‌کنند، و غذای زیادی می‌خورند؛ و از تمام امکانات رفاهی سود می‌برند؛ و حتی یاد می‌گیرند که چطور روی دوپا راه بروند، و با انسان‌ها معامله کننداز جمله برنامه‌ های «ناپلئون»، ساخت «آسیاب بادی» است، که گویا برای بهبود کیفیت زندگی حیوانات ساخته میشود؛ نقشه ی نخستین آسیاب، توسط «سنوبال» طرح‌ریزی شده بود، و در ابتدا «ناپلئون» به مخالفت با آن برمی‌خیزد، ولی با بیرون راندن «سنوبال»، ایده ی ساخت آن را پی می‌گیرد، اما به دلیل بی کفایتی «ناپلئون»، ساخت آن به شکل مطلوبی پیش نمی‌روددر پایان، ساخته شدن آسیاب، که با فداکاری‌ها و زجر و تحمل فراوان حیوانات مزرعه، امکان‌پذیر گردیده، نه تنها به بهبود وضعیت زندگی حیوانات منجر نمی‌شود، که خود به آسبابی برای بهره‌ کشی بیشتر از حیوانات بدل می‌گردد و ...؛تاریخ بهنگام رسانی 19/05/1399هجری خورشیدی؛ 03/05/1400هجری خورشیدی؛ ا. شربیانی"
10," Equality.  In the old Manor Farm, each animal puts their small effort to carry the farm forward; but when one day Mr. Jones farmer continuous abuse and neglect becomes unbearable, all the animals hold a special meeting to set a change. A revolutionary idea is born: Animals will govern themselves. Together they will bring a new age, where all animals are equal. But self-sufficiency and self-government carries heavy burdens, with small and big responsibilities for each animal; and soon small frictions begin to arise in the new haven. Another all time-classic by the legendary Orwell. No half stars deducted this time. This was a flawless 5-star masterpiece, if not six; because achieving SO much in SO few pages, is beyond reckoning. A timeless allegorical novella so powerful that it’s certain to give you pause, and most likely remember it for the rest of your life. So crucial for the time it was written, and still more than relevant today, and for the future yet to come. I remember being so wowed at the time I read this, my messed up country bearing so much resemblance to the events depicted in this book. It’s similarity still strong today, and not likely to change anytime soon. It’s a sad truth that some third world countries never managed to grow beyond their petty differences and troubled beginnings. I SO wanted to know more regarding the future of the farm; but I understand why and how it ended the way it did. Such an unforgettable thought provoking story, with lovable and hateful characters  (Snowball, Napoleon) , and so heartbreaking.  the pain in my soul for Boxer still raw and unhealed.  A must read in life. Extremely Recommendable.*** Animal Farm (1954) is the best adaptation I’ve seen so far, kinda old school by today standards but still an excellent cartoonish representation. Acceptable atmosphere, adequate pacing, and more than reasonably faithful to the book, if not completely. Yet, for some reason I couldn’t nearly enjoy it as much as the book, but can’t exactly pinpoint why; maybe the surprise was lost. A good film, just not great, for me.*** Animal Farm (1999) is a somewhat controversial adaptation. Acceptable as a whole but far less faithful to the book, especially regarding the ending. A stellar voice casting including stars like Stewart, Louis-Dreyfus and Grammer, among others. The anthropomorphic representation with live animals giving it a certain unique touch the animated film didn’t have. I think either of the two films is worth watching, the first one for its grim fidelity and the second one for its more upbeat tone. Still, if I had to choose the 1954 version overall seemed better to me, and more memorable. -----------------------------------------------
PERSONAL NOTE
: [1945] [128p] [Classics] [Extremely Recommendable] [“All animals are equal.”] [""Four legs good, two legs bad.""] -----------------------------------------------★★★★★ Animal Farm ★★★★☆ 1984----------------------------------------------- Igualdad.  En la vieja Granja Manor, cada animal pone su pequeño esfuerzo para que la granja salga adelante; pero cuando un día los continuos abusos y descuidos del Sr. Jones se vuelven insoportables, todos los animales arman una reunión especial para crear un cambio. Nace una idea revolucionaria: Los Animales se gobernarán a sí mismos. Juntos darán inicio a una nueva era, donde todos los animales sean iguales. Pero la autosuficiencia y el autogobierno plantea difíciles tareas, con pequeñas y grandes responsabilidades para cada animal; y pronto algunas fisuras empiezan a aparecer en el nuevo reino.Otro clásico de todos los tiempos por el legendario Orwell. Ninguna media estrella deducida esta vez. Esta fue una impecable obra maestra de 5-estrellas, sino de seis; porque alcanzar TANTO en TAN pocas páginas, es más allá de inimaginable. Una atemporal novela corta alegórica tan poderosa que es certero que te va a producir un quiebre, y más que seguro para recordar por el resto de tu vida. Tan crucial para la época en que fue escrita, y todavía más que relevante para los tiempos actuales, y el futuro todavía por llegar.Recuerdo haberme maravillado tanto el día que leí esto, mi tan desgraciado país teniendo tremendo parecido con los eventos reflejados en este libro. Su similitud todavía patente el día de hoy, y difícilmente sujeto a cambiar pronto. Es una triste verdad que algunos países del tercer mundo nunca lograron crecer más allá de sus mezquinas diferencias y problemáticos comienzos. Realmente deseaba TANTO conocer más acerca del futuro de la granja; pero entiendo por qué y cómo terminó como lo hizo. Una historia tan inolvidable y provocadora, con entrañables y odiosos personajes  (Bola de Nieve, Napoleón) , y tan devastadora.  el dolor de mi alma por Boxer todavía fresco y sin curar.  Una obligación de leer en la vida. Extremadamente Recomendable. *** Rebelión en la Granja (1954) es la mejor adaptación que vi hasta ahora, un poco antigua para los estándares de hoy pero aun así una excelente representación animada. Atmósfera aceptable, ritmo adecuado, y más que razonablemente fiel al libro, sino completamente. Aun así, por alguna razón no lo pude disfrutar ni de cerca tanto como el libro, pero no podría precisar exactamente por qué; tal vez se perdió la sorpresa. Un buen filme, sólo que no genial, para mí.*** Rebelión en la Granja (1999) es una algo controversial adaptación. Aceptable en su conjunto, pero mucho menos fiel al libro, especialmente con respecto al final. Un electo estelar de voces incluyendo estrellas como Stewart, Louis-Dreyfus y Grammer, entre otros. La representación antropomórfica con animales reales dándole un cierto toque único que película animada no tiene. Creo vale la pena ver cualquiera de los dos filmes, el primero por su sombría fidelidad y el segundo por tu tono más alegre. Aunque si tuviera que elegir, creo que la versión de 1954 dentro de todo me pareció mejor, y más memorable. -----------------------------------------------
NOTA PERSONAL
: [1945] [128p] [Clásicos] [Extremadamente Recomendable] [“Todos los animales son iguales.”] [""Cuatro patas bien, dos patas mal.""] -----------------------------------------------"
