,Reviews
1,"I don't give a fig if it is a kid's book, Charlotte's Web is one of the most well-crafted stories ever written. This classic children's tale deserves 5 stars for story craft and language usage alone! (Read your Strunk & White to understand this man's talents in that regard.) The fact that it's a heart-warmer/wrencher clinches it. Never was I made to love pigs and spiders so much in my life. Charlotte's Web will always rank high amongst my favorites. But why, for the love of god, did they make us watch the cartoon version of this tear-jerker in school? Did they want to make us weep embarrassingly in front of one another? If so, mission accomplished, you sadistic school district!"
2,"Some Pig!Charlotte’s Web is the story of an unlikely friendship between a runt of a pig named Wilbur and a spider named Charlotte. One day, Wilbur hears from one of the farm animals that he is destined to be Christmas dinner. However, one animal is determined to save him, Charlotte. She starts to weave messages into her web about how incredible Wilbur is. Will it be enough to save the pig?When I was a child, I saw this movie and found it very moving. As an adult, I read this story, and I still think it is very moving, but I have a deeper respect for the symbolism.Since January, I have been going full tilt with the readalongs so I put a pause on them. And, of course, I am regretting that decision. Because Charlotte’s Web is such a great book for discussion!First, this book can be interpreted in a variety of ways. For example, Wilbur breaks free from his pen. All of the animals are giving him conflicting information about what he should do (run uphill, run downhill, etc.). While in a state of confusion, Wilbur is lured into his pen by the farmer with a bucket of slop. This reminded me of counteroffers in the workplace. Your corporation might be perfectly content with you working 24/7 in a dark closet in the back of the building, never to be seen or heard from, and at a low rate of pay. When you finally find another company who will actually treat you decently, your old company tries to lure you back into their fold with a tempting offer. Wilbur’s situation also reminds me of a classic abusive relationship where the person afflicted wants to leave but feels compelled to stay, especially without a clear plan for extraction from the situation.Second, there are a lot of relationships in this book that give me pause. If you read my review on The Giving Tree, I absolutely hate it. But I love Charlotte’s Web. Maybe because Wilbur loves Charlotte in return? What do you make of Fern? Is Wilbur just a phase to her? Is Templeton really a friend or is he just a hired hand (and that’s all he wants to be)? Are you upset that Wilbur receives all the praise when it is really Charlotte that is extraordinary? My favorite character: Dr. Dorian. He seems to be the most sensible person of them all.Third, I love this book because it encourages praise versus complaining. Charlotte spins kind words into her web about Wilbur, and he tries to live up to them. She doesn’t write, “Needs Bath” into her web. Instead, she spins a positive adjective. What do you think of Charlotte spinning the word, “humble”? Do you think that being humble is a bad thing in this day and age?Overall, this book is deeply moving, has beautiful illustrations, provides a lot of valuable food for thought, and the action is fast paced.Connect With Me!Blog Twitter BookTube Facebook Insta"
3,Book 23 of 30 for my 30 day reading challenge.
4,"'pologies to anybody following my reviews in hope of insights into epic fantasy novels - I get through more kids' stuff reading to my little girl (who is too disabled to do it for herself). Charlotte's Web is a book I've been aware of for nearly 40 years but somehow managed to avoid reading when I was little. We picked it up at the hospice last week and read the first half, then had to buy a copy at Waterstones yesterday to finish it off (59 years in print and it's still selling for £6.99 in paperback!)The book's a classic for good reason. It delivers an emotional but refreshingly unsentimental story with twists and turns, and inadvertently lets us have a look at rural American life in the late 1940's. In addition to a strong and engaging story E.B White has powerful prose that doesn't confuse a child, but carries more weight than you're likely to see in most children's stories.There's a circle of life theme going on, the amusing and varied anthropomorphising of various animals, a county show and prizes to be awarded, oh my! But putting a welcome edge on all this is the bald fact that the pig you can see on the cover is balanced on a constant knife edge with people gearing up to reduce him to bacon and ham at every turn. And although there are tender moments in the story, it's never saccharine *slight spoiler* the rat never comes through with a change of heart, the little girl grows up and loses interest in the animals *end slight spoiler*All in all a fine children's book. Perhaps it I'd read it when I was 7 I'd be giving it 5*It also contains the saddest line in children's fiction:No one was with her when she died.  Join my Patreon Join my 3-emails-a-year newsletter #prizes."
5,"If you've never read Charlotte's Web by E.B. White, you are utterly missing out on a classic Newbery Honor award winner. Go to the library now and borrow this book first published in 1952. You shouldn't buy it (unless you have children or are giving it as a present), but choose to embrace the entire experience of being a small child walking through your public library's doors, searching for an amazing book and finding yourself bringing home a tale that will make you cry and fall in love all at the same time. And don't spoil it by watching the cartoon or regular movies made based on the book until you've read it yourself! It's important....At a quick glance, a little pig arrives on a new farm and is basically going to be entered into a contest to win a prize for the farm owner. But the pig is scared and confused, turning to all sorts of other farm animals for love and guidance at his new home: chickens, mice, birds and of course, Charlotte, the friendly spider. To help save the pig, Charlotte spins webs overnight about the pig's talents in the hopes that he'll be saved from the... sniff sniff... chopping block even if he wins the contest for best pig. But there's so much more going on in this book...Charlotte is everyone's mother. She's everyone's teacher. She's everyone's friend. As Pollyanna as it will sound, we should all have a Charlotte in our life to help us grow up and mature into terrific, radiant and humble human beings. (I'll avoid calling us ""some pig"" as the other message she crafts). All the lessons children can learn from this book are important, even the ones about death. I won't spoil it, but despite all the efforts across all the animals and the people in this treasure, someone doesn't make it. It's on the same level as ""Bambi"" in my opinion when it comes to a must-read for children, even if the harsh realities of life are exposed.Please go read it. :)"
6,"Look at me reading about spiders again.Not exactly the same thing as Children of Time but still... This was part of my ""Reading Children Classics for the First Time as an Adult"" Challenge for January and... I'm pleasantly surprised! Cute book about friendship! I'm sure I would have loved it as a kid!"
7,"One of the great tear-jerkers of my long-lost childhood, the unlikely friendship between a spider and a pig makes for wonderful reading and a shared moment of love when reading it to kids. It is tender and teaches the values of constancy and integrity in a light, beautiful prose. A classic and a masterpiece."
8,"Charlotte's Web, E.B. WhiteA girl named Fern saves a pig named Wilbur from death, but knows that the pig will eventually be killed for its meat. On Uncle Homer's farm, Wilbur meets a spider named Charlotte. Charlotte saves him from the death that awaits him by weaving words on his nets, which describe Wilbur with strange qualities. Wilbur draws people from farms, and villages near and far, and eventually wins a contest in the cunning market. Charlotte, who lost her strength by weaving nets, ...Charlotte's Web is a children's novel by American author E. B. White and illustrated by Garth Williams; it was published in October 15, 1952, by Harper & Brothers. It is tender and teaches the values of constancy and integrity in a light, beautiful prose.تاریخ نخستین خوانش: روز سی و یکم ماه آگوست سال1972میلادیعنوان: کارتنک شارلوت؛ نویسنده: ئی.بی وایت؛ مترجم: مهشید امیرشاهی؛ تهران، امیرکبیر، کتابهای جیبی، انتشارات فرانکلین، سال1350، در173ص، چاپ دوم سال1353؛ چاپ دیگر تهران، علمی فرهنگی، سال1383؛ در168ص؛ چاپ دیگر تهران، علمی فرهنگی، پرنده آبی، سال1395؛ شابک9786004362832؛ داستانهای نویسندگان ایالات متحده آمریکا - سده 20مدخترى به نام «فرن»، خوکى به نام «ویلبر» را، از مرگ مى‌رهاند، اما می‌داند که خوک، سرانجام برای گوشتش، کشته خواهد شد؛ «ویلبر» در مزرعه ى «عمو هومر»، با عنکبوتى به نام «شارلوت»، آشنا مى‌گردد، «شارلوت» با بافتن واژه‌ هایی روى تورهایش، که «ویلبر» را با واژه های ناباورانه مى‌ستاید، و او را از مرگى که در انتظارش است، رهایی مى‌دهد؛ «ویلبر»، مردمان را از کشتزارها، و روستاهاى دور و نزدیک، به تماشاى خویش مى‌کشاند، و سرانجام در مسابقه‌ ای در بازار مکاره، برنده مى‌شود؛ «شارلوت»، که نیرویش را با بافتن تورها از دست داده، ...؛تاریخ بهنگام رسانی 19/10/1399هجری خورشیدی؛ 06/08/1400هجری خورشیدی؛ ا. شربیانی"
9," My thoughts in a nutshell Charlotte’s Web is one of my favorite childhood books. I watched it so many times and never got bored with it.The story is about…Skip over this point if you don't like the sneak peek. A little pig who wants to see the first show and who wants to live instead of becoming sausages. What impressed me the most 😊 This little story has many important feelings and lesson. It teaches us to respect other living creatures and how to live side by side in peace. It told about humility and explained how important it is to have a great friendship. A friend who does anything to saved her little buddy’s life. A friend who once made a promise and now she will go through fire and water to keep her word.I’ve become such a sensitive little girl if the story is about an animal’s death. I’m feeling sorry about all of them. In my world, I think they have soul and they are sentinent beings. This book is an amazing classic, and it made me emotional. Haha. Make a conclusion I gave it 5 stars because it is perfect for me. It has a much valuable lesson and I really appreciate it. I recommend it to everyone who hasn’t read it. Wait a second! Why don’t you read it yet? Go to the library, NOW! Or watch the movie I recommend it too. Atmosphere collage  aka.  how did I imagine the book vibes? "
10,"Another classic read with the kids! I love reading to them – they enjoy a chapter every evening and it gives us some good, quality family time. Also, it is cool to see them disappointed if we don’t have time to read (sad, but cool that it is so important to them!)If you don’t remember Charlotte’s Web from your childhood, did you even have a childhood?While it is dated – even more so now than when I read it as a kid – it is a timeless tale of life, death, and friendship. There are so many amazingly deep facets in this little book written for children. I am pretty sure a group of adults could still have a very deep discussion about the themes, plot points, and characters in this book.I mentioned that death is a key part of this book. Some may think that could be too much for kids. But I feel like White presented it in the perfect way to show that death and rebirth are a part of life; perfect in a way as to not upset kids and allow them to explore their curiosity on the subject.If you have never read Charlotte’s Web, you really should!"
