,Reviews
1,"Ok, before I start a few warnings. This will contain spoilers (though since I'm writing this a year after the release I don't think it's too much of a tragedy), it will be long and it will be negative because I really didn't like this book.Reading books one to five I was very impressed with the storytelling from a novice novellist. There was magic, there were characters you could love, and sure there were some cliche'd storylines, but they were interspersed with really interesting sidestories (Peeves, SPEW, Weasley's Wizard Wheezes). I was enthralled as a teenager and I am enthralled now as an adult when I re-read them.But I have to say the the quality dropped markedly in books six and seven. The ramblings (that started out cute in GoF and OotP) have become pronounced and boring. The characters have lost much of what made them endearing, and the plot has gone to hell.Focusing on Deathly Hallows, I had a very strong feeling that six months before her deadline, JKR went on to the internet, discovered that everyone had guessed her 'twists' (honestly, who didn't know that Harry was an accidental Horcrux, RAB was Sirius's brother, the diadem was at Hogwarts, the locket was at Grimmauld Place, Dumbledore ordered Snape to kill him, Snape was in love with Lily and Ron would be a it and abandon Harry and Hermione?), and felt the need to come up with a new plot device. This would explain the incredible stupidity that is the deathly hallows and the plot holes and gaps in logic that involve them.Now, it has been a while since I read it so some of my names and such might be wrong, and if it does answer the questions in the book in such a round about way I apologise, but the Elder Wand does not make sense. I'm willing to accept that it follows it's own set of rules separate from those of other wands (where Haary can use Hermione's wand almost as well as his own and all of the disarming they did in book five didn't make their wands all change ownerships) but the course of events whereby Harry became the owner of the wand are just plain silly. If Grindelwald simply stole the wand from Gregorovich (sp?), how did that make him the wands owner? If the wand is unbeatable, how did Dumbledore defeat Grindelwald (I know Rita Skeeter theorised that Grindelwald surrended, but how does that pass the wand's ownership to Dumbledore. Surrender is not the same as defeat). And if the wand is unbeatable, why was Dumbledore unable to defeat Voldemort when they dueled on OotP? And also, is Harry really so conceited and stupid to think that no one would ever defeat or disarm him, making them the owner of the wand? Shouldn't he have broken it? If he does become an auror in later life someone is bound to disarm him eventually, and if they knew about the wand, they could easily steal it back from Dumbledore's tomb.The other major thing that ticked me off was the characterisation. Hermione, Harry and Ron have always been some of my favourite characters, but here they are acting completely different from previous books. Harry using Unforgivable curses without a hint of remorse, and not comforting Hermione when Ron takes off, instead staring at a 'Ginny-dot'. Can we say creepy and stalkerish? And Hermione, who for the most part was still loyal and brave and smart (loved the bottomless bag bit, and her being there for Harry at Godric's Hollow), was so pathetic when it came to Ron. I know love makes people do the wacky, but crying for days on end when they're supposed to be searching for Horcruxes, kissing him in the middle of the war because he finally showed a tiny inkling of care towards the house-elves. And Ron. Gah! I mean, I love Ron, but you would have thought he could have grown up a little, just a smidgen. But no, running away because of the locket (one ring to rule them all...). Those who defend him saying it affected him more than Harry or Hermione because he had more insecurities is just dumb. Harry and Hermione had just as much to be insecure about. Harry, with his saving-people-thing, could easily have gone nuts with the locket around his neck and ran away from the others because he was terrified that they'd get killed. And Hermione has always been insecure, about being Muggle-born, about proving herself, about Ron and Harry and their friendships. Sure, he wanted to come back the moment he left, but he still left. Which I could accept were it not for such a stupid reason. And then he got his 'super-moment' which was so lame. Honestly, 'Ron can remember and copy paseltongue', uhuh. Wouldn't it have made much more sense to say, have Ginny come along, who could possibly still say the word from when she opened it under Tom's control in CoS. And then Ron mentioned the house-elves, to make himself 'worthy' (JKR's words, not mine) of Hermione. For one thing, why does he need to make himself 'worthy' since she already loved him for all his insensitivity and insecurity, and why did that 'worthiness' have to be something that Harry already had in abounds?Yes, I am a H/Hr shipper, but that is by no means the reason I hated this book (as you can see from above). If H/Hr had been handled as badly as R/Hr or H/G, I would have hated it. But the fact remains that the most romantic scenes in this book were between Harry and Hermione. At Grimmauld Place when Harry showed Hermione the picture, at the wedding where Hermione beamed at Harry, at Godric's Hollow where they strolled arm in arm under the kissing gate in the snow. While in canon, Harry married Ginny and Ron married Hermione, that will never convince me that they are the better couples. Harry and Hermione had the friendship, the trust, the alchemy. They were the most developed relationship in the series, and the fact that they didn't end up together in the book doesn't change that.The final things I feel like picking on - the epilogue came across as being written by a teenage fangirl. No depth, no meaning, just stupid-named kids. I get that JKR wanted Harry to end the book with the normal family life he never had, it could have been handled so much better. And seriously, Albus Severus? That poor kid must have been teased horribly. And why Severus? Sure, he turned out to be not evil, but for Harry to chance his mind about the man after seven years of abuse and ill treatment just because he was scamming on Lily. It's just gross. And unrealistic. I was so hoping there was more to Snape's story than twenty years of unrequited love. Gah. It may have been a sweet way for him to become not evil, but Lily was very, very dead for a very long time, and no one holds on that hard to love. If caring for her wasn't enough for him to stray away from the dark arts while she was alive, why was it enough when she was dead?Also, the invisibility cloak was supposed to be infallible, and yet Moody saw through it in OotP and Dementor's could see through it in PoA, supposedly. And, my god did the death scene's suck in this book. Yes, its a war so plenty of people, including main characters were going to die, but when I felt worse about Dobby than I did about Remus (who is one of my favourite characters) you just know that the author hasn't put enough emotion into it. He was the last of the Marauders, for god's sake, he deserved an on-page death at the very least. Maybe defending Harry or Tonks. Something!Well, there ends the rant. There were a few good points in the novel (like Godric's Hollow, before the stupidity of Harry not realising that Bathilda was Nagini, and the awesomeness of Neville) but they were few and far between and do not at all make up for the rest of the drivel.Read it because it is the conclusion to a series that took seventeen years to write, but do not expect the fireworks that such a finale could have been. There's better fanfics out there."
2,"“I’m going to keep going until I succeed — or die. Don’t think I don’t know how this might end. I’ve known it for years.” — Harry PotterMost seventeen-year olds don’t view the possibility of an early death as being, well, possible. But then again, most seventeen-year olds haven’t come face-to-face with death almost half a dozen times before their first kiss either.In Harry Potter and the Deathly Hallows, the seventh and final installment of the ridiculously popular Harry Potter series, J.K. Rowling brilliantly ties up every loose end that she has planted over the last ten years since the very first outing of the series was published in 1997. Truly, Rowling has learned exactly what her fans want and subsequently delivers a book that answers every Potterhead’s questions — and then some. Not only does Deathly Hallows revisit key places and characters from all of the previous six books, but Rowling even manages to make clever references to previous bits of dialogue from her earlier books. Case in point: near the end of the first Potter book, after Hermione fails to see the magical solution to saving the trio from a nasty patch of Devil’s Snare, Harry’s best mate Ron bellows “HAVE YOU GONE MAD? ARE YOU A WITCH OR NOT?” Now, six years later, Hermione finally gets her revenge on her red-headed friend when Ron believes that all is lost until Hermione yells to him “Are you a wizard, or what?” thus reminding Ron to use his wand to solve their problem. Subtle references such as this are a large part of what makes Rowling’s books so enjoyable to re-read as there are always deeper meanings and additional allusions that are often only discovered via multiple read-throughs.Harry’s bold statement regarding his own potential death is also a prime example of how much Rowling truly wrote Harry’s last tale for her long-time fans. This line seems to read as a secret “shout-out” to the Potterites who have also known for years that the series might not end happily ever after. The prophecy in the fifth book revealed that “neither shall live while the other survives”, and therefore by the end of book seven either Harry or Voldemort had to die. Rowling cleverly fills her last installment with so many twists, turns and complications, however, that it becomes practically impossible to determine which way this book is going to end. More than any of the other Potter books, Deathly Hallows is a true quest narrative, with the trio spending the majority of the story hunting for horcruxes and hallows whilst evading capture by Voldemort’s Death Eaters. The multiple close-calls that all three main characters find themselves in throughout the book add to the tension that continues to build until the predictably bloody battle at the end of the tale. The book does, after all, chronicle a brutal war, so be prepared for a lot of killing and, consequently, a lot of tears. This is not to say that Deathly Hallows doesn’t offer up a great deal of laughs as well. The hilarious twins Fred and George Weasley make several appearances to ensure that the book isn’t all doom and gloom. By far, the funniest part of the story is the secret radio show Potterwatch, anonymously hosted by former Hogwarts Quidditch commentator Lee Jordan with special appearances from Fred, George, and ex-Defence Against the Dark Arts professor Remus Lupin. Rowling perfectly mixes this blend of humour, tragedy and adventure so that her epic-length novel never lags or drags.To write a 607 page book that millions of die-hard fans around the world are able to devour in less than 24 hours is no mean feat, but Rowling’s farewell to the Boy Who Lived is an incredibly gripping page-turner that will leave all Potter lovers immensely satisfied."
3,"It's hard for me to believe that I finished the Harry Potter series... I wish this series would go on forever!I don't know how I've gone through my life without these books. I regret not reading it when I was younger, but I am so happy that I finally did, better late than never, right?The world built in these books is so real and tangible, it is truly a masterpiece. The characters are engaging and brilliant, and I love how the plot is so interwoven and twisted within itself, especially in this last book.I was taken by surprise when I started the series, I didn't think it would pull me in as it did. As I kept reading through the books, the characters slyly stole my heart. Now, having finished the last line, I am flooded with emotion. This series is more than a story or words on a page, it is magic."
4,"(A) 86% | ExtraordinaryNotes: It ends too expository and convenient, but the story's compelling, and its new settings are a nice break from formula."
5,I can't believe its over.... I've FINALLY read the Harry Potter series. And WHAT an ending to the series this book was..Video Review: https://youtu.be/aefPuw_O3n4
6,"
""OI! There's a war going on here!""

""Merlin's Pants!""
The six-year build-up is over. The final adventure, towards which we've been sailing for - through six amazing Hogwarts years - is here at last. And yet again, Rowling surpasses her own standards to bring us the most adventurous book of the entire series, to conclude everything is a most dramatic way. Twist after twist after twist is going to keep the reader immersed more than ever. Be warned: once started, you won't have a moment's rest till your finish this one!
""Twelve Fail-Safe Ways to Charm Witches""
It seems redundant now to repeat all the good things about Harry Potter books in general - from plot to writing style - which never reached a plateau, but kept on improving. All of that is still there. But setting up the atmosphere for events has reached a level that is far beyond anything we've seen before. And the complexity of the events has also been increased. Even the few sup-plots are highly detailed and complex, and contributes a lot to the main story. It gives a very fulfilling feeling, when the reader is allowed to connect all the dots as progressing towards the end, tying up a lot of loose ends. Also, it's unbelievable how well the plot twists are introduced - whether they are happy or sad - maintaining suspense better than ever.
""permettez-moi to assister vous,""
The reader is bound to encounter a lot of heartbreaking disappointments here, but all that help make the ending much more satisfying. I did miss the occasional humor, though it would not have complimented well the dark world we are in right now. Oh, and I'm really happy that I only had to hate Snape for a few days... (from finish of Half-blood prince till now) I guess that's the good thing about reading all the books of series at once: less anxiety!
""Wit beyond measure is man's greatest treasure!""
When I started Philosopher's Stone, it made me realize that I've been missing out on a lot - a world of magic which is full of amazing characters. Then the journey got ever so thrilling and entertaining, with each book outperforming the previous one in every possible way. It's been three magical weeks for me - literally and figuratively - from the starting of the first book till the last. I don't recall ever been immersed in a book series as much as I did with Harry Potter, and, though the ending was great, it's sad not being able to continue, to know that this is the end. I've watched the first few HP movies a long time ago, but those didn't come anywhere near the books in my opinion, and I really wasn't a fan. But now, I'm finally enlightened as to why Harry Potter series is much loved by millions. It's impossible not to, once you're through with the books! A well thought out foundation put in place in first three books, then setting stage for the core of the series in next two and finally, an incredibly thrilling ending with the last two books, while each book being a five-star read, at least for me. Harry Potter became the my all-time-favorite book series. 
""Only the difference between truth and lies, courage and cowardice,""
"
7,"(A) 86% | ExtraordinaryNotes: A bittersweet bewitchment: all stumble-back and rally, the touchy truth of bitter youth, and fevered feelings to finale."
8,"“Words are, in my not-so-humble opinion, our most inexhaustible source of magic. Capable of both inflicting injury, and remedying it. Use your words wisely and support trans lives.”- Definitely not JKRI love Harry Potter as much as anyone, which is why I urge everyone who spends money on these books to also support the trans community.To say it with the author's words: “If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.” Well.Here’s a list of organisations that support trans lives (feel free to reach out and recommend more). Every penny counts:Mermaids UKThe Trevor ProjectBlack Visions Collective because Black trans lives matter.Find more of my books on Instagram"
9,Sigh... I just can't
10,I hadn't read this book in so long... it's been great to reread it and notice all the details I had forgotten!It was perfect for the holidays (even though this one is quite dark!)
