,Reviews
1,"Don't mind me, just crying my eyes out. This was WAY better than I remember it being, and I remember it being pretty darn good. J.K. Rowling is a writing goddess and I can't believe how much foresight and planning went into this series. She already hints at the horcruxes and many other things in this book that don't show up until much later. Definitely one of my favorites in the series (but I say that about all of them)!"
2,"Um. Wow. Yeah. That was freaking FANTASTIC!!!! Probably my favorite so far, just wow oh my gosh......WHAT EVEN!! I feel empowered and sad at the same time (sad because...you know). 5/5 stars of course! "
3,"(A) 86% | ExtraordinaryNotes: After a steady build, the series hits its stride. Deep and layered, it goes down smooth, never seeming overly complex."
4,One of my favorites in the series.The ending always gets to me and breaks my heart.
5,This series has taken a damn TURN!Watch my video review here: https://www.youtube.com/watch?v=AEqu8...
6,"(A) 86% | ExtraordinaryNotes: A tone transfiguration, it's so the boy-girl drama, bright to start, but breaks your heart, and ends in tears and trauma."
7,"*To read more reviews by me visit Views & Reviews *I seriously have no idea why I still review these books when I have nothing new to say. I mean... J.K. Rowling is perfect. This series is perfect. And I dream day & night of going to Hogwarts. So what I'm going to do is, I'm going to show you how I felt about this book:When I started the book:During the book:At the end: Umm.. Mam Rowling..All in allSorry for the lame review, readers. I just really don't know what to say.."
8,"I know what you think: Don’t I have anything to do instead of rereading 750 paged long book on my weekend. Of course I am: I could try to cook breads, cakes, muffins or any other carbs involved project and share at my social media account to risk myself turn into Thor’s big bellied image at last Avengers movie for consuming them incessantly like my most friends do till the quarantine ends (it will end eventually, right?) Wait a minute, I cannot do that! I can only pose with burned or overcooked things if I insist to cook. I can also resume home soccer matches with my husband dearest but there is nothing left called glass at our place and I am still stressed walking barefoot because there may be still a tiny threatening glass piece hid somewhere waiting for me! And of course: After Ozark, La Casa Da Papel, Tiger King and Unorthodox, I couldn’t find any appropriate content match with my taste. I’m already working on three books but on weekends: I’m suffering from melancholy and I prefer to do something make me happy in the past. ( Like keep watching Shaun of the Dead, Big Lebowski and Fight Club. Interestingly at your each rewatching séance, you’re catching another detail!) I already told third book is my favorite because it was the last piece that my three musketeers keep their innocence till they take their first steps to the dark side.And this book is the beginning of the dark side. This is the middle part of long installment. A big death will shake them to the cores and everything about their life will change forever. This is one of the darkest, more action packed, gripping, thrilling but also heartbreaking book of the series. When I first read it nearly 20 years ago, I didn’t get intimidated when I see the page numbers. On contrary I felt blessed because normally I have been finishing a Harry Potter novel in a day (At least I finished the first three books in one day! Correction: First book took me only half day. Thanks to my fast reading technique I improved at college years!)Book’s longevity was great news. I could spend more time in Harry Potter’s world!After reading the whirlwind Quidditch Cup competition parts, I adored blooming creativity and visionary scenes written by JKR. I went back to my younger, dumber self and remembered the times how I cherished the chapters, how I thrilled when Harry succeeded and how I flabbergasted after reading the shocking ending.I adored it again and I promised myself to read it another 20 years later. ( I hope I won’t be at quarantine next time)I recommend you to read the books give you time travel to your happy times at the past so you can handle the daily terrors and find the strength to carry hope into your near future. That’s why JKR is one of my all time favorite authors!"
9,"There is an incredibly somber mood that descends on me every time I finish this book in the series, and reading it with the illustrations did nothing to change that. I felt the drawings were impeccable, and I loved how some of the characters were reimagined to look a different way than portrayed in the movies, my favorite being Mad Eye Moody. Now, the long wait for the remainder of the illustrated editions. :("
10,Here's some pics from the new Illustrated Edition! I have no idea why this didn't show as being read but who cares. It's Harry Potter and I can reread and listen to them forever!! Mel 🖤🐾🐺
