,Reviews
1,"There are two kinds of people in the world. Those who like green eggs and ham, and those who don't.Well, three. Those who like green eggs and ham. Those who don't. And those who like the green eggs but not the ham. It's just ham, not green ham. We should get that straight. Oh, correction, it's green ham too.Anyhow four kinds of people. The haters, the likers, the green egg but not green hammers, and the green hammers but not green eggs.Actually I guess there are the people who would eat them with a fox, but not in a box. And some who would eat them with a fox, in a box, on a train, but not with a goat.Ok. So there are lots of kinds of people in the world. Dr Seuss invents diversity. Kudos.Really the book is about the key existential question in the 20th and 21st centuries. Green food, yes or no, and under what conditions. It's a metaphor for where a man ... or woman ... or thing called Sam ... draws the line.Where people, where will you draw that line?Green eggs and (green) ham is a cipher for our age, an antithesis to the jejune, a whirlwind of growing complexity into which we pour our souls and come face to face with the naked question - will we try them? Try them and we may, I say. Seuss offers us a black and white and green question - do we like them? But this devolves into shades of grey (green), we're crippled with choice, seduced by the rhythm, shocked by the goat.In the end, my friends, there are only two kinds of people. Those who push the 'like' button on my review of Green Eggs and Ham, and those who suck.  Join my Patreon Join my 3-emails-a-year newsletter #prizes.."
2,"This is a very complex story of two gentlemen from two very different walks of life. Introvert, extrovert... good, evil... Democrat, Republican... you get the idea. It also parallels the generational gap between those set in their ways, and those willing to venture out and explore perhaps a different approach to life. However you dissect it, there is an initial, almost uncomfortable clash between the two main characters in this saga. None the less, you cannot help but continue to turn the pages as you delve into this story, no matter how uncomfortable it may seem at the time. You find yourself relating to either of the characters, and perhaps even a little of both. The main crux of the story relates one man, Sam I Am, trying to please the elderly statesman into venturing into unknown worlds. The elderly character, who is nameless, seems old and set in his ways, seeming to fall back onto years of wisdom, and contradictally, foolishness, as he puts up walls between himself and Sam. Sam is relentless in his persuit to please the elder. Houses, foxes, goats, tunnels, trains, boats, mice. The story finally climaxes as the two characters have experienced a horrendous shipwreck, and as they are fighting for their lives together in the angry sea, the culmination of Sam's efforts converge into one page... a page without a word being spoken. The elder gentleman finally steps outside of his comfort zone, and realizes that he has wasted much energy fighting the personal demons that dwelled inside him. Rescued and back on shore, Sam and the gentleman forge a relationship that is much stronger than it could have ever been, had neither character played the ""give and take"" game that solidifies our own relationships we experience in our own lives. We see a little (or a lot) of each one of us in both characters, and I believe that the author is trying to deliver a message for generations to come about the importance of harmony in relationships.I highly recommend this book. You can easily finish it in a weekend. Once you start, it will be hard to put down."
3,"Green Eggs and Ham, Dr. SeussGreen Eggs and Ham is a children's book by Dr. Seuss, first published on August 12, 1960. The story has appeared in several adaptations starting with 1973's Dr. Seuss on the Loose starring Paul Winchell as the voice of both Sam-I-am and the first-person narrator.The story becomes a refrain as Sam persistently follows his rival through an assortment of locations (in a house, in a box, in a car, in a tree, on a train, in the dark, in the rain, on a boat) and dining partners (a mouse, a fox, and a goat). The character finally gives in and tries the dish, just to make Sam “let him be”, and finds it quite tasty, happily responding, ""I do so like green eggs and ham. Thank you. Thank you, Sam-I-am.""تاریخ نخستین خوانش: روز بیست و سوم ماه می سال2011میلادیعنوان: صبحانه سبز عجیب (تخم مرغ‌های سبز و گوشت، سال1960میلادی)؛ نویسنده: سئوس (تئودور سوس گایزل = دکتر سوس)؛ مترجم: امیرحسین میرزائیان (میرزاییان)؛ تهران، گیسا، (سال1389هجری خورشیدی)، سال1390؛ در72ص؛ مصور، رنگی، شابک9786009161881؛ چاپ دیگر تهران، نشر آت، سال1396؛ شابک9786009643639؛ موضوع داستانهای کودکان برای گروه سنی الف و ب از نویسندگان آلمان - سده20ماثری خیال انگیز و شعرگونه از: «تئودور سئوس گایزل»، با نام هنری: «دکتر سئوس» است، «دکتر سئوس»، محبوبترین نویسنده ی کودکان تمام دوران نام گرفته است؛ از زمان انتشار شعرهای طنزش با تصویرهای جذاب، کتابهای ایشان، کودکان بسیاری را به کتاب خواندن، تشویق کرده، و برای همین روز تولد ایشان، به نام: «روز کتابخوانی» تعیین شده استاز دیگر افتخارات «دکتر سئوس»، میتوان به جایزه ی ادبی «پولیتزر»، و هشت دکترای افتخاری، اشاره کرد؛ آثاری که ب�� مبنای نوشته های «دکتر سئوس» ساخته شده، تا کنون برنده سه جایزه ی «اسکار»، و سه جایزه ی «گرمی»، و سه جایزه ی «امی» شده اند؛در داستان «صبحانه سبز عجیب»، «سم کوچک» کوشش میکند، دوست غرغروی خویش را، به خوردن غذای سبز رنگ عجیبی، دعوت کند، اما دوست اخمو، حاضر نیست به هیچ وجه، در هیچ جا و با هیچ کس، زیر بار خوردن آن برود؛ در آخر کار، متوجه میشوید، که اگر کسی غذای جدیدی را به شما تعارف کرد، و شما ظاهر آن خوراکی را دوست نداشتید، کافی است یک ذره از آن را، امتحان کنید، شاید از آن خوشتان آمد!؛تاریخ بهنگام رسانی 12/01/1400هجری خورشیدی؛ 27/10/1400هجری خورشیدی؛ ا. شربیانی"
4,"

 This is a children's book written by Dr. Seuss (Seuss, pseudonym of Theodor Seuss Geisel.) This book tells us the story of Sam-I-Am and the grumpy guy. Sam is trying to feed the guy (without a name) with green eggs and ham, which he keeps rejecting despite all the options that Sam told him.It might be a small children's book, but everyone can learn a few valuable lessons from this book.
What are the positive life lessons that you can teach your children from this story 
1) Always stay focused and be patient. 2) Always be optimistic. Despite hearing no multiple times, Sam didn't lose hope and kept on trying. 3) Always keep the goal constant but try to relentlessly take different paths towards the goal when the path we initially tried to follow didn't work. It should depend on the situation and its feasibility. 
What is the negative associated with this story that you should be careful about while teaching this story? 
The parents and teachers should be careful while telling the moral of this story to young children. There is a chance it might make the children think that they should never accept no as the answer.For example, when the child grows up and when a lady does not accept his proposal and if she says no, the grown-up child should learn to accept that no graciously. If they can't accept that no as a definite no and keeps pestering the lady, again and again, like in this book, it might enter the dangerous stalking territories. Despite all the negatives, we can still say that this book will be an excellent choice for you to give to the younger generation for both entertainment and inspiration."
5,"Say! I love Green Eggs and Ham. I do! I love it Seuss-I-am. So I will read it with Miloš Or he will read it cause he's precoš.And I will read it with my TëAnd we will read it night and day. And I will read it to my ScoutAnd she will love it, I have no doubt.And I will read it in the rain.And I will read it on the train. And I will read it in my socks. And I will read it with a fox. And I will read it in the shower.And I will read it every hour.And I will read it doing dishes.And I will read it with the fishes. I will read it here or there. Say! I will read it ANYWHERE!I do so love Green Eggs and Ham. Thank you. Thank you, Seuss-I-am.Audio: Me reading this review thanks to Bird Brian. "
6,"First let me say I love Dr. Seuss. I just finished reading 'Green Eggs And Ham' with my granddaughter and we really enjoyed it. In short, the book teaches children to try something first before they decide they don't like something. The illustrations are great! I beleve we can all take a lesson from this one."
7,"Here are green eggs and ham in real life. They're made of danger.courtesy of this woman who is undoubtedly super niceIf your ham and eggs are green, they are rancid. Of course they are! That's what green means! They're poison now. You're going to be sick. Tautological nightmare Sam I Am is trying to convince our protagonist - unnamed, like the children in Cat in the Hat and others in Seuss's Kafkaesque universe - to eat rancid food. Understandably, our hero is reluctant. But Sam I Am won't quit. He uses increasingly brutal tactics to break our hero down. Here he is hitting him with a car.Soon Sam I Am will drive the car off a cliff into the ocean - a goat will be involved too, because why not - and here, near drowning, our hero is finally defeated.If this all sounds a little familiar, it's because it's exactly the ending of 1984.Seuss, one of our darkest and most anguished writers, has a fascination with psychological torture. His nihilistic masterpiece Fox in Socks presents a darker end to a similar journey: Fox brainwashes his prey with relentless reality-bending tongue twisters until Knox breaks and destroys him with his own weapons. It's A Clockwork Orange with rhyming: ""I was cured alright.""The tactic here is an infinite doubling down until you lose all sense of reality. If you repeat something enough times, even if it's gibberish, it starts to sound like there must be a reasonable argument for it, or people wouldn't keep bringing it up. You use simple words, short sentences. Dr. Seuss's publisher bet him that he couldn't write a book using only 50 words. Green Eggs & Ham uses exactly 50 words. They form a lunatic vortex.Say! In the dark? Here, in the dark?Would you, could you, in the dark?Well, no, says our hero. That...that sounds crazy, right? I would not, could not eat green eggs and ham in the dark! Not in the rain! Not on a train! But - but maybe if we could just slow down for a moment, I could - I could have a taste. Would that be a good compromise? Is that the new normal? If you say ""Fake news"" enough times, some people will believe that too. It's hard to remember what normal used to be. Were there rules? Did anyone follow them? You have to step back, again and again, and re-center yourself. You do know what a sane world looks like. That food is green. It's made of poison. Don't let them break you."
8,"I do not think that Doctor SeussShould be a God, like Thor or ZeusAnd if you hate Green Eggs and HamMy Dear, I could not give a Damn"
9,"

Book Review

4 of 5 stars to Green Eggs and Ham, a picture book written by Dr. Seuss in 1960. Another delightful children's book full of wonderful images and fantastic rhymes. These are amazing books to use as tools that engages young kids in reading at a very early age. The topic in this one... Sam-I-Am and all the places to eat green eggs and ham! On some levels, the things they eat and the places they go are not appropriate for kids, but it's meant as humor and fun... so I let those things go. Another book to read with a child... not hand off and hope (s)he figures it out. And Dr. Seuss has a world of characters children love and want to hear and see all the time. I'd definitely recommend this one as a starter book for your kids... even with some of the items to be careful over, when it comes to being funny versus truthful... and not giving off incorrect perceptions:I loved it as a childAnd I simply love it nowBut don't get too crazy or wildNor caught up in the howEnjoy our famous friendThe wonderful Dr. SeussHe likes to our ears just bendA fun and dandy ruse

About Me

For those new to me or my reviews... here's the scoop: I read A LOT. I write A LOT. And now I blog A LOT. First the book review goes on Goodreads, and then I send it on over to my WordPress blog at https://thisismytruthnow.com, where you'll also find TV & Film reviews, the revealing and introspective 365 Daily Challenge and lots of blogging about places I've visited all over the world. And you can find all my social media profiles to get the details on the who/what/when/where and my pictures. Leave a comment and let me know what you think. Vote in the poll and ratings. Thanks for stopping by. Note: All written content is my original creation and copyrighted to me, but the graphics and images were linked from other sites and belong to them. Many thanks to their original creators."
10,"The Argyle Sweater by Scott HilburnOkay. I never heard this little story before. It seems this book . . . . . . was written on a bet. Bennett Cerf, co-founder of Random House and Seuss’s editor, bet him $50 that he couldn’t write a book using only 50 unique words. Seuss made it work with exactly 50—but Cerf never paid his debt. Seuss probably didn’t notice, as the book went on to become one of the best-selling picture books ever written (with any number of words).The 50 unique words, in case you’re interested, are: a, am, and, anywhere, are, be, boat, box, car, could, dark, do, eat, eggs, fox, goat, good, green, ham, here, house, I, if, in, let, like, may, me, mouse, not, on, or, rain, Sam, say, see, so, thank, that, the, them, there, they, train, tree, try, will, with, would, & you.*Cool, huh?*ON THE ACCIDENTAL ORIGINS OF BELOVED BOOKS by Emily TempleLiterary Hub 3/29/17"
