,Reviews
1,"Hamlet, abridged:GHOST/DAD: Hamlet, your uncle killed me and married your mom. I want vengeance, so best get to murdering, plzthnx. HAMLET: EEK! OPHELIA: Hamlet, are you okay?HAMLET: Get away from me, skankwhore! OPHELIA: WTF? *goes from zero to crazy like that*GERTRUDE: Kid, you need therapy.HAMLET: And you need to be less of AN ADULTEROUS WHORE! POLONIUS: OMG so rude!HAMLET: Eavesdropping? I KEEL YOU!*play goes on hold while Hamlet talks to skeletons*LAERTES: You killed my dad and drove my sister to suicide, you jerk! I challenge you to a duel!HAMLET: I KEEL YOU!CLAUDIUS: MWAHAHAHA! I put poison in your goblet, Hamlet!GERTRUDE: Yum, poisoned wine. *dies*CLAUDIUS: Whoops, my bad.HAMLET: I KEEL YOU! GHOST/DAD: Wow, nice job son. Except for the part where you're bleeding all over my castle.HAMLET: Ah, dammit. *dies*And then the even more abridged version:ROCKS FALL, EVERYONE DIES. The end.Really, what's not to love?Read for: 12th grade AP EnglishBONUS (courtesy of Married to the Sea, a webcomic you should probably read on a regular basis):http://www.marriedtothesea.com/021306...BONUS BONUS: Speaking of Ophelia..."
2,"I don't have any earth-shattering insights to share from this most recent of god-knows-how-many readings, but this time through I was struck by: 1) what a damn fine piece of stagecraft this is, from the suspenseful, moody opening on the castle battlements to the solemn dead march carrying the prince offstage, and 2) how Shakespeare seems to want Hamlet's personality--particularly the wellspring of his actions (and lack of action)--to remain an enigma, and that he achieves this by infusing the character with so much of himself--so much wit and poetry, so much despondency and savagery--that the result is that the audience simply bows before the great mystery of human personality, and that this reverence for the unknown lurking in the heart of an extraordinary man intensifies the sense of pity, horror and waste that fills us at the end of the play."
3,"متردد في قراءة هاملت..ستندم اذن!اكلنا نكره الاختيارات..و نجاهد احيانا لنلقي بها على غيرنانختار هذا اللون..ام ذاك؛ننام ام نعمل ..نقرأ هاملت و لا نؤجلها؟ننتقم ام نسامح ؟و الاهم☀ نسلك هذا الطريق المضيء..ام ذاك الطريق المعتم؟نكون او لا نكون؟ا""غاية ما دافعت به عن اب و ملك عزيز نكب أشد النكبات..هو ان اهذي هذيان الحالم. .مع ان شاغل الانتقام ملأ نفسي..جبان انا""؟؟حسنا و من منا لم تطن في أذنه هذه الكلمات..لمرات و مرات و نحن نلوم أنفسنا على تخاذلناعن أخذ حقوقنا..او حقوق من نحبللاسف سيظل هاملت هو انا و انت و كل من يمتلك بذرة الخير و العدل في نفسهو بحلول سن الثلاثين سيختار كل مناهل سيكون؟و هؤلاء محظوظون  او لا يكون ؟..و ساعتها سيضع نفسه على وضع الطيار الآلى الشهير ""عايش و مش عايش ""..حتى يقضي الله في أمره..و حينها لن يلح عليه سؤال هاملت ...و لن يكون مطالبا باتخاذ اي قرارا""سيظل فني خالدا ..ما دامت هناك عيون ترى و اذان تسمع ""صدقت شكسبير بالفعل..قد تخيفنا اللغة الثقيلة. ..قد تصدنا مبادىء قديمة..و لكنه سيجذبنا هو شاب نبيل ؛قلبه كبير قست عليه الحياة فثار عليها. .تشكك في الفضيلة..يأس من الناسلكنه ظل مطالبا بالثار ممن قتل والده..احقاقا للعدل الذي ظل يؤمن به..و الفضيلة التي يطمح إليها و لو رغما عنه👀و لكنه التردد..التردد ..لعنة هاملت""ان التفكير الكثير في احتمالات الموقف..يؤدي إلى شلل في التصرف ""و هكذا لخص لنا هاملت مأساته في سطر واحدأليست ماساتنا جميعا ؟💬و من فينا اليوم لا يشعر بحيرة هاملت و تشاؤمه؟ ..قلقه و كابتهمن؟ لذا من المؤكد انك ستجد نفسك تقراها او تشاهدها كاملة ذات يوم ..من الايامLink for an english review https://www.goodreads.com/review/show..."
4, if you don't ship Hamratio did you even read the play???
5,"The Skinhead Hamlet - Shakespeare's play translated into modern English. By Richard Curtis. Yes, that Richard Curtis! Note : those offended by the F word - LOOK AWAY NOW! And Georgia, if you've stumbled on this review by your funny old dad - this is ANOTHER Paul Bryant. Not me! *********ACT ISCENE IThe Battlements of Elsinore Castle.[Enter HAMLET, followed by GHOST:] GHOST: Oi! Mush! HAMLET: Yer? GHOST: I was fucked! [Exit GHOST:] HAMLET: O Fuck. [Exit HAMLET:] SCENE IIThe Throneroom.[Enter KING CLAUDIUS, GERTRUDE, HAMLET and COURT:] CLAUDIUS: Oi! You, Hamlet, give over! HAMLET: Fuck off, won't you? [Exit CLAUDIUS, GERTRUDE, COURT:] HAMLET: (Alone) They could have fucking waited. [Enter HORATIO:] HORATIO: Oi! Watcha cock! HAMLET: Weeeeey! [Exeunt:] SCENE IIIOphelia's Bedroom.[Enter OPHELIA and LAERTES:] LAERTES: I'm fucking off now. Watch Hamlet doesn't slip you one while I'm gone. OPHELIA: I'll be fucked if he does. [Exeunt:] SCENE IVThe Battlements.[Enter HORATIO, HAMLET and GHOST.:] GHOST: Oi! Mush, get on with it! HAMLET: Who did it then? GHOST: That wanker Claudius. He poured fucking poison in my fucking ear! HAMLET: Fuck me! [Exeunt.:] ACT IISCENE IA corridor in the castle.[Enter HAMLET reading. Enter POLONIUS.:] POLONIUS: Oi! You! HAMLET: Fuck off, grandad! [Exit POLONIUS. Enter ROSENCRANZ and GUILDENSTERN.:] ROS & GUILD: Oi! Oi! Mucca! HAMLET: Fuck off, the pair of you! [Exit ROS & GUILD.:] HAMLET: (Alone) To fuck or be fucked. [Enter OPHELIA.:] OPHELIA: My Lord! HAMLET: Fuck off to a nunnery! [They exit in different directions.:] ACT IIISCENE IThe Throne Room.[Enter PLAYERS and all COURT.:] FIRST PLAYER: Full thirty times hath Phoebus cart... CLAUDIUS: I'll be fucked if I watch any more of this crap. [Exeunt.:] SCENE IIGertrude's Bedchamber.[Enter GERTRUDE and POLONIUS, who hides behind an arras.:] [Enter HAMLET.:] HAMLET: Oi! Slag! GERTRUDE: Watch your fucking mouth, kid! POLONIUS: (From behind the curtain) Too right. HAMLET: Who the fuck was that? [He stabs POLONIUS through the arras.:] POLONIUS: Fuck! [POLONIUS dies.:] HAMLET: Fuck! I thought it was that other wanker. [Exeunt.:] ACT IVSCENE IA Court Room.[Enter HAMLET, CLAUDIUS.:] CLAUDIUS: Fuck off to England then! HAMLET: Delighted, mush. SCENE IIThe Throne Room.[Enter OPHELIA, GERTRUDE and CLAUDIUS.:] OPHELIA: Here, cop a whack of this. [She hands GERTRUDE some rosemary and exits.:] CLAUDIUS: She's fucking round the twist, isn't she? GERTRUDE: (Looking out the window.) There is a willow grows aslant the brook. CLAUDIUS: Get on with it, slag. GERTRUDE: Ophelia's gone and fucking drowned! CLAUDIUS: Fuck! Laertes isn't half going to be browned off. [Exeunt.:] SCENE IIIA Corridor.[Enter LAERTES.:] LAERTES: (Alone) I'm going to fucking do this lot. [Enter CLAUDIUS.:] CLAUDIUS: I didn't fucking do it, mate. It was that wanker Hamlet. LAERTES: Well, fuck him. [Exeunt.:] ACT VSCENE IHamlet's Bedchamber.[Enter HAMLET and HORATIO.:] HAMLET: I got this feeling I'm going to cop it, Horatio, and you know, I couldn't give a flying fuck. [Exeunt.:] SCENE IILarge Hall.[Enter HAMLET, LAERTES, COURT, GERTRUDE, CLAUDIUS.:] LAERTES: Oi, wanker: let's get on with it. HAMLET: Delighted, fuckface. [They fight and both are poisoned by the poisoned sword.:] LAERTES: Fuck! HAMLET: Fuck! [The QUEEN drinks.:] GERTRUDE: Fucking odd wine! CLAUDIUS: You drunk the wrong fucking cup, you stupid cow! [GERTRUDE dies.:] HAMLET: (Pouring the poison down CLAUDIUS'S throat) Well, fuck you! CLAUDIUS: I'm fair and squarely fucked. [CLAUDIUS dies.:] LAERTES: Oi, mush: no hard feelings, eh? HAMLET: Yer. [LAERTES dies.:] HAMLET: Oi! Horatio! HORATIO: Yer? HAMLET: I'm fucked. The rest is fucking silence. [HAMLET dies.:] HORATIO: Fuck: that was no ordinary wanker, you know. [Enter FORTINBRAS.:] FORTINBRAS: What the fuck's going on here? HORATIO: A fucking mess, that's for sure. FORTINBRAS: No kidding. I see Hamlet's fucked. HORATIO: Yer. FORTINBRAS: Fucking shame: fucking good bloke. HORATIO: Too fucking right. FORTINBRAS: Fuck this for a lark then. Let's piss off. [Exeunt with alarums.:] "
6,"The Tragedy of Hamlet, Prince of Denmark, William ShakespeareThe Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1602. Set in Denmark, the play depicts Prince Hamlet and his revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.عنوانهای چاپ شده در ایران: «هملت»؛ «سوگنمایش هملت شاهپور دانمارک»؛ «تراژدی هملت : پرنس دانمارک»؛ «هملت شاهزاده ی دانمارک»؛ سروده: ویلیام شکسپیر؛ تاریخ نخستین خوانش: در روزهای ماه مارس سال 1972میلادیعنوان: هملت؛ سروده: ویلیام شکسپیر؛ مترجم: مسعود فرزاد؛ تهران، بنگاه ترجمه و نشر کتاب، 1337، در 290ص؛ چاپ دوم 1346؛ موضوع سوگنمایش از نویسندگان بریتانیا - سده 16معنوان: هملت؛ سروده: ویلیام شکسپیر؛ مترجم: داریوش شاهین؛ تهران، جاویدان، 1344، در 278ص، مصور؛ عنوان: هملت؛ سروده: ویلیام شکسپیر؛ مترجم: محمود اعتمادزاده (م.ا. به آذین)؛ تهران، اندیشه، 1344، در 288ص؛ چاپ دوم فروردین 1351؛عنوان: سوگنمایش هملت شاهپور دانمارک؛ سروده: ویلیام شکسپیر؛ ویراستار: هارولد جنکینز؛ مترجم: میرشمس الدین ادیب سلطانی؛ تهران، نگاه، 1385، در 395ص، فارسی انگلیسی، شابک 9643513297؛ عنوان: هملت؛ سروده: ویلیام شکسپیر؛ مترجم: آرش خیرآبادی؛ مشهد، پاژ، 1387، در 232ص؛ شابک 9789648904536؛عنوان: هملت؛ سروده: ویلیام شکسپیر؛ برگردان: رضا دادویی؛ تهران، آدورا، 1391، در 275ص، شابک 9786009307135؛ عنوان: تراژدی هملت : پرنس دانمارک؛ سروده: ویلیام شکسپیر؛ مترجم: بهزاد جزایری؛ تهران، انتشارات پلک، 1393، در 412ص، شابک 9789642353187؛ عنوان: هملت شاهزاده ی دانمارک؛ س��وده: ویلیام شکسپیر؛ مترجم: شیدا فروغی؛ قزوین، سایه گستر، 1393، در 48ص، شابک 9786003740082؛ عنوان: هملت؛ سروده: ویلیام شکسپیر؛ مترجم: مهرداد پورعلم؛ تهران، انتشارات ایران، 1394، در 191ص؛ ��ابک 9786005347593؛نمایش‌نامه‌ ای تراژیک اثر «ویلیام شکسپیر» است که در سال 1602میلادی نوشته شده، و یکی از مشهورترین نمایش‌نامه‌ های تاریخ ادبیات جهان به شمار است؛ نمایش نامه از آنجا آغاز می‌شود که «هملت شاهزاده دانمارک»، از سفر «آلمان» به قصر خود در «هلسینبورگ دانمارک» بازمی‌گردد، تا در مراسم خاکسپاری پدرش شرکت جوید؛ پدرش به گونه ای مرموز به قتل رسیده‌، کس از چند و چون قتل شاه آگاه نیست؛ «هملت» درمی‌یابد، که مادر و عمویش با هم پیمان زناشویی بسته، و هم بستر شده‌ اند؛ وسوسه‌ ها و تردیدهای «هملت» هنگامی آغاز می‌شود، که روح شاه مقتول بر او نمایان می‌شود؛ روح به «هملت» میگوید که چگونه به دست برادر خویش به قتل رسیده‌ است، و از «هملت» می‌خواهد انتقام باز ستاند؛ «هملت» در گیر و داری اشتباهاً پدر معشوقه‌ اش «اوفلیا» را، به قتل می‌رساند، پدر «اوفلیا» در پشت پرده، مشغول جاسوسی بوده، و «هملت» اشتباهاً، او را «کلادیوس» پنداشته بود؛ «اوفلیا» از مرگ پدر آشفته می‌شود، و خود را در رودخانه‌ ای غرق می‌کند؛ سرانجام پس از درگیری با «لایریتس»، برادر «اوفلیا»، که به خونخواهی خواهر و پدر برخاسته بود، «هملت» انتقام پدر خویش را، از عموی خویش نیز می‌گیرد؛ و در پایان نمایش هر دوی آنها، به همراه «گرترود» و برادر «اوفلیا» کشته می‌شوندشخصیتهای نمایش عبارتند از: «کلادیوس: پادشاه دانمارک و عموی هملت»؛ «هملت: پسر شاه پیشین، و برادرزاده ی پادشاه کنونی»؛ «گرترود: ملکه ی دانمارک و مادر هملت»؛ «پولونیوس: لرد چمبرلین»؛ «اوفلیا: دختر پولونیوس و معشوقه ی هملت»؛ «هوراشیو: دوست هملت»؛ «لایریتس: پسر پولونیوس»؛ «کورنلیوس، روزنکرانس، گیلدسترن: دوستان هملت»؛ «مارسلوس: افسر»؛ «برناردو: افسر»؛ «فرانسیسکو: سرباز»؛ «رینالدو: خادم پولونیوس»؛ «شبح: پدر هملت»؛ «فورتینبراس: شاهزاده نروژ»؛ «گروه بازیگران دوره گرد»؛ تاریخ بهنگام رسانی 11/06/1399هجری خورشیدی؛ 26/05/1400هجری خورشیدی؛ ا. شربیانی"
7,"shakespeare when pitching this play, probably: this is my OC hamlet. hes a prince. hes bisexual. hes moody, brooding, and is anywhere between the ages of 16 to 30 years old. and no, i am not taking constructive criticism.well, let me tell you what. im sold! i love hamlet. i love his angsty monologues. i love his sassy remarks. i love that he cant seem to shut up. i love his relationship with horatio. i love everything about him avoiding osric and his hat. i love that hes OTT and i seriously cant get enough. also, for those of you who have read this, watch this. its great.↠ 4.5 stars"
8,"یه اعتراف می خوام بکنم:من قبلاً از بین کارهای شکسپیر، هملت رو اصلاً دوست نداشتم. عاشق اتللو و مکبث بودم، ولی از هملت خوشم نمی اومد اصلاً و نمی دونستم چرا معروف ترین اثر شکسپیره.همه ى اين ها، تا وقتى شنيدم ""بنديكت كمبربچ"" نقش هملت رو بازى كرده. قبلاً اجراى سينمايى ""مل گيبسون"" رو ديده بودم، و راستش چندان كمكى نكرد كه هملت رو بيشتر دوست داشته باشم. اما بنديكت كمبربچ ماجراى ديگه ايه. با سختى اين اجرا رو پيدا كردم، و: موسيقى بى نظير، طراحى لباس بى نظير، طراحى صحنه ى بى نظير، نور پردازى بى نظير... اما همه ى اين ها فقط زيورهايى عارضى بودن گرد جوهر اصلى: بازى بى نظير.عادت شكسپير اينه كه تقريباً هيچ كدوم از حالات شخصيت ها و لحن ديالوگ ها رو نمى نويسه و همه رو واگذار كرده به كارگردان و بازيگر. كلماتش همه خشك و بى جان هستن، و يك كارگردان و بازيگر خوب نيازه تا روح درستى به اين كلمات بدمه. يكى مثل بنديكت كمبربچ كه با دم مسيحايى ش به تك تك كلمات، شخصيت متمايزى بده، روح مستقلى بده، و حالات چهره اى به نمايشنامه اضافه كنه كه مثل شارح يك كتاب قديمى، جمله به جمله شرح بده كه چطور بايد هر جمله رو فهميد.اوايل فيلم خیلی از دیالوگ ها رو متوجه نمی شدم به خاطر نثر قديمى شكسپير، و زيرنويس هم موجود نبود. به خاطر همین رفتم ترجمه ی ""م.ا به آذين"" (كه اتفاقاً از مترجم هاييه كه دوست دارم نثرشون رو) از نمایشنامه رو دانلود کردم. نمايشنامه رو باز گذاشتم کنار فیلم و همزمان فیلم رو می ديدم و ترجمه رو می خوندم، و به اين ترتيب بنديكت كمبربچ دست به دست م.ا به آذين، باعث شدن هملت با دوازده پله از قعر جدولِ نمايشنامه هاى محبوب من، به جايگاه صدرنشينى صعود كنه.آنك من: شيفته و دوستدار هملت!"
9,بين العبقرية و الجنون شعرة. فهل ادعى هاملت الجنون ليثأر لمقتل أبيه أم أنه جن فعلا و تصرفاته بعد ذلك هي قمة الجنون؟في مسرحية لم ينج منها أحد من السيف أو السم أو الغرق ... هل خسر الجميع و فاز الجمهور؟تبدأ الحكاية بموت الملك و عودة ولده هاملت إلى الدنمارك لتولي العرش فيجد أن أمه قد تزوجت عمه الذي اعتلى العرش فيصاب بالإكتئاب الشديد حزنا على والده و أمه و عرشه. يتصور طيف أبيه الذي يصرح له بأنه مات بالسم صريع مؤامرة من زوجته و أخيه و يطالب ابنه بالثأر فتتصاعد الأحداث الدرامية ذات النكهة الفلسفية كعادة العبقري وليام شكسبير حتى النهاية في مشهد ميلودرامي مؤثر يموت فيه هاملت بعد أن انتقم لوالده و أراق بركة من الدم بها من الضحايا اللذين لا ذنب لهم أكثر مما بها من الخونة المستحقين للقتل.هل تستحق الحياة الموت من أجلها؟ فماذا سيبقى بعد الموت؟ و هل الشرف في لذة العيش أم في الاستغناء عن الملذات في سبيل تحقيق الذات؟عندما هتف هاملت بعبارته الشهيرة أكون أو لا أكون .. تلك هي المشكلة. هل سلك الدرب الوعر الذي أفضى إلى حل المشكلة أم أنها ازدادت تعقيدا؟ ما جدوى الحياة أصلا و هي مليئة بالشر و المطامع و لن ينج منها أحد مهما اقترف من خير أو شر؟مسرحية تم تقليبها على كل الوجوه منذ عدة مئات من السنين و ما زالت طازجة حتى الأن حتى أن دم هاملت ما زال ينزف و صوته يتردد بالأسئلة التي ليس لها أجوبة.
10,"Is it possible that I had only read the first 4 scenes and Hamlet already became one of my favorite male characters ever? YES! Why? He’s constantly wearing black and monologuing about how literally everything is hard and making everything more dramatic then it is, is so ME!? And this is considered a tragedy (which in some ways it is) but I found it so funny (probably because I have a dark soul) and I will definitely reread this at any given moment of peace.I absolutely loved this play, and I’m so happy that now I can say that I have read Shakespeare! I’m a cultured woman now y’all. 🙌😂"
