,Reviews
1,"Kids are evil. Don't you know?I've just finished rereading this book for my book club but, to be honest, I've liked it ever since my class were made to read it in high school. Overall, Lord of the Flies doesn't seem to be very popular, but I've always liked the almost Hobbesian look at the state of nature and how humanity behaves when left alone without societal rules and structures. Make the characters all angel-faced kids with sadistic sides to their personality and what do you have? Just your average high school drama, but set on a desert island. With a bit more bloody murder. But not that much more.In 1954, when this book was published, Britain was in the process of being forced to face some harsh realities that it had blissfully chosen to ignore beforehand - that it is not, in fact, the centre of the universe, and the British Empire was not a thing of national pride, but an embarrassing infringement on the freedom and rights of other human beings. Much of British colonialism had been justified as a self-righteous mission to educate and modernise foreign ""savages"". So when put into its historical context, alongside the decolonisation movements, this book could be said to be an interesting deconstruction of white, Western supremacy. Of course, to a modern reader there's a lot of racism in this book. The racial aspect is a big factor. Golding establishes from the very first page that Ralph is a perfect white, blonde-haired, blue-eyed, private school boy. And Piggy even asks ""Which is better - to be a pack of painted n*****s like you are or to be sensible like Ralph is?"" I'm not going to argue with anyone's interpretation, but I think there is actually room to see this book as a criticism of racism. For me, I always saw it as Golding challenging the notion of savages being dark-skinned, uneducated people from rural areas. With this book, he says screw that, I'll show you savages! and proceeds to show us how these private school silver spoon little jewels of the empire are no better for their fancy education and gold-plated upbringing.I think that seemed especially clear from the ending when the officer says 
""I should have thought that a pack of British boys - you're all British, aren't you? - would have been able to put up a better show than that.""
 Golding's way of saying that human nature is universal and no one can escape it.Some readers say that you have to have quite a negative view of human nature already to appreciate this book, but I don't think that's true. I'm not sure I necessarily agree with all the implications running around in the novel - namely, the failure of democracy and the pro-authority stance - but it serves as an interesting look at the dark side of human nature and how no one is beyond its reach. Plus, anyone who had a bit of a rough time in high school will probably not find the events in this book a huge leap of the imagination. The fascinating thing about Lord of the Flies is the way many historical parallels can be drawn from the messages it carries. You could choose to view the charismatic and manipulative Jack Merridew as a kind of Hitler (or other dictator) who takes advantage of a group of people at their weakest. Dictators and radicals often find it easy to slip in when a society is in chaos... we do not have to assume that Golding believed that everyone everywhere is evil, only that we all have the capacity for it when we find ourselves in unstable situations.Still a fascinating book after all these years.Blog | Facebook | Twitter | Instagram | Youtube"
2,"I read this book a long time ago, long enough to where I barely remembered anything past the basic premise. So I picked it up again, only to wish I hadn't. There's a reason why they teach this book in middle school--in order to enjoy this book, one's intellectual cognizance must be that of a child, because otherwise you'll spend the entire time picking out everything that's wrong with the book. And there's a lot to pick out.From what little of the story that is actually coherent, I can see why this book has had a lasting effect on social commentary since it's initial publishing. The overlying illustration of how easily man can devolve back to his feral instincts is striking, yet could have been infinitesimally more effective in the hands of a decent writer. See, I would have cared a bit more about the little island society of prepubescent boys and their descent into barbarism if you know, any of the characters had been developed AT ALL. Instead, we're thrown interchangeable names of interchangeable boys who are only developed enough to conform to the basic archetypes Golding requires to hobble his little story along: The Leader, The Rebel, The Fat-Kid, The Nose-Picker, etc. Were he born in this time, I believe Golding would have done brilliantly as a scriptwriter for reality TV. And the plot? There's a plot? I'm guessing so, since things seem to happen, but it's kind of hard to tell since he spends pages describing irrelevant events that are never incorporated, characters that possibly exist yet probably don't, and using words that don't mean what he thinks they mean. And as the main characters are a bunch of kids not worth caring about, thus goes the way of the story.And the prose? Dear God, the prose! Get it away! It burns us! So yeah, this book sucked. It had potential. There were even a few parts I internally squealed at in hopeful anticipation. But whatever potential it did have was hopelessly squandered by a man who wrote like he'd never written anything before in his life. Don't waste your time."
3,"A group of boys are stranded on a remote and deserted island. How will these boys fare away from grownups, away from society, away from rules? Written in 1954, The Lord of the Flies, written by William Golding is considered a classic. The symbolism in this book is unreal especially if you consider the colors mentioned in the book (pink was mentioned 40 times). Like most people, I read this in high school, and I got a lot more out of it as an adult. At the very end, I now ponder if that actually happened or if Ralph was just imagining it (trying to avoid any spoilers here). The author who is deceased now has stated that the book can mean whatever you want it to mean so clearly everything in this review is absolutely true. If you want to check out more of my thoughts and questions raised for this book, please check out the Readalong. Thank you to everyone who participated and made this reading so much better than my first!Although this book goes down as a classic, it is rather bleak—there is very little hope or anything that can be considered uplifting. There were too many boring descriptions of the scar (more than 20+ times) and sand (more than 70+ times). As for the audiobook through Audible, William Golding, the author, is reading the book. He sounds extremely bored. I do not recommend the Audible version. Overall, I wish that I hadn’t read this as a child. It traumatized me, and I wasn’t ready for it. There is too much violence and ill will in this. Every time I would pick up a book, I would think about Piggy and feel darkness. However, as an adult, perhaps I was more prepared knowing the ending, but I also developed the sophistication to appreciation the subtleties of this book. This book is listed as one of the 100 Books to Read According to the BBC:https://www.listchallenges.com/bbcs-t...2023 Reading ScheduleJan Alice in WonderlandFeb Notes from a Small IslandMar Cloud AtlasApr On the RoadMay The Color PurpleJun Bleak HouseJul Bridget Jones’s DiaryAug Anna KareninaSep The Secret HistoryOct Brave New WorldNov A Confederacy of DuncesDec The Count of Monte CristoConnect With Me!Blog Twitter BookTube Facebook Insta"
4,"

“We did everything adults would do. What went wrong?”

For me, this quote sums up the entire book. It’s a powerful exploration of humanity and the wrongness of our society and it also demonstrates the hypocrisy of war. Adults judge the behaviour of children, but are they really any better? I think not. The scary thing about this book is how real it is. The Lord of the Flies bespeaks the brilliance of realistic dystopian fiction, it gives you a possible world scenario, a bunch of very human characters and then it shows you want might happen when they are thrown into a terrible situation: they act like monsters (or humans?) What Golding shows us is that we are not so far from our primal nature, from our so called killer instincts, and all it takes is a little push out of the standard world we live in for us to embrace our darker side. The boys act in accordance with what they have seen in the world (though they don’t understand limits.) Power creates authority and violence is a way to achieve the peace you want. Sort of ironic isn’t it? They go to war amongst themselves and in doing so lose all sense of childhood innocence. They grow up. They learn what humans are capable of doing when pushed. They become ‘savages’ and reject civilisation and create their own sense of community, though in another display of irony this in itself becomes a mini-civilisation- just a one of their own accord without any rules and a nasty child tyrant enthroned as chief. “What are we? Humans? Or animals? Or savages?” The novel is rich in allegory to the point where it has been interpreted in so many different ways over the years. Like all great literature, it could mean lots of things and nothing at all. It’s a very clever piece of writing and it got me thinking a great deal about children and how we protect them from the realities of the world. It sort of says something to me, a quiet acknowledgement about how messed up things can be given the right circumstances and these children are so very quick to embrace it with unflinching enthusiasm (at least, when one of them leads the way.)It’s a good book with a lot of ideas though at times I found the prose a little hard to follow. The dialogue is confusing at times and many of the children fade into the background with only a small few developing distinct personalities. I found the first part of the story particularly difficult to read, so in terms of the actual execution I think it could have been done a little better. I found myself wanting to edit sections of the text, which is not a place a reader should ever be in especially with a novel this revered by so many enthusiastic readers, critics and students. Maybe I’m just a little picky with word placement. Overall though, I’m glad I spent the time to revisit it. There are so many pop-culture references to this that a reminder was needed."
5,"The year 1954 saw the first publication of Golding’s masterwork, the point of which had (independently) bifurcated my personality in that same year - in a series of ironic inner game-changing events...Piggy and his upper-class schoolmates are marooned on a remote wild island. But left without adults, they quickly descend, like some of our leaders, into draconian martial violence - the powerful and strong versus the poor and weak (shades of Animal Farm?).And I myself nearly became a Piggy.January, 1954 saw the personal event that changed that transition forever.You see, for 69 years I have lived my life in a perpetual rerun of Bill Murray’s Groundhog Day. And my moral values - though, praise God, not my Political ones - are so utterly and ironically shared with those of that McCarthyist year, 1954. I’m a Photographic Time Warp copy, in fact.It all started on a crisp, clear January morning in 1954...My colicky and irascible brother had come into the world ten months earlier - like me, he would have preferred to stay Close to my Mom forever, bless him. But - I had also around the time of his birth found my parents in an embarrassingly intimate act. I had been barely three.And the day our car crashed on the Michigan Freeway when I was two was the origin...That event had upset my psychological Apple Cart.My Eden had vanished. And soon I was no longer the sole beneficiary of my parent's love. With the appearance of those twin sources of trauma, I became moody and withdrawn. And fell into entropy. Corporal punishment was administered, more and more frequently.Yes, the Absurd split my life in two with those events - through no fault of. my parents - and a lifetime split resulted. Under that fractious stress, I retreated into the safe haven of Autism.All because of my parents tried to love their children equally.Kids can be so weird.But by January 1954 my parents had seen enough of my inner ethical turmoil. They wanted to shore up my confidence. They bought me a popular 45 rpm record, whose flip side contained a ‘fun’ song about a “Number One Son�� who must be taught to not his “Troubles tell, for Life is to Enjoy.”Their unsparing love had been replaced by an Ideological Life Hack, that I took for my own, just as a drowning man will hang for dear life onto a Brass Ring on a ship’s hold. A four-year-old needs a foundation for his values in the absence of primary love.Yes, you guessed it: it was a substitute; an ideal false self. But thankfully, it made my Christian faith possible, and that endured.But that Brass Ring, which gave me a traumatically Impossible ideal to live up to in order to be a Number One Son in their eyes, was psychologically destructive...And its inner violent duality was at the heart of my psychological collapse in 1970 - it was the Perfect Storm: autistic, sheltered 1950's kid meets his violently postmodern climacteric - coming of age!BUT - its mature, adult worldview was always ALL that stood against me - and the moral entropy and outright violence of a Piggy, towards whose personality I had been drifting by the age of four.So WHAT if it turned me into a slightly funny lifetime Aspie and hence victim of all the symptoms of bipolar disorder?My utter MORAL collapse was averted.I maintained my values intact.And for that, in my view, my parents and siblings deserve ALL THE CREDIT."
6,"Edit: A friend send me this article of a real situation where a group of kids were left stranded on an island for 15 months. Spoiler alert, the Lord of The Flies scenario never happened, the boys behaved and organized themselves wonderfullyhttps://www.theguardian.com/books/202....Maybe,” he said hesitantly, “maybe there is a beast.” “What I mean is . . . maybe it’s only us.”.That quote sums up very well the idea of this modern classic. I ran away from this novel for years but it finally caught up with me or I tripped, who knows? It was a lot more interesting than I expected and it was worth my time but I would not say I loved it. During some sort of war, a plane crashes on an island and the only survivors are a bunch of kids. Forced to stay alive without the guidance and surveillance of adults some start to behave crazy and cruel. I guess the morale is that people are civilized because there are rules that are reinforced and if the society gets rid of them some of use will return to our animal state or worse. While I admit that the story is thought-provoking and a classic, a pioneer of the subject, I cannot say I enjoyed reading it too much. Not much happens for most of the book and when it does it feels rushed. Also, the author spent a lot more time describing the nature than the characters or their experience. I had problems distinguishing between the children and I did not manage to form a strong opinion either about the positive characters or the negative ones. Finally, I think it did not age well, it is hard to explain why I have this impression. I both listened to and read Lord of The Flies. While listening I got lost in the descriptions (read bored) so I thought the written version was more suitable for this story."
7,"Lord of the Flies is one of the most disturbing books I've ever read. It was required high school reading and since then, I've read it four more times. It is as disturbing now as it was then. Using a group of innocent schoolboys stranded on an island, the author very realistically portrays human behavior in an environment where civilization no longer has meaning."
8,"This book will forever haunt me and be forever intertwined with my freshman year of high school. Its a great book for a classroom and was where I was first taught symbolism in a way that really stood out to me. This book is so rich in literary devices I remember it being the first moment where I realized the art of reading and writing as something far beyond storytelling and how much careful craft brings a work to life. I was hooked, I think from that moment on I had it in my mind that to be someone who analyzes literature was a rock-star type vocation to me. But I will also never forget the way it was taught. Our teacher, who I remain close friends with to this day, had us play a simulation for two days where we were in the same situation as the kids in the book (before we began the book) and had to discuss and plan how to organize our lives to survive on this island. Think Model UN but for Lord of the Flies. Reader: it was chaos. Everyone made bad deals or broke deals finding it funny to screw people over, multiple people clamored over who was in charge, people such as myself bounced from group to group doing devious deals or gossiping about what other groups were doing (I have always been a gossip queen), and by the second day we were all shouting at each other and feeling like we had somehow been so bad at this game that the teacher would never have his class play it again. Which, at that age, is sort of a mark of pride to some and so once the chaos began those few gleefully pushed for more chaos. Our teacher never interjected, only watched from afar while grading our exams from the previous week--a brilliant time management idea I've come to realize.Finally our teacher stepped in. We eagerly awaited hearing we were terrible at this and fully destroyed the purpose of it, only to hear that this was what happened almost every single year. And then we read the book, which felt like looking into a mirror. Chilling moment to be confronted with yourself that way. He did this game every year until he retired, it's quite often cited as a favorite memory from high school for those who were there."
9,"(Book 508 from 1001 books) .	Lord of the flies, William GoldingLord of the Flies is a 1954 novel by Nobel Prize–winning British author William Golding. The book focuses on a group of British boys stranded on an uninhabited island and their disastrous attempt to govern themselves.In the midst of a wartime evacuation, a British aeroplane crashes on or near an isolated island in a remote region of the Pacific Ocean. The only survivors are boys in their middle childhood or preadolescence. Two boys—the fair-haired Ralph and an overweight, bespectacled boy nicknamed ""Piggy""—find a conch, which Ralph uses as a horn to convene all the survivors to one area. Ralph is optimistic, believing that grownups will come to rescue them but Piggy realises the need to organise (""put first things first and act proper""). Because Ralph appears responsible for bringing all the survivors together, he immediately commands some authority over the other boys and is quickly elected their ""chief"". He does not receive the votes of the members of a boys' choir, led by the red-headed Jack Merridew, although he allows the choir boys to form a separate clique of hunters. Ralph establishes three primary policies: to have fun, to survive, and to constantly maintain a smoke signal that could alert passing ships to their presence on the island and thus rescue them. The boys establish a form of democracy by declaring that whoever holds the conch shall also be able to speak at their formal gatherings and receive the attentive silence of the larger group.Jack organises his choir into a hunting party responsible for discovering a food source. Ralph, Jack, and a quiet, dreamy boy named Simon soon form a loose triumvirate of leaders with Ralph as the ultimate authority. Upon inspection of the island, the three determine that it has fruit and wild pigs for food. The boys also use Piggy's glasses to create a fire. Although he is Ralph's only real confidant, Piggy is quickly made into an outcast by his fellow ""biguns"" (older boys) and becomes the butt of the other boys' jokes. Simon, in addition to supervising the project of constructing shelters, feels an instinctive need to protect the ""littluns"" (younger boys).The semblance of order quickly deteriorates as the majority of the boys turn idle; they give little aid in building shelters, spend their time having fun and begin to develop paranoias about the island. The central paranoia refers to a supposed monster they call the ""beast"", which they all slowly begin to believe exists on the island. Ralph insists that no such beast exists, but Jack, who has started a power struggle with Ralph, gains a level of control over the group by boldly promising to kill the creature. At one point, Jack summons all of his hunters to hunt down a wild pig, drawing away those assigned to maintain the signal fire. A ship travels by the island, but without the boys' smoke signal to alert the ship's crew, the vessel continues without stopping. Ralph angrily confronts Jack about his failure to maintain the signal; in frustration Jack assaults Piggy, breaking one of the lenses of his glasses. The boys subsequently enjoy their first feast. Angered by the failure of the boys to attract potential rescuers, Ralph considers relinquishing his position as leader, but is persuaded not to do so by Piggy, who both understands Ralph's importance and fears what will become of him should Jack take total control. ...عنوانهای چاپ شده در ایران: «سالار مگس ها»؛ «خداوندگار مگسها»؛ «بعل زبوب»؛ نویسنده: سر ویلیام گلدینگ؛ (بهجت، ابتکار، افراشته، آپادانا، ابر سفید، رهنما، امیرکبیر)؛ ادبیات انگلستان؛ تاریخ نخستین خوانش روز بیست و پنجم ماه اکتبر سال 2012میلادیعنوان: سالار مگس ها ؛ نویسنده: سر ویلیام گلدینگ؛ مترجم: حمید رفیعی؛ تهران، بهجت، 1353، در 372ص؛ چاپ سوم 1385؛ شابک 9646671918؛ موضوع: داستانهای نویسندگان بریتانیا - سده 20معنوان: بعل زبوب ؛ نویسنده: سر ویلیام گلدینگ؛ مترجم: محمود مشرف آزاد (م آزاد)؛ تهران، ابتکار، 1363، در 270ص؛ عنوان: سالار مگس ها ؛ نویسنده: سر ویلیام گلدینگ؛ مترجم: رضا دیداری؛ تهران، افراشته، 1363؛ در 282ص؛ عنوان: سالار مگس ها؛ نویسنده: سر ویلیام گلدینگ؛ مترجم: سوسن اردکانی (شاهین)؛ تهران، آپادانا، 1363؛ در 336ص؛ چاپ دیگر تهران، ابر سفید، 1390، در 327ص؛ شابک 9786009254552؛عنوان: سالار مگسها؛ نویسنده: سر ویلیام گلدینگ؛ مترجم مژگان منصوری؛ تهران، پرگل، 1379؛ چاپ دیگر تهران، رهنما، 1382؛ در 443ص؛ شابک 9643670937؛ چاپ دیگر 1385؛ چاپ بعدی 1388؛ شابک 9789643670931؛عنوان: خداوندگار مگس ها؛ نویسنده: سر ویلیام گلدینگ؛ مترجم: جواد پیمان؛ تهران، امیرکبیر، چاپ دوم 1395؛ در 287ص؛ شابک 9789640018743؛عنوان: سالار مگس‌ها؛ ویلیام گلدینگ؛ مترجم ناهید شهبازی‌مقدم؛ تهران، آموت 1396؛ در 317ص؛ شابک 9786003840317؛از جمله آثار برجسته ی کلاسیک جهان، که «ویلیام گلدینگ» در آن؛ شور و هیجان خویش را در یک قصه ی تمثیلی، با قدرت و صداقت توصیف کرده، داستان ماجرای شگفت آور گروهی پسر بچه است، در مدرسه ای «انگلیسی»، که در طی جنگ هسته ای و خانمانسوز، عازم منطقه ای امن میشوند؛ ولی سقوط هواپیما، آنها را ملزم به اقامت در جزیره ای استوایی میکند؛ در آغاز، همه چیز به خوبی پیش میرود، و آنها بی دغدغه و سبکبال، جزیره ی خوش آب و رنگ و سرسبز را، درمینوردند؛ اما اندک زمانی، پس از آن، شرارت و تندخویی پسرها، بهشت زمینی را، به دوزخی از آتش و خون، مبدل میکند، و تمامی مظاهر خرد و پاک اندیشی، از وجودشان رخت برمیبندد؛ کشمکش درونی نیروهای متضاد خیر و شر، درون مایه ی داستان را شکل میدهندتاریخ بهنگام رسانی 22/06/1399هجری خورشیدی؛ 15/05/1400هجری خورشیدی؛ ا. شربیانی"
10,لا أظن أحدا درس الإنجليزية ولم يسمع على الأقل بهذه الروايةكنتُ في عامي الرابع وقت دراستهاومن أول وهلة جذبتنيوبينما كان زملائي يهتمون بما سيأتي منها في الامتحانكنت أنا ألتهمها التهاما‏لن أنسى ما حييت شعوري وأنا أقرأ الحوار ما بين سيد الذباب وسايمونثم مقتله بعدهاالمرة الأولى كنت بجوار دكتور المادة أمام الجميعأقرأ هذا الجزء على زملائي -ولم أكن قد وصلت له بعد في قراءتي المنزليةولكن بما أنه المشهد الأهم-ويحمل لغز اسم الرواية الغريب- ‏فقد ارتأى الدكتور قرائنا له ومن ثم مناقشته بتمعنأذكر يومها أنني اهتز صوتي للمفاجئة التي حلت علياستطعت السيطرة على نفسي حينها وتخبئة ارتعاشة يديثم تناسيت الأمر مع الصديقات عند انتهاء المحاضرةوعندما عدت لمنزلي انخرطت في بكاء مريررائية لحال سايمون المسكين -شخصيتي المفضلة ‏والذي لم أكن أتوقع له هذا المصيرأذكر أنني نظرت بسذاجة إلى أمي(رحمها الله) المندهشة نائحة:سايمون ماااااااات عااااا‏:‏D...أثر في حديث رأس الخنزير مع سايمون كثيراكنت وقتها في العشرين ولا أظنني قرأت حوارات كهذه من قبل‏ كنت أرى المشهد أمامي مت��سدا ولا أعلم الآن هل ذلك بسبب براعة الكاتب أم شدة تأثري‏ذلك أنني لم أعد قراءتها مجددا-----------تحدث فرويد قبل وفاته بقليل عن الغريزة التدميرية في البشر‏ عن حب الإنسان للقتل والعنف والدمار‏والرواية صورة مصغرة لذلك المجتمع البشري الذي يترنح‏ ما بين الفطرية والبدائية، والتمدن والتحضريجد أطفال ما بين الثامنة والثانية عشر أنفسهم في الطبيعة‏بمعزل تام عن قوانين الكباروبالطبع يكون همهم الأول هو البقاء على قيد الحياةراح المؤلف يستخرج خبايا النفس البشرية بإظهار وحشيتها وقابليتها للشرمتناولا صراع الانسان الأبدي بين الغريزة والسلوكيات المدنية المكتسبة ‏‏(لقد شارك جولدنغ نفسه في الحرب العالمية الثانية كضابط في البحرية البريطانيةواشترك في معركة إغراق أقوى بارجة ألمانية -بسمارك )‏يفترض جولدنج اندلاع حرب تتعرض فيه انجلترا لضربة نوويةويفترض وجود طائرة انجليزية قامت بإجلاء مجموعة من الفتية إلى خارج ‏البلاد (بهدف لإنقاذ حياتهم والحفاظ على النسل الانجليزي من الاندثار‎)وعندما تسقط تلك الطائرة فوق جزيرة نائيةينجو الأطفال فقطويقتل الطيار اثناء محاولته النجاة بالمظلةيبدأ هؤلاء الصبية ببناء مجتمعهم الجديد (المصغر) ‏ويدور الصراع بين السلطة المدنية المتمثلة في رالف‏والمعارضة المسلحة (السلطة العسكرية) المتمثلة في جاك‏‏ ‏‏-وفوق كل ذلك فنحن لسنا همجيين، لأننا إنجليز، والإنجليز هم أفضل الناس في جميع ‏دائما ما تنقلب تلك النظرة الاستعلائية الشوفينية على أصحابها في كل زمان ومكان‏ لقد تحول الأطفال إلى مسوخ همجية تستلذ القتل والعنف‏ينقلب مجتمعهم الصغير إلى مجتمع وحشي همجي ‏رالف هو الشخصية المحورية في الروايةتعطيه وسامته سمة استعلاء ‏وكعادة الرفاق يسخر من بيجي بسذاجته الطيبةرالف يبدو مثالي المظهر لكنه يعوزه الذكاء ‏هذا الذكاء يعوضه بيجي (وهو إسم تدليل يعني الخنزير الصغير)‏بيجي هو ذلك الطفل السمين الطيب الظريف ‏‏-شخصيتي المفضلة رقم 2- ‏الذكي برغم سذاجته في تعامله مع رفاقه ‏بالإضافة إلى إصابته بالربو وقصر النظر الحادوبنباهته يقترح على رالف استخدام الصدفة (بدلالاتها الرمزية) وتحويلها إلى بوق بصفيره يستطيع ‏عقد الاجتماعاتومن ثم اعتبرها الجميع رمز السيطرة والحكم_ ومن يحملها هو فقط من يستطيع التحدثكما أن بيجي هو من استخدام نظارته- بإيعاز من رالف الساخر- لتكثيف أشعة الشمس وذلك لإشعال ‏النار ‏‎ بيجي هو صوت العقلانية المكروه من الغالبية ‏ويعتبره البعض رمزا لطبقة المفكرين والمثقفين ‏الذين لا تستمع إليهم الدول المستبدة ‏بل تحاول بشراسة القضاء عليهمجاك يتسم بالدموية والوحشية من البدايةوهو يؤمن بالقوة ويتلذذ بالدماءالأحداث تتسارع في الصراع ما بين قوة المنطق ومنطق القوةوجاك يقوم بانقلاب عسكري يطيح به برالف وتصير له الغلبة‏(ربما أراد جولدينج أن يشير إلى أن الهيمنة واليد العليا دوما تكون ‏للاأخلاقيين والدمويين)‏‎ حتى ذلك اليوم الذي يرى فيه الأطفال من بعيد جثة الطيار مع مظلته على أحد الجبال فيظن الجميع ‏أنه وحش الغابةفيصطاد جاك خنزيرا بريا يقطع رأسه وينصبه على رمح في أعلى قمة الجبل كرمز لقوة فريقهويبدأ الاحتفال بهذه المناسبة بشعائر كطقوس للصيد ‏يطلي الأطفال وجوههم بدم الخنزير المذبوح متحولين إلى برابرة‏وفي ظل هذا الجو المشبع خوفا وقهرا وعويل بربري يضل سايمون طريقه‏فيجد نفسه أمام رأس الخنزير المعلق الحائم من كان حوله الذباب (سيد الذباب) ‏وهنا يبدأ سايمون في الهذيان (أفضل وأقسى مشاهد الرواية)‏ليدور الحديث بينه وبين سيد الذباب الذي يسخر منه ومن أمله في الخلاص وفي صلاح الأحوال‏وعندما يعود سايمون شبه مترنح وجريح إلى الجمع يهجم عليه الجميع قاتلين إياه ظنا منهم أنه ‏الوحش بصراخه غير المفهوم وتغير هيئته ‏‎ ‎ ...وهكذا لم يأت الشر بفعل الوحوش ‏بل من البشر أنفسهم-----------الرواية تستحق القراءة بكل تأكيدكما ان هناك أكثر من فيلم يحكي قصتهاوإن لم أشاهد اي منهم حتى الآنولكنها حالة مختلفة لن أستطيع نسيانها
