,Reviews
1,"
""I have been meditating on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow.""
Some of my happiest, and most looked-forward-to days of the year are the ones that I reserve for the re-reading of Pride and Prejudice. To quote Austen herself from Sense and Sensibility: ‘if a book is well written, I always find it too short,’ explains perfectly how I feel about this book; no wonder she called this ‘my own darling child,’ for, for me, P&P is perfect in every conceivable way. It’s the kind of book, the moment you finished reading, you are tempted to start over again immediately. However, reviewing this is another matter… I’m excited, enraptured, but at the same time agitated, knowing that it’s impossible to do justice to the author nor to the book.
""But such of us as wished to learn never wanted the means. We were always encouraged to read, and had all the masters that were necessary.""
During my first reading of Pride and Prejudice, I had known I was hugely underqualified to review this book, though at the same time I had hoped, if I read all of her books, I might, in time, write an acceptable review for this masterpiece. Now that I’ve read them all, and also P&P for a second time, all I can say is I still don’t consider myself remotely qualified to write an objective review. But it is impossible not share one’s opinions after reading this: this book, for me, is as best as it could get. So, for the time being, I’ll have to be content with writing what I consider to be a subjective overview, which, I’m certain, does not do much justice. However, I hope that someday my sense in classical literature would become good enough to truly appreciate how remarkable this book is.
""You shall not, for the sake of one individual, change the meaning of principle and integrity.""

""Importance may sometimes be purchased too dearly.""

""What praise is more valuable than the praise of an intelligent servant?""
Starting with the plot, which has been thoroughly analyzed, criticized, and commented upon by thousands of readers, is surprisingly, at a glance, not that original, especially if you see this as a pure romance novel. True, there are many complications resulting from multiple relationships (or marriages), but overall, there are many similarities. But what makes this special is Austen’s narrative: the sly humor, witty observations, unique lens through which she views the society, and the deeper understanding of morals of characters, are all perfectly concocted using her flawless writing style. And then there’s Elizabeth; aside from inheriting traits like humor and wit from Austen, she is lively, curious, confident, but without becoming ‘too perfect’ (like some of the Austen’s other protagonists). She is as delightful as it could get. Rest of the characters are also similarly entertaining, with each one infused with a myriad of qualities to keep the story interesting. I don’t think there was a single poorly written character in this book, and that’s the first time I’ve ever said that about a book. And I don’t wish a single thing had turned out differently in this story. With the exception of some of the children’s books, that’s also a first for me. Sometimes it’s hard to imagine, that this has been written over 200 years ago, or this ever becoming dated. Unlike with most romance novels, you will not see the reasoning, or common sense become lost in the middle of the story, which I think will help maintain that timelessness.
""Affectation of candour is common enough — one meets with it everywhere. But to be candid without ostentation or design — to take the good of everybody’s character and make it still better, and say nothing of the bad—belongs to you alone.""
This second reading of the book only strengthened above opinions from my first read. If anything, everything felt even clearer, making the reading experience further satisfying. The only minor exception came with Lydia’s plotline. Compared to my opinion from the first reading, where I had been a bit angry with her, that emotion has been somewhat shifted a little towards sympathy this time. Obviously, same couldn’t be said about Wickham though. I also felt like that every single word here is essential during this second read. Although I didn’t skip a single word during the first time, I believe I enjoyed each sentence a lot more this time.
""Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.""
Until now (that is till I finish my second read), I’ve never watched any of the TV or movie adaptations of Pride and Prejudice. To be honest, I didn’t want to have any negative impact towards the perfect imaginary picture Austen had created. But after this second read, I decided to watch the 2005 movie, the 1995 TV series and the 1980 series, and couldn’t resist sharing some of my thoughts. As much as I appreciate the effort, the 2005 movie did not prove to be a worthy portrayal, at least for me. Maybe it’s the modern characters, or what had to be removed due to time restrictions, or deviations from original book, but at the end of the day, I cannot say I loved it that much. But the 1995 series was quite the surprise! It literally had almost every single dialog from the book, with a few exceptions at the end. It did add up to five and a half hours of play time, but that was totally worth it. If you loved the book, and haven’t watched the series, do watch it immediately. As for the 1980 series, though I loved it a lot, it fell a tiny bit behind the 1995 series. But both those series are commendable portrayals.
“Nothing is more deceitful,” said Darcy, “than the appearance of humility.

""The misfortune of speaking with bitterness is a most natural consequence of the prejudices""
As for this review, I’m going to label this as a work in progress, which I’m hoping to update after each re-read.
""The distance is nothing when one has a motive;""


The happiest, wisest, most reasonable end!

"
2,"

Old books get a bad rap...but do they deserve it? Check out my latest 

BooktTube Video 

 - all about the fabulous (and not so fabulous) Olde Boies.
The Written Review
:To summarize: Mister. Darcy. *cue the long, sustained high-pitched squealing *This was truly as glorious as I remember. Every time I reread this novel, I love it more.   The 
romance
, the 
high society
, the 
witty banter.
 Gah. I just adore it all. 
""And your defect is to hate everybody.""""And yours,"" he replied with a smile, ""is willfully to misunderstand them.""
 Elizabeth Bennet  (second eldest of the five Bennet sisters) is the one with a  clear, level head.  Jane is the beautiful one, Mary is the look-at-me-I'm-so-pious one, Lydia is the I'm-so-dumb-that-I'm-probably-going-to-get-murdered one and Kitty is the well-she's-just-kinda-there one. Now, back in the day...there was one, singular goal for all women above the age of 16. GET YOURSELF A MAN  before you reach 25 and become a 
SPINSTER
 *cue high-society ladies fainting*. 
  Mrs. Bennet (their mother) has taken this so completely to heart that she thinks of nothing else. After all, 
It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.
 Mr. Bingley and Mr. Darcy moved into town and immediately Mrs. Bennett set her dasterdly plans in motion (on behalf of her mortified children). She will do whatever necessary to get a rich man to put a ring on it (oh Beyonce, your words are applicable in any century).
A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.
 Only, there is a snag in her otherwise flawless plans. Elizabeth is not going to roll over to whatever man is thrust her way. To her mother's ever-living-disappointment, Elizabeth has all the spunk and backbone of a truly glorious woman: 
I could easily forgive his pride, if he had not mortified mine.
 Truly a great read, no matter the century.Plus Jane Austen is totally my soul sister.
I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.



Audiobook CommentsAs with most old-timey books, It is far easier for me to listen to them than to read them. I like hearing the odd phrases and ancient unused words much more than struggling through the hard copy. I really enjoyed this audiobook and the narrator did a fab job of characterization.The 2018 ABC Challenge - PYouTube | Blog | Instagram | Twitter | Snapchat @miranda.reads Happy Reading!"
3,"6.0 stars. Confession...this book gave me an earth-shattering Janeaustegasm and I am feeling a bit spent and vulnerable at the moment, so please bear with me. You see, I decided I wanted to get more literated by reading the ""classicals"" in between my steady flow of science fiction, mystery and horror. The question was where to begin.After sherlocking through my Easton Press collection, I started by pulling out my Dickens and reading A Tale of Two Cities which I thought was jaw-dropping AMAZO and left me feeling warm, satisfied and content. It also made me made retrospectively pleased that I named my youngest daughter Sydney.After Two City “Tale”ing, I decided to give this book a whirl as I kept seeing it on GR lists of ""goodest books ever."" However, I must admit I was hesitant going in to this for two big reasons. One, I thought it might be a bit too romantical for me. The second, and much more distressing, reason was that Twilight was on many of the same lists as this book. Austen fans should pull a nutty over that one.So needless to say I went into this thinking I might hate it. Well, for the 999,987th time in my life (at least according to my wife’s records)...I was wrong!!! I absolutely loved this book and had a mammoth, raging heart-on for it from the opening scene at the breakfast table when Father Witty (Mr. Bennet) is giving sly sarcasm to Mrs. Mommie Put Upon. I literaphorically could not get enough of this story. I was instantly captivated by the characters and Elizabeth Bennet, the main protagonist, immediately became one of my all time favorite characters. Mr. Darcy joined that party as soon as he showed up in the narrative as I thought he was terrific as well.Overall, the writing could not have been better. It was descriptive, lush and brilliant. The story could not have been more engaging or intelligent and the characters could not have been more magnificentastic. Elizabeth and Fitz are both smart, witty, self-confident and good. Austen could not have written them better. Oh, and I am sorry if this is a bit of a minor spoiler but I need to add that George Wickham is a cock-blocking braggadouche of startling proportions. I needed to say that and now I feel better. This one has made it onto my list of All Time Favorite novels and is truly one of the classics that lives up to its billing. A FINAL WORD TO THE GUYS: ...Guys, do not fear the Austen...embrace the Austen...HIGHEST POSSIBLE RECOMMENDATION!!! "
4,"I am so unqualified to write about this book.I am physically unqualified, because I could write infinite words about how much I love this book, and I type in a weird way that makes my wrists hurt so infinity is simply not going to happen.I am emotionally unqualified, because I lack emotional intelligence when it comes to my own feelings and the idea of trying to explain how I feel about this book is overwhelming.I am spiritually unqualified, because of the aforementioned overwhelmed-ness.I am also unqualified generally, in the grand scheme of things, because so many people have written so intelligently about the wonderfulness of this book and I have nothing better to add.Just more rambling like this.I read a lot of romance, and if you want to venture a theory as to why, I’d love to hear it. I very seldom like it, so maybe it’s a masochist tendency. Maybe I’m a glutton for the attention that writing negative reviews of popular books gives me. (Definitely not that one, since the few mean comments always outweigh the far more numerous nice ones in my stupid brain.) Whatever.I read a lot of romance, but I almost never feel anything about it.I LOVE this book. It gives me...uh…(everyone stop reading this to save me the embarrassment and allow me to preserve my rough and tumble reputation)...butterflies.I know. I’m cringing forever. But it’s true. This is a lovely book. It’s beautifully written, it’s funny, it’s filled with characters who feel full and real and different from one another (even though half of them have the same name), and it truly is the best love story ever told.What more could you ask for?! Spoiled rotten, the lot of you.Bottom line: A dream.-----------rereading updatesi am currently being paid to reread this book. highly recommend that everyone works in publishing--------pre-reviewstarting a fundraiser to raise money for a monument in honor of Jane Austen's brainreview to come / 5 stars obviously-----------currently-reading updatesmy heart has space for exactly 435 pages. the entirety of my heart is made up of Pride & Prejudice. nothing else."
5,"""Pride and Prejudice"" by Jane Austen started off annoying me and ended up enchanting me. Up until about page one hundred I found this book vexing, frivolous and down right tedious. I now count myself as a convert to the Austen cult. I must confess I have been known to express an antipathy for anything written or set before 1900. I just cannot get down with corsets, outdoor plumbing and buggy rides. Whenever someone dips a quill into an inkwell my eyes glaze over. This is a shortcoming I readily own up to but have no desire to correct. So I admit to not starting this book with the highest of hopes. I did really enjoy Ang Lee's ""Sense and Sensibility"" however and so when my friend threw the gauntlet down I dutifully picked it up.Boy did I hate him at first. To get anywhere with this book one has to immerse oneself in the realities of life and marriage in the nineteenth century. At first all this talk of entailment and manners just left me cold. I liked the language to be sure. Austen's dialogue is delightful through out but dialogue alone (no matter how delicious) does not a great novel make.A hundred pages or so in though I started to see what a shrewd eye for character this Austen woman had. Mr. Collins was the first person I marvelled at. His character springs forth fully formed as a total but somehow loveable ass. From that point on I found much to love about this book. I was so into it by the end that I was laughing at some characters, sympathizing with others and clucking my tongue at an unhappy few. In short I was completely absorbed. In conclusion I must now count myself a fan of Miss Austen's novels (and not just their fim adaptations) and do so look forward to acqauinting myself with more of her work in the future. ""Emma"" anyone?"
6,"NOTE: The review you are about to read was written in 2009. 2009! That's over 10 years ago! I was 17 and thought I was the smartest person ever! In all honesty, I barely remember this book. So, negative comments regarding my intelligence are no longer necessary. They will be ignored. As they have been for probably 7 years now. CARRY ON!P.S. Can we all just LOL at my use of the words ""mind-numbing balls""?? HA. This book is quite possibly the most insipid novel I have ever read in my life. Why this book is so highly treasured by society is beyond me. It is 345 pages of nothing. The characters are like wispy shadows of something that could be interesting, the language that could be beautiful ends up becoming difficult to decipher and lead me more than once to skip over entire paragraphs because I became tired of having to stumble through them only to emerge unsatisfied, and the plot is non-existent, as though Austen one day decided she wanted to write a novel and began without having any idea what would happen except that there would be a boy and a girl who seemingly didn’t like each other but in the end got married. The story really probably could have been told in about 8 pages, but Austen makes us slog through 345 pages of mind-numbing balls and dinner-parties. I don’t care what anyone says, this is not great literature. This is a snore.Read my review of Pride and Prejudice and Zombies."
7,"Where my massive crush on Jane Austen began: alone, on a hot day in Montana, cursing her name.I had to read it for AP English and I could not see the point. Girls need to marry. Girls can't get married. Girls are sad. Girls get married. Girls are happy.I went to school to half heartedly discuss it and waffled and wavered in an effort to please my teacher. Finally she said: ""was it good or not, Ben?"" ""No it wasn't.""""Thank you...now read this twenty pages of literary criticism for homework.""Twenty pages of literary criticism later, I was hooked. Once you know what to look for, it's hilarious. Once you're keyed into the contextual life of women, you have to feel for the plight of the Bennet sisters, and laugh at the crudity of their mother and Mr. Collins.So yes: I'm a guy and I love Jane Austen. You got a problem with that? Huh? Huh? Do you? Huh??? Well if you do, I'll be over here nursing my dorkiness just waiting for a fight for the honor of my beloved Jane."
8,"I was forced to read this by my future wife.I was not, however, forced to give it 5 stars."
9,
10,THIS BOOK IS MY JAM. JANE AUSTEN IS MY JAM. I LOVE EVERYTHING ABOUT HER AND THIS BOOK. READ THIS BOOK. THAT IS ALL.
