,Reviews
1,"Romeo and Juliet, abridged.ROMEO: I’m Romeo, and I used to be emo and annoying but now I’m so totally in luuuuurve and it’s AWESOME. MERCUTIO: Okay, three things: One, there’s only room in this play for one awesome character and it’s me, bitch. Two, you’re still emo and annoying. Three, didn’t you say that exact same stuff yesterday about Rosaline?ROMEO: Who?*meanwhile, Juliet prances around her room and draws hearts on things and scribbles “Mrs. Juliet Montague” in her diary over and over. Because she is THIRTEEN. How old is Romeo supposed to be? Let’s not talk about that, k?*CAPULET: Good news, Juliet! I found you a husband!PARIS: Hello, I’m a complete tool. JULIET: Daddy, I don’t want to marry that apparently decent and unflawed guy! I’m in love with Romeo Montague – we met yesterday and it was HOT. CAPULET: I WILL BE DAMNED IF I SEE MY ONLY DAUGHTER MARRIED TO THE ONLY SON OF THE MAN WHO IS MY MORTAL ENEMY FOR REASONS TOO UNIMPORTANT TO SPECIFY IN THIS PLAY!JULIET: *stamps foot, runs off to her room to watch High School Musical again and sulk*TYBALT: Hey Romeo, your mother was a hamster and your father smelt of elderberries!MONTAGUE POSSE: Oh, snap.MERCUTIO: YOU TAKE THAT BACK! TYBALT: MAKE ME! ROMEO: No! You can’t fight him, Mercutio because I already married his cousin! TYBALT: I KEEL YOU! *Romeo attempts to stop the fight and fails miserably*MERCUTIO: FUCK YOU ALL! *dies*ROMEO: Okay, forget what I said about not fighting. I KEEL YOU!TYBALT: *dies*PRINCE: I’ve had enough of your shit, Emo McStabbypants. You’re banished. ROMEO: Waaaaaahhhhhh! I’m banished and Juliet is going to marry another guy and it’s not fair WHY DOES GOD HATE ME?FRIAR LAURENCE: Jesus Christ, not this again. Okay, if you promise to grow a pair, I’ll help you and your wife out. Here’s the plan: she takes a potion that’ll make her go into a coma, and then she’ll get put in the family tomb and then you’ll sneak back into town, break into the tomb, wait until she wakes up, and then the two of you escape and live happily ever after! It’s perfect!AUDIENCE: …the hell?*Shockingly, the plan fails. Romeo goes back to the tomb (pausing to kill Paris just for good measure), but he thinks Juliet’s dead and drinks poison and dies, and then like two seconds later she wakes up and sees that Romeo isn’t mostly dead like she was, he’s dead, so she stabs herself.*MONTAGUE: Wow, we are awful parents. CAPULET: I have an idea – let’s make solid gold statues of our dead children to commemorate their love and serve as a constant reminder of the fact that our only children killed themselves because we were such uncaring parents. *they actually do this.*SHAKESPEARE: Beat that, Stephenie Meyer. THE END.Read for: 9th grade EnglishBONUS: courtesy of The Second City Network. Every Shakespeare heroine needs a sassy gay friend"
2,
3,I faked my death prank *gone wrong* (not clickbait) (we died) 🤣😱😻 
4,"THIS! This is what happens when you jump into a rebound relationship with both feet.So, when the story opens, Romeo is desperately in love with Rosaline. But since she won't give up the booty has sworn to remain chaste, he's all depressed and heartbroken. Annoying emo style. His friends, tired of his constant whining, give him a Beyoncé mixtape. He takes her words to heart, and her lyrics begin to mend his broken soul. His boys drag his sad ass to a party, and across a crowded room, Romeo spies his next victim...er, his really-really for real this time True Love.Meet 13 year old Juliet. Who is 13.And how old is Romeo? Well, he's old enough to kill Juliet's cousin in a sword fight, so...yeah. Probably not 13. But since he's such a punk little pussy - what with the whining, sobbing, and spouting off crap poetry - I'm going to assume he's not much older than she is and say 15 or 16. If I'm wrong, don't correct me. It'll help me sleep tonight. Tragically, Juliet is a Hatfield, and Romeo is a McCoy. Their families have been feuding over a McCoy pig that was killed during a Hatfield moonshine run decades ago. Totally true. I swear.Needless to say, tensions are still running high. So. Shhhhh. They gotta keep their love on the down low.And it is love, dammit! I mean, they've stared at each other a whole bunch, and had like two conversations. This time around, Romeo isn't going to make the same mistake as before, and let the new girl of his dreams slip through his fingers...Fuck, yeah! Time to get married!Because marriage will solve all your problems. No, really.Pinkie promise!And we all know what happened next, right?!Well...Ish.You know, I can't help but wonder what that first encounter would've been like if they'd met when they were older?Romeo: Hey baby, Heaven must be missing an angel. Mind if I crawl up to your balcony tonight?Juliet: The fuck?! *taser crackles...Romeo screams*Anyhoo, this isn't a romance, it's a cautionary tale. And a pretty funny one at that! I originally gave it 3 stars, but I had to bump it up for making me giggle so much. Between Romeo & Juliet both crying, moping, and twirling around like tweenage girls and the rest of the cast flailing around to accommodate these idiots, this was waaaaaay better than I remembered it.I listened to this on Playaway, so I got to have the audio version with a full cast of characters, sound effects, and music. Loved it! Totally recommend going this way if you're planning on trying out Shakespeare."
5,"The people who dislike this play are the ones who view common sense over being rational, and prefer to view the world in a structured way. One of the main arguments that come across is the 'meeting, falling in love, and dying all in a weekend when Juliet is but 13'. We all must die in the end, so wouldn't you want to in the name of love than of an awful disease? Perhaps the two lovers weren't truly in love, but their last living moments were spent believing so, so what does it matter? How can one truly know if one is in love? Is it a feeling? In that case, what is a feeling? If you believe you are in love, then you may as well be, contrary to what others might say.The argument with the 'weak' plot; Shakespeare didn't invent Romeo and Juliet. It was infact a poem which is constantly being adapted over time. Shakespeare did add in some aspects but the meeting in the ballroom, Tybalts death, the sleeping draught and such were already in the poem.I personally love this play, purely because it's an escape from this modern world. I'm not saying I like the treatment of women, nor the fighting, but it's like a different world that i'm never going to experience, and reading it through Shakespeare's gorgeous writing makes Verona seem all the more romantic."
6,"Two things struck me during this re-reading: 1) From the first scene of the play, the sexual puns are drenched in metaphorical violence (drawing your weapon, laying knife aboard, forcing women to the wall, etc.), creating a stark contrast with the purity of Romeo and Juliet's love and language, and 2) Mercutio, the Nurse and Old Capulet are something totally new both in Shakespeare and also in English drama, that is, characters who are not only realistic but whose language completely reflects their thought processes to the point where they take on a life of their own. Shakespeare would create many other such characters, but these three are the first."
7,"Romeo and Juliet = The Tragedy of Romeo and Juliet, William ShakespeareRomeo and Juliet is a tragedy, written by William Shakespeare early in his career, about two young star-crossed lovers, whose deaths ultimately reconcile their feuding families. Romeo and Juliet belongs to a tradition of tragic romances stretching back to antiquity. The plot is based on an Italian tale translated into verse as The Tragical History of Romeus and Juliet by Arthur Brooke in 1562 and retold in prose in Palace of Pleasure by William Painter in 1567. Shakespeare borrowed heavily from both but expanded the plot by developing a number of supporting characters, particularly Mercutio and Paris. Believed to have been written between 1591 and 1595, the play was first published in a quarto version in 1597. The text of the first quarto version was of poor quality, however, and later editions corrected the text to conform more closely with Shakespeare's original.عنوانهای چاپ شده در ایران: «رومئو و ژولیت»؛ «رومئو و جولیت شعر عربی ترجمه علی احمد باکثیر»؛ «رومیو و ژولیت»؛ تاریخ نخستین خوانش: سال 1977میلادیعنوان: رومئو و ژولیت؛ ویلیام شکسپیر؛ مترجم علی اصغر حکمت؛ مقایسه با لیلی و مجنون نظامی، تهران، در 248ص؛ 1332؛ در سال 1333 و سال1335خورشیدی با عنوان پنج حکایت؛ عنوان: رومئو و ژولیت؛ ویلیام شکسپیر؛ مترجم: هدایت کاظمی؛ تهران، نشر هنر، سال 2536 = 1356؛ در 225ص؛ موضوع نمایشنامه های نویسندگان بریتانیا - سده 16ممترجم: علاء الدین پازارگادی؛ تهران، علمی و فرهنگی، 1375؛ در 223ص؛ چاپ دهم 1385؛ شابک 9789644451676؛ چاپ چهاردهم 1392؛ مترجم: فواد نظیری؛ تهران، نشر روایت، 1375؛ در 191ص؛ چاپ دیگر تهران، ثالث، 1377، شابک 9646404332؛ چاپ بعدی 1380، چاپ هفتم 1394؛ در 191ص؛ شابک 9789646404335؛ چاپ هشتم 1395؛مترجم: هوشنگ آزادی ور؛ نشر مرداد، 1379؛ در نه و 147ص؛ چاپ دیگر تهران، رشدیه؛ 1395؛ در 184ص؛ شابک 9786009168576؛مترجم: مریم رسولی؛ تهران، اردیبهشت، 1390؛ در 223ص؛ شابک 9789641710882؛ مترجم: مریم نظری؛ مصطفی اکبری؛ قم، نوید ظهور، 1393؛ در 144ص؛مترجم: شیما طیبی جزایری؛ تهران، گیسا، 1393؛ در 82ص؛ برای نوجوانانمجله فرهنگی «بهار»، که در سال 1328خورشیدی توسط «یوسف اعتصامی (ملقب به اعتصام‌الملک پدر پروین اعتصامی)» منتشر میشد، در شناساندن «شکسپیر» جایگاه ویژه‌ ای داشت؛ در یکی از نخستین شماره‌ های آن ماهنامه، نخستین بیوگرافی کامل درباره ی «شکسپیر» منتشر کرده، و از «شکسپیر» به عنوان «یکی از اعاظم شعرا و اساتید ارباب نظم و نثر» یاد نموده است؛ «اعتصام‌الملک» که به زبان‌های «عربی» و «فرانسه» تسلط داشتند، افزون بر اشعار، به نمایشنامه‌های «شکسپیر» نیز توجه نشان دادند، و برخی از آنها را، با نامهای «افسانه لیر (شاه لیر)» و «ای محبوبه من رومیو و ژولیت)» به فارسی برگرداندندترجمه های بسیاری با عنوان «رومئو و ژولیت» چاپ شده، که بازنگاری نویسندگان، از اثر: «ویلیام شکسپیر» است، که به فارسی برگردان شده اندتراژدی «رومئو و ژولیت»، روایت داستان دو دلداده ی عاشق، و از نخستین آثار استاد سخن «ویلیام شکسپیر» است؛ ایشان کششی به آثار عاشقانه دوران باستان داشتند؛ درونمایه، براساس داستانی «ایتالیائی» است، که به صورت شعر، و با عنوان «تاریخ باستانی رومئو و ژولیت»، اثر «آرتور برووک»، در سال 1562میلادی، و به صورت نثر، در سال 1591میلادی، توسط «ویلیام پینتر»، نوشته شده اند؛ «شکسپیر»، در نگارش اثر خویش، از هر دو اثر سود برده، و شخصیتهای «مرکوشیو» و «پاریس» را نیز دیگر کرده، اثر ایشان، نخستین بار در سال 1597میلادی، به چاپ رسیده است؛چکیده: قهرمانان نمایشنامه، دختر و پسری، از دو خانواده ی بزرگ و رقیب، در شهر «ورونا» هستند، که با یکدیگر دشمنی، و اختلاف دیرینه دارند؛ «رومئو»، که از خاندان «مونتگیو» است، به امید دیدار با «رزالین»، دختری که «رومئو» دلباخته اش شده، به ضیافت «لرد کپیولت» می‌رود؛ آنجاست که «رومئو»، دختر «لرد کپیولت»، «ژولیت» را دیدار، و «رزالین» را فراموش می‌کند و ...؛ ...؛ تاریخ بهنگام رسانی 28/05/1399هجری خورشیدی؛ 11/05/1400هجری خورشیدی؛ ا. شربیانی"
8,Why didn’t they just run away together? It would have saved a lot of heart ache.  
9,"Let us zealously, prance through this amorous love-story, to relish the Shakespearean era!😊 Following, is the abridged plot summary, as per what all I could gather, post the endearing read, pardon and correct me for any of my follies and errors-  ##################################### The long-standing brawl between the Capulets and Montagues, the banquet-The Capulets throw a feast, in which Montagues aren’t invited, due to the long-standing feud between the two families. The hero of the play, Romeo Montague, pining over Rosaline, dares to masquerade and gate-crash, the banquet, just to catch a glimpse of his searing-love. But destiny has other plans, Romeo loses his heart to the heiress of the Capulet family, Juliet!Meanwhile in the banquet, Tybalt, nephew to the Lady Capulet, having recognised Romeo, willing to enter into a brawl with him, is dissuaded by Lady Capulet, in order to maintain the decorum of the ball. Juliet has also discovered his identity in the feast, and has been swooned and swept by his charm. Both are head-over-heels for each other by now!The balcony love-scene 😊-Forlorn and lovelorn, resorting to her balcony, Juliet confides her affection for Romeo to the moon and the stars(this famous balcony scene is the most-loved!), unaware, Romeo has heard it all underneath the balcony. Ecstatic, by Juliet’s searing passion, both resolve for a secretive and speedy nuptial the following day. The marriage is brought to pass, in the cell of Friar Laurence, Romeo’s friend.The brawl and gory on the street ☹-On the wedding day, Benvolio and Mercutio, Romeo’s friends, are accosted by Tybalt, seeking vengeance from Romeo for trespassing the feast. A contention ensues, Romeo lost in marital-bliss, doesn’t show any interest in the brawl, but Mercutio, all infuriated, takes on Tybalt and is slain! Romeo, now all exasperated, in turn butchers Tybalt. For this act of gory, Romeo is banished by the Prince of Verona. Juliet’s condition ☹-The bride of one night, Juliet, is left sobbing and dishevelled. Unaware of the secret nuptial rites, Juliet’s father, resolves to get her married to the kinsman, Paris.The devastating conspiracy! Devised for the good, but fails miserably ☹-Friar Laurence, devises a secret plot to help the love-birds unite.(the dramatic failure of the plot, leads to the long-lived tragedy!). He suggests Juliet to drink a potion, which will give her semblance to death, on the day of her marriage to Paris. But Alas! Purporting as dead, she is consigned to the tomb by her father mistakenly. Unaware of the plot, Romeo, is all frenzied, frantic, heart-broken, grieved, and rushes to the tomb, having drunk poison, just to lay beside Juliet in the tomb. Upon waking up and discovering, Romeo lying dead beside her, Juliet seizes his dagger, and kills herself.Reconciliation-This double tragedy, reconciles the two families, alas, after all the carnage & gory.Favourite lines from the play-Defining the bad-luck of the two-“A pair of star-cross 'd lovers take their life”Few general ones-To move is to stir, and to be valiant is to stand“With tears augmenting the fresh morning's dew. Adding to clouds more clouds with his deep sighs : But all so soon as the all-cheering sun Should in the farthest east begin to draw”Romeo brooding over the luxury of his sorrow, post which he meets Juliet-"" Why, then, O brawling love ! O loving hate ! O anything, of nothing first create ! O heavy lightness ! serious vanity ! Misshapen chaos of well-seeming forms ! Feather of lead, bright smoke, cold fire, sick health ! ""……………………""Under love's heavy burden do I sink.""…………………….""Death, that hath sucked the honey of thy breath,Hath had no power yet upon thy beauty.""……………….. ""Thus with a kiss I die.""………………………..Upon hearing the sweet Juliet’s voice in the garden-How silver-sweet sound lovers' tongues by night. Like softest music to attending ears !Juliet’s expression of love-My bounty is as boundless as the sea, My love as deep ; the more I give to thee, The more I have, for both are infinite,………….Good night, good night ! parting is such sweet sorrow That I shall say good night till it be morrow……………………""O, swear not by the moon, th' inconstant moon, That monthly changes in her circled orb, Lest that thy love prove likewise variable.""……………….The Prince of Verona-""For never was a story of more woe than this of Juliet and her Romeo."" ####################################My views-It is a play with delineation of all sentiments, from a hideous family feud, a personal vendetta turning into bloodshed, to a torrential love story, and a tragedy of mistakes and a failed plan!Both Romeo and Juliet, are subjects of a tumultuous youth, living in a warlike hubbub, living a contrasting life, of passion and despair!Romeo, is a man with good intentions, but all his efforts are forfeited. He is showcased as an epitome of bad-luck/star-crossed. Romeo nurses his love in his heart, and is seen lamenting and foreboding, shedding tears throughout. He isn’t a mature thinker, and is given into hopelessness on every occasion, soon enough!Juliet, is a simpleton, naïve, true to the core, and is given into poetic imaginations of a tender heart. She thinks aloud in words!An ardent, unrestrained, tender, young love, nothing is factitious or fallacious about their sovereign love!I am gob-smacked, how can one write a play with such a purity of heart, dignity of manners, passion in love and violence, in a rhythmic sonnet, in an era, beyond contemplation!! That is what Shakespeare is all about, after all! 😊This delicate tale of love and misfortune, deserves an endearing 5-star!!!!"
10,"Every emo fourteen year old's dream. In bullet-point form:• fall in love with hot boy/girl (delete as appropriate) that parents can't stand; • tender words and some sex - gotta find out what that's like; • major tragic incident that really wasn't your fault, you were provoked; • everyone's mad at you; • die beautiful death in loved one's arms; • parents finally understand how much they cared about you and are sorry they didn't treat you better when you were alive.So how did Shakespeare manage to turn this heap of crap, which even Zac Efron would think twice about, into one of the most moving stories of all time? If you still need proof that he was a genius, look no further."
