,Reviews
1,"After reading Adventures of Huckleberry Finn, I realized that I had absolutely nothing to say about it. And yet here, as you see, I have elected to say it anyway, and at great length. Reading this novel now, at the age of mumble-mumble, is a bit like arriving at the circus after the tents have been packed, the bearded lady has been depilated, and the funnel cake trailers have been hitched to pick-up trucks and captained, like a formidable vending armada, toward the auburn sunset. All the fun has already been used up, and I’m left behind circumnavigating the islands of elephant dung and getting drunk on Robitussin®. Same story, different day. How exactly did I make it through eight total years of high school and undergraduate studies in English without having read any Mark Twain but a brief (and forgotten) excerpt from Life on the Mississippi? Isn’t this illegal by now? I mean, isn’t there a clause in the Patriot Act... an eleventh commandment... a dictate from Xenu? Isn’t Huckleberry Finn, like Romeo and Juliet and To Kill a Mockingbird, now an unavoidable teenage road bump between rainbow parties and huffing spray paint? Isn’t it the role of tedious classic literature to add color and texture to the pettiness of an adolescence circumscribed by status updates, muff shaving, and shooting each other? Or am I old-fashioned? Let’s face it. In the greater social consciousness, there are two stars of this book: (1) the word 'nigger' and (2) the Sherwood Schwartz-style ending in which Tom Sawyer reappears and makes even the most casual reader wonder whether he might not be retarded. Huckleberry Finn, for all his white trash pedigree, is actually a pretty smart kid -- the kind of dirty-faced boy you see, in his younger years, in a shopping cart at Wal-Mart, being barked at by a monstrously obese mother in wedgied sweatpants and a stalagmite of a father who sweats tobacco juice and thinks the word 'coloreds' is too P.C. Orbiting the cart, filled with generic cigarette cartons, tabloids, and canned meats, are a half-dozen kids, glazed with spittle and howling like Helen Keller over the water pump, but your eyes return to the small, sad boy sitting in the cart. His gaze, imploring, suggestive of a caged intellect, breaks your heart, so you turn and comparison-shop for chewing gum or breath mints. He is condemned to a very dim horizon, and there’s absolutely nothing you can do about it, so you might as well buy some Altoids and forget about it... That boy is the spiritual descendant of Huckleberry Finn. The 'nigger' controversy -- is there still one? -- is terribly inconsequential. It almost seems too obvious to point out that this is (a) firstly a 'period novel,' meaning it that occurs at a very specific historical moment at a specific location and (b) secondly a first-person narrative, which is therefore saddled with the language, perspective, and nascent ideologies of its narrator. Should we expect a mostly uneducated, abused adolescent son of a racist alcoholic who is living in the South before the Civil War to have a respectful, intellectually-enlightened perspective toward black people? Should the character of Huck Finn, in other words, be ahistorical, anachronistic? Certainly not, if we expect any semblance of honesty from our national literature. Far more troubling to many critics is the ending of Huckleberry Finn, when -- by a freakishly literary coincidence -- Huck Finn is mistaken for Tom Sawyer by Tom’s relatives, who happen to be holding Jim (the slave on the run) in hopes of collecting a reward from his owners. There are all sorts of contrivances in this scenario -- the likes of which haven’t been seen since the golden age of Three’s Company -- which ends with Tom arriving and devising a ridiculously elaborate scheme for rescuing Jim. All in all, the ending didn’t bother me as much as it bothered some essayists I’ve read. That is, it didn’t strike me as especially conspicuous in a novel which relies a great deal on narrative implausibility and coincidence. Sure, Tom Sawyer is something of an idiot, as we discover, but in a novel that includes faked deaths and absurd con jobs, his idiocy seems well-placed. In the end, I suppose the greatest thing I can say about this novel is that it left me wondering what happened to Huck Finn. Would his intellect and compassion escape from his circumstances or would he become yet another bigoted, abusive father squiring another brood of dirty, doomed children around a fluorescently-lit Wal-Mart? "
2,"This is a rant. I found Huckleberry Finn on my bookshelf had been changed to Huckleberry Finn Robotic Edition. Some very pc ""authors"" and ""editors"" took it upon themselves to change the N word to 'robot'. They then rewrote the book to take away any mention of humans and to 'roboticise' words such as 'eye' which becomes something like 'optical device'. The illustrations have also been changed. I have no problem with this, but I do have two major issues with this edition.The first problem is with the librarians who think think this is close enough to the original that it should be combined and therefore share the ratings of Mark Twain's original book. There was a long discussion in the librarian thread where some librarians thought it was essentially the same book, perhaps most. So it was combined and the edition of the book I read was changed to that one. I DID NOT read The Adventures of Huckleberry Finn Robotic Edition. This robot edition was a Kindle book. Think about it and the danger of these 'authors'. If this is acceptable and it is to a lot of the librarians, why not politically correct Shakespeare, Oscar Wilde, Agatha Christie (oh she's been done already. It was 10 Little N words, then 10 Little Indians, now it's Then there were 10, lol). Sooner or later print books will be in used bookshops, research libraries and old people's houses. They will become not books to be read but collector's items. For reading it will be the ebook where changes can be easily and instantaneously made.And if politically-correcting everything becomes Amazon policy then the whole publishing world will follow and your children will never know the original story that Mark Twain wrote. They will never understand how N word people were treated and that is my second issue with this pc book.They will never know that Jim, a grown man would not normally be expected to hang out with 13 year old boys, kowtowed to Tom and Huckleberry not just because they all liked each other, but because he was not free, he was a slave, property, and was subject to the usual treatment of property. He could be ordered to do anything no matter how stupid or harmful, he could be sold or mistreated not even for punishment but just because he had no human rights whatsoever. Changing N people to robots negates all this. Yes it is more politically acceptable to Whites but how would a Black person feel having their history taken away from them? This is not pc as much as sanitising history and is wrong on every level. And it was done by the authors to make it easier for White teachers to teach this important book (is it important if it is about robots though?) without engendering awkward discussions about race, slavery, why some people have rights and others are property which has also meant the book is on many 'banned' school lists. Do you find this acceptable? A lot of GR librarians don't see a damn thing wrong with it. But I do. See Fahrenheit 451edited 27 Jan 2018"
3,"Hemingway said American fiction begins and ends with Huck Finn, and he's right. Twain's most famous novel is a tour de force. He delves into issues such as racism, friendship, war, religion, and freedom with an uncanny combination of lightheartedness and gravitas. There are several moments in the book that are hilarious, but when I finished the book, I knew I had read something profound. This is a book that everyone should read."
4,"The ugly face of slavery and racism Described in detail by one of the big storytellersTwain just had the intuition and talent to create a milestone of enlightening literature, showing humankind its worst flaws by not moralizing, proselytizing, and thereby boring the audience. Instead, all the atrocities are shown in the actions, mentalities, and especially dialogues of the Bigoted and primitive people of that timeThat deem themselves superior, smart, and just sheer Übermensch. Many works against slavery, fascism, extremism, and faith use that storytelling trick of making the hatemongering trolls, the stupid, uneducated antagonistic people of that time, ridiculous in contrast to the progressive, sophisticated protagonists. In the case of Huckleberry Finn Everyone except the protagonist is evilBecause the norms, rules, and laws of the time allow them to be. That´s the subject Twain isn´t directly pointing his finger at, but the underlying core of the tale, that opportunity makes thieves. And a society based on exploitation and brutality creates inhuman, full citizen status subjects with all democratic human rights that treat anyone inferior like an animal and worse than their dogs. That´s  A scheme as old as history And Twain digs deeper into it in A Connecticut Yankee in King Arthur's Courthttps://www.goodreads.com/book/show/1...He goes above the average evil citizen and describes the ones, kings, god emperors, and faith fueled fanatics, who want this mess to better rule the mad masses. One of the, subjective, main reasons why Huckleberry is so much more successful than the Yankee is that it´s easier to read about bad people doing unfriendly things without directly attacking the system itself. The Yankee does this in a satiric way and is even today just too uncomfortable for people who believe that everything is fine. This Humor and irony are the final ingredientsOther great works against slavery are mind opening and well written too, but come with a depressing and hopeless undertone. Twain doesn´t just deliver the important messages, but he does it in combination with creating hilarious dialogues, motivations, and character evolutions that combine deep thoughts and giggles. When first reading Twain as a teenager I didn´t get that, I didn´t see the ingenuity of the whole plot that permanently delivers deep and cynical, postmodern social satire with tons of dark comedy elements.  Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: https://tvtropes.org/pmwiki/pmwiki.ph..."
5,"(Book 825 from 1001 books) - The Adventures of Huckleberry Finn = Adventures of Huckleberry Finn (Adventures of Tom and Huck #2), Mark TwainAdventures of Huckleberry Finn is a novel by Mark Twain, first published in the United Kingdom in December 1884 and in the United States in February 1885. It is told in the first person by Huckleberry ""Huck"" Finn, the narrator of two other Twain novels (Tom Sawyer Abroad and Tom Sawyer, Detective) and a friend of Tom Sawyer. It is a direct sequel to The Adventures of Tom Sawyer.عنوانهای چاپ شده در ایران: «هکلبری فین»؛ «برده فراری ماجراهای هاکلبری فین»؛ «ماجراهای هاکلبری فین»؛ «سرگذشت هکلبری فین»؛ «هاکلبری فین»؛ اثر: مارک تواین؛ انتشاراتیها (آگاه، روزن، علمی فرهنکی، امیرکبیر، نشر کلاغ، فرانکلین، زرین، ارسطو، مهتاب، دادجو، خوارزمی، ارغوان، گوتنبرگ، ناژ، عصر اندیشه، نهال نویدان، قدیانی) تاریخ نخستین خوانش ماه اکتبر سال 1994میلادیعنوان: هکلبری فین؛ اثر: مارک تواین؛ مترجم: ابراهیم گلستان؛ چاپ نخست 1328؛ چاپ دوم تهران، آگاه، 1349؛ چاپ سوم تهران، روزن، 1348؛ در308ص؛ چاپ دیگر تهران، بازتاب نگار، 1387، در 383ص؛ شابک 9789648223408؛ چاپ دیگر تهران، نشر کلاغ، 1393، در368ص؛ شابک9786009418879؛ موضوع داستانهای نویسندگان ایالات متحده آمریکا - سده 19معنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ فروست ادبیات نوجوانان؛ مترجم: هوشنگ پیرنظر؛ تهران، سازمان کتابهای جیبی فرانکلین، 1345؛ در312ص؛ چاپ ششم تهران، علمی فرهنگی، 1377، در 416ص؛ چاپ دیگر تهران، امیرکبیر، 1389، در 443ص؛ شابک 9789640013182؛ عنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: شهرام پورانفر؛ تهران، زرین، 1362؛ در 394ص؛ چاپ دیگر؛ مشهد، ارسطو، 1370؛ در394ص؛ چاپ دیگر تهران، مهتاب، 1370؛ در 394ص؛عنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: سودابه زرکف؛ تهران، دادجو، 1364؛ در 255ص؛ عنوان: سرگذشت هکلبری فین؛ اثر: مارک تواین؛ مترجم: نجف دریابندری؛ تهران، خوارزمی، 1366؛ در 380ص؛ عنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: رویا گیلانی؛ تهران، ارغوان، 1372؛ در 136ص؛ چاپ دوم 1390؛عنوان: برده فراری ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: جواد محیی؛ تهران، گوتنبرگ، 1379؛ در 228ص؛ چاپ دیگر مشهد، جاودان خرد، 1375، در 228ص؛ چاپ دوم 1385؛عنوان: هکلبری فین؛ اثر: ما��ک تواین؛ مترجم: کیومرث پارسای؛ تهران، ناژ، 1390، در 397ص، شابک 9786009109746؛ عنوان روی جلد ماجراهای هکلبری فین؛عنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: محمد همت خواه؛ تهران، عصر اندیشه، 1391؛ در 59ص؛ شابک 9786005550078؛ عنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: شکوفه اخوان؛ تهران، نهال نویدان، 1392؛ در 175ص؛شابک 9789645680440؛ عنوان: ماجراهای هاکلبری فین؛ اثر: مارک تواین؛ مترجم: سحرالسادات رخصت پناه؛ تهران، قدیانی، 1394؛ در 336ص؛ شابک9786002517029؛ جناب آقای «مجید آقاخانی» نیز داستان خلاصه شده را ترجمه کرده اند در 177ص؛داستان نوجوانی با پدری الکلی است، «هکلبری» در پی نزاع با پدرش، از خانه فرار می‌کند؛ در راه با برده ی سیاهپوستی به نام «جیم» آشنا می‌شود؛ آنها کلکی می‌سازند، و سوار بر امواج رودخانه ی «می‌.سی‌.سی‌.پی» را می‌پیمایند؛ این کتاب به رویدادهایی که بر این دو رخ می‌دهند و میگذرند، می‌پردازدجناب آقای «ابراهیم گلستان» در جایی از مقدمه ی کتاب نوشته اند: (آنچه مهم است این است که درس خشن زندگی، «هک (هکلبری فین)» را خبیث نمی‌کند؛ فطرت او خلاف زندگی نمی‌رود؛ دلش شک برمی‌دارد اما به قساوت آلوده نمی‌شود، بی اعتنا نمی‌شود؛ آن‌ها که به او نارو زده ‌اند اگر گرفتار شوند نه به توطئه اوست بلکه خلاف میل اوست و او از گرفتاری‌هایشان غمگین می‌شود و دریغ می‌خورد که چرا آدم‌ها یکدیگر را می‌آزارند؛ «هک» همدم است با هر آنچه درست و پاک و زیباست، بی آن‌که خود بداند، می‌فهمد اگر دنیا زشتی‌ها دارد، چرکی‌ها دارد، شادی‌ها و گرمی‌ها نیز دارد.)؛ پایان نقلتاریخ 08/08/1399هجری خورشیدی؛ 21/06/1400هجری خورشیدی؛ ا. شربیانی"
6,"

Mark Twain tells us the story of Huckleberry Finn and Jim, who attempts to free themselves from society's restraints in this book. The racism aspect of this novel is one of the most discussed and debated topics. The readers will have to encounter the N-word multiple times, which can be difficult for many people. The beauty of this book is that it can be viewed from various angles. The theme of how black and white people work together for their quest for freedom has inspired many people. There are many more layers to this book, including the empathy facet, which is not discussed in depth compared to the racism aspect. It is sad to see some people just considering it as a young adult book discussing racism which just high school children should read. This is unequivocally a true classic that all should read due to the author's exceptional writing skills and multiple embedded themes in it.

“Right is right, and wrong is wrong, and a body ain’t got no business doing wrong when he ain’t ignorant and knows better.” 

"
7,"HUCK IL SELVAGGIOIl film più recente è del 1993 diretto da Stephen “La Mummia” Sommers. Huck è un giovanissimo Elijah Wood, otto anni prima della Trilogia dell’Anello, e suo padre nella foto è Ron Perlman.Romanzo d’avventure, romanzo di formazione, Huckleberry Finn è forse il Grande Romanzo Americano, come e più di Moby Dick.È così almeno per Hemingway che del libro di Twain scrisse:Tutta la letteratura moderna americana deriva da un libro di Mark Twain intitolato Huckleberry Finn. La scrittura americana arriva da lì. Non c’era mai stato niente del genere prima. E non c’è più stato più niente del genere dopo.Viene infatti da dire che è così almeno nella lingua: ben più ‘sporca’, ben più quotidiana, ‘moderna’ e impregnata della terra di quella di Melville.Huck e lo schiavo in fuga Jim.L’avventura c’è eccome, la formazione non saprei, forse no: perché Huck fugge per essere libero, per vivere come vuole, e alla fine è costretto a tornare indietro e rientrare in quella civiltà che rifiuta, dalla quale voleva allontanarsi e separarsi. Alla fine è sconfitto, ma non domo.Me ne stavo all’aria tutto il giorno, felice e contento, fumavo e pescavo e non studiavo mai. Così sono passati un paio di mesi e i miei vestiti sono tornati gli stracci sozzi di sempre, e io non riuscivo più a capire come mai m’era piaciuto dalla vedova, dove bisognava lavarsi, mangiare nel piatto, pettinarsi, andare a letto e alzarsi regolare e starsene sempre con un libro in mano con Miss Watson che rompeva tutto il tempo. Non volevo più tornarci. Avevo smesso di dire parolacce perché alla vedova non gli piaceva, ma adesso avevo ricominciato perché papà non aveva niente in contrario. Lassù nei boschi, tutto sommato, me la spassavo proprio.La versione di Michael “Casablanca” Curtiz del 1960. Sulla zattera insiem a Huck e Jim il Duca e il Re.Nella sua fuga il ragazzino naviga per il grande fiume Mississippi ed è istintivo pensare al fiume Congo, a Conrad e il suo Marlow, a quel cuore di tenebra che sembra riverberare in questo lungo e maestoso fiume americano dove anche Huck incontra gente ben selvaggia, più selvaggia di lui stesso. Fa poca differenza se il viaggio di uno è a risalire il corso d’acqua verso la sorgente e il suo cuore nero, quello dell’altro è invece a scendere verso la foce.E quando sull’isola deserta del fiume incontra lo schiavo nero Jim, che è fuggito alle catene, e lo porta con sé sulla zattera, come non pensare a Robinson Crusoe e Venerdì? In un mondo di adulti da evitare, sorta di feccia umana, violenti truffaldini lestofanti oppure bigotti e oppressivi, l’unico adulto che si salva è proprio lo schiavo nero Jim.Nella violenza del padre ubriacone che tiene chiuso e sequestrato il figlio come non ritrovare le figure di padri e tutori e maschi adulti che mettevano i brividi nei romanzi di Dickens?Nel film di Michael Curtiz del 1960 Buster Keaton nella parte di Lion Tamer.Romanzo d’avventura e (forse) di formazione, dicevo: ma anche romanzo picaresco per ragazzi e per adulti, pagine che parlano a grandi e piccini. Romanzo sulla fuga. Sulla libertà.Tom Sawyer, l’amico di sempre e delle altre avventure negli altri romanzi, uno prima e uno dopo questo, è un monello che alla fine accetta la civiltà e impara le regole: non così Huck, che rimane selvaggio – il suo viaggio nella civiltà è in realtà un viaggio attraverso la moderna inciviltà.Nell’edizione originale del 1884 ecco l’incontro tra Huck e Jim.Ci sono ovviamente altri livelli di lettura, meno diretti ai ragazzi e più agli adulti, come si addice a un grande romanzo: Huck mette in scena la sua morte, rinuncia alla sua identità per essere libero, dalla morte nasce la sua vita. E quindi una partenza ben nera. Come nero è Jim, nero il fiume percorso soprattutto di notte sotto le stelle, nero il mondo degli adulti (bianchi), nera la civiltà da cui è meglio tenersi alla larga, fuggire, nera la modernità, a cominciare proprio dagli Stati Uniti. Nera è la morale e nere sono le regole di questi adulti, del loro mondo ‘civile’ e ‘moderno’…Huckleberry Finn in un disegno di E.W. Kemble dell'edizione originale 1884 del libro.È bello vivere su una zattera. Il cielo, lassù, era tutto tempestato di stelle, e noi ci sdraiavamo sulla schiena a guardarle e discutevamo se le aveva fatte qualcuno o se erano capitate lì per caso: Jim pensava che le aveva fatte qualcuno, io invece che erano capitate lì per caso – ci voleva troppo tempo per fare tutte quelle stelle. Jim ha detto che forse le aveva covate la luna, e a me mi sembrava sensato, così non ho detto niente anche perché avevo visto una rana covare altrettanti ranocchi e perciò era possibile. Guardavamo anche le stelle cadenti e le scie che si lasciavano dietro. Jim diceva che erano guaste e così le buttavano fuori dal nido.Huck e Jim sulla zattera, illustrazione dell'edizione del 1884."
8,"""I about made up my mind to pray; and see if I couldn't try to quit being the kind of boy I was, and be better. So I kneeled down. But the words wouldn't come. Why wouldn't they? It warn't no use to try and hide it from Him. Nor from me, neither. I knowed very well why they wouldn't come. It was because my heart wasn't right; it was because I warn't square; it was because I was playing double. I was letting on to give up sin, but away inside of me I was holding on to the biggest one of all. I was trying to make my mouth say I would do the right thing and the clean thing, and go and write to [Jim's:] owner and tell where he was; but deep down in me I knowed it was a lie--and He knowed it. You can't pray a lie -- I found that out......It was a close place. I took it up, and held it in my hand. I was a trembling, because I'd got to decide, forever, betwixt two things, and I knowed it. I studied a minute, sort of holding my breath, and then says to myself: 'All right, then, I'll go to Hell'--and tore it up."""
9,"""Yes; en I's rich now, come to look at it. I owns mysef, en I's wuth eight hund'd dollars. I wish I had de money, I wouldn't want no mo'.""Though this book is might have the appearance of the second book to the Adventure's of Tom Sawyer, it is not at all similar. Tom Sawyer was a simple, fun-filled story covering a brief series of events where as this is a much heavier work in almost every aspect. Aside from having certain shared characters, reader will find no find other similarity. However, what you will find, is the long, hard and adventurous journey of Huck and Jim, highlighting many aspects of a slavery and the social aspects at the time. If you start reading this, expecting a continuation to Tom Sawyer, you'd be pleasantly surprised instead of disappointed, giving you a very different kind of entertainment."
10,كله يدلع نفسه..بالعقل و بالاصول اوعى تدلعها زيادة دايما بتفكرني هذه الأغنية ب هاكلبيري فين ذلك الصبي الأشقر المطالب للابد بحق الانسان في ان يكون ملكا لنفسه مهما كلفه ذلك من مشاق و صراعات صبي افاق شريد.. يكره العمل المنتظم و الذهاب للمدرسة او الكنيسة !! لا يبغى سوى : حرية منفلتة بلا حساب او عقاب..فيه لمحات من بيتر بان الصبي الابدي نصيبه من العلم محدود..و من التربية معدوم♨ ..ترق له ارملة و تتبناه ..و لكنه يتبطر على حياة الدعة و الشبع المصحوب بالادب و النظام بالطبع..و يهرب مع عبد اسمر هارب. .ليلعبا لعبة الحياة الكبرى ..الصراع لنيل حريتك و عبر رحلتهما في الميسيسيبي⛵ ..يسخر توين بقلم لاذع لا يضاهى من تقاليد المجتمع الأمريكي بطبقاته. من الكذب و الخرافات ..الجهل و التعليم..الثار و العبودية قيمة الرواية تأتي من انها تفرق بين المبادىء الانسانية الصحيحة و القيم الزائفة التي تستمد بقاءها من تقاليد بالية تتسلط على الجموع و العقول و تصبح لها قوة قاهرة لأي تفكير فردي حريحتفي الأمريكيون بهذه الرواية ��شكل لايصدق⭐. . فهي الرواية الوحيدة التي تصلح ليقرأها المرء في العاشرة..ثم يقرأها سنويا و تمنحه شيئا جديدا
