,Reviews
1,"When the Lion/Witch/Wardrobe movie came out a while ago, some dude accosted me and said ""Dude, the fucking right wing media is trying to say that the Narnia books are all about fucking Christianity!!!""No shit. I figured that out when I was 9.But who cares? If you can't enjoy these books at all, there is no child alive inside of you. And if you've got no child inside you, you're not very much fun at all, are you?"
2,"I love Narnia! Of course it's not perfect, but they are such wonderful stories, paving the way for so many other fantasy worlds that followed. Sure they've got the allegorical Christian background, and some of Lewis' wording and phrases wouldn't pass as politically correct now. But if you can look past these small details, Narnia is a truly magical place, the stories iconic, I will never forget them. The Magicians Nephew""By gum,"" said Digory, ""don't I just wish I was big enough to punch your head!""The creation story of Narnia. Young Polly and Diggory are swept up in the experiments of a magician attempting to find other worlds. In doing so they discover the beginning of Narnia, and so start off the tales. The Lion, the Witch and the Wardrobe.""Course he isn't safe. But he's good. He's the king, I tell you.""The most well known of the Narnian chronicles. Peter, Susan, Edmund and Lucy discover Narnia through the back of a wardrobe. Their battles with the white witch are legendary. The Horse and his Boy""Do not by any means destroy yourself, for if you live you may yet have good fortune but all the dead are dead alike.""This one though based when the Pevensie children are still in Narnia the focus is on two young Calormene children, Shasta and Aravis. Having both run away - they seek a better life in Narnia, becoming involved in a battle between the Narnians and the Calormenes. Prince Caspian""But things never happen the same way twice. It has been hard for us all in Narnia before now.""The Pevensie children return to Narnia after a gap of several hundred years (though to the children only 1 year of our time has passed.) They aid the rightful heir to the throne in his attempts to stop his evil uncle from destroying Narnia. The Voyage of the Dawn TreaderA swashbuckling tale full of adventures! Only Edmund and Lucy return this time, taking with them their dreadful cousin Eustace. They land on the deck of a ship with Prince Caspian - on a journey to find 7 missing dukes. The Silver Chair""He was not a perfectly enormous giant; that is to say, he was rather taller than an apple tree but nothing like so tall as a telegraph pole.""Eustace returns with a school friend Jill. To find the missing Prince whose disappearance has led to numerous others going missing in search of him. Their journey takes them to the land of giants and to the world underground. Also the best character - Puddleglum the Marsh Wiggle is in this one. I love him!The Last Battle""All worlds draw to an end and that noble death is a treasure which no one is too poor to buy.""A fantastic conclusion! An evil ape is using trickery and deceit to cause the Narnians to live in fear. This is the battle to end all battles and none will be the same again! 5 stars! Narnia is a wonderful place with the most incredible cast of characters. Like I said it certainly has flaws but its achievements overcome those big time!""All their life in this world and all their adventures in Narnia had only been the cover and the title page: now at last they were beginning Chapter One of the Great Story which no one on Earth has read: which goes on for ever: in which every chapter is better than the one before."""
3,"The Chronicles of Narnia (Chronicles of Narnia #1-7), C.S. LewisThe Chronicles of Narnia is a series of seven fantasy novels by C. S. Lewis. It is considered a classic of children's literature and is the author's best-known work, having sold over 100 million copies in 47 languages. Written by Lewis, illustrated by Pauline Baynes, and originally published in London between 1950 and 1956, The Chronicles of Narnia has been adapted several times, complete or in part, for radio, television, the stage, and film. Set in the fictional realm of Narnia, a fantasy world of magic, mythical beasts, and talking animals, the series narrates the adventures of various children who play central roles in the unfolding history of that world. Except in The Horse and His Boy, the protagonists are all children from the real world, magically transported to Narnia, where they are called upon by the lion Aslan to protect Narnia from evil and restore the throne to its rightful line. The books span the entire history of Narnia, from its creation in The Magician's Nephew to its eventual destruction in The Last Battle.Books of Chronicles of Narnia #1-7: The Lion, the Witch and the Wardrobe (1950); Prince Caspian: The Return to Narnia (1951); The Voyage of the Dawn Treader (1952); The Silver Chair (1953); The Horse and His Boy (1954); The Magician's Nephew (1955); The Last Battle (1956).تاریخ نخستین خوانش: در ماه آوریل سال 2002میلادیسرگذشت «نارنیا» مجموعه‌ ای از هفت رمان خیال‌ پردازانه، اثر ماندگار روانشاد «سی.اس لوئیس»، برای کودکان است؛ در هر کتاب از این مجموعه (به جز اسب و آدمش) کودکانی از دنیای ما، به صورت جادویی، به «نارنیا» منتقل می‌شوند؛ جایی که از آن‌ها خواسته می‌شود تا به «اصلان» شیر یاری کنند، تا از پس بحران در دنیای «نارنیا» برآید؛ عنوانهای کتابها در ایران: «شیر، کمد و جادوگر (1950میلادی)»؛ «شاهزاده کاسپین (1951میلادی)»؛ «کشتی سپیده پیما (1952 میلادی)»؛ «صندلی نقره‌ ای (1953میلادی)»؛ «اسب و سوارش (1954میلادی)»؛ «خواهرزاده جادوگر (1955میلادی)»؛ «آخرین نبرد (1956میلادی)»؛ هستند تا هستی هستتاریخ بهنگام رسانی 04/08/1399هجری خورشیدی؛ 26/05/1400هجری خورشیدی؛ ا. شربیانی"
4,"I discovered The Chronicles of Narnia when I was six years old halfway through my first year of school. I had discovered the joys of our school library and I still remember the day and the exact shelf where I found The Lion, The Witch and The Wardrobe. It was the lowest shelf, the one that rested on the ground and I had to crouch down to wiggle the book out from amongst its peers. By the time I'd finished first grade I'd read them all and searched high and low for any book series that could be as wonderful and magical as this one had been.Now I could dismiss my love of these books as some quaint, childhood memory that I was unwilling to let go of. Certainly that is a factor. However, the magic has never faded. I've read them all so many times that I've memorized them. I've memorized them so thoroughly that I've told them as bed time stories to children that I've done baby sitting for. Children who have loved the stories and begged to go to bed early so that they could hear MORE about Diggory and Polly or Lucy, Peter, Edmund and Susan or more about Shasta and Avaris and so on and so forth.It's not just children, either. My husband and I read a book, a proper book for half an hour for our son every night. For the past month that has been The Chronicles of Narnia. It's gotten to the point where he doesn't want to stop. Our son's bedtime comes and goes and my husband insists on reading just a little bit more. He says things like, ""I wish I'd read these as a child! They're fantastic!""Are they perfect? No. The Last Battle is a hard and frustrating read. The Magician's Nephew is a little awkward. The Horse and His Boy is just a TAD controversial for some of its content. But they're so, so worth the read. To me, there's a magic to these books that time and life has never managed to dim."
5,"
Quick review
Terrific fantasy setting and storyline spoilt by extremely unsubtle allegory and (as the story progresses) excessive Christian preachiness. Warning: Racial stereotypes abound and may offend.Recommended for adults who thrive in a Christian religious environment or those who can overlook these aspects totally and enjoy the story. Not for gullible children, unless accompanied by a discerning adult.
Detailed review
I won't insult the intelligence of respected GoodReaders by giving a synopsis of the Narnia stories - I don't think there will be many here who do not know this story, even if you have not actually read the books. The stories of the four Pevensie children who discover the magical land of Narnia through the back of a wardrobe is the stuff of legend in literary circles - a land which they rule over as kings and queens after freeing it from the enchantment of the White Witch, under the benign yet firm supervision of Aslan the lion.As fantasies for children go, this is a terrific universe filled with possibilities. There are talking animals, magical creatures from Greek mythology and English fairy-lore, and suitably satisfying and mysterious landscape worthy of exploration again and again. So one feels that if only the author in C. S. Lewis had let himself go he could have produced something similar to the The Lord of the Rings. Unfortunately, he does not do that. The author sublimates himself to the Christian, so that the story becomes allegory - and mostly allegory. The spirit of gung-ho adventure is coated over with sickly-sweet preachiness which becomes so cloying towards the end that one almost feels like throwing up.***This book contains the novels in the chronological order as regards the story:1. The Magician's Nephew2. The Lion, the Witch and the Wardrobe3. The Horse and His Boy4. Prince Caspian5. The Voyage of the Dawn Treader6. The Silver Chair7. The Last BattleHowever, the actual order in which the books were published is:1. The Lion, the Witch and the Wardrobe2. Prince Caspian3. The Voyage of the Dawn Treader4. The Silver Chair5. The Magician's Nephew6. The Horse and His Boy7. The Last BattleIt seems that there is a hot dispute going on about the order in which the books should be read. After reading them in the chronological sequence, I would advise reading them in the sequence of publication. IMO, the last two - The Horse and His Boy, and The Last Battle - are better left unread, especially the last one. More about that later.Aslan the Lion is Christ - this becomes evident in The Lion, the Witch and the Wardrobe itself (he sacrifices himself to save Edmund Pevensie, and is immediately resurrected). The White Witch (and later, the Queen of the Underworld) are embodiments of Evil with a capital E. (I was a bit surprised that there was no sign of the gentleman with the horns and the forked tail. Evil is entirely feminine - that too, with a perverse sort of sexual attractiveness. It seems Lewis was genuinely frightened of woman's sexuality: Susan becomes a ""non-friend of Narnia"" the moment she becomes a nubile young woman. Lewis's protagonists, like that of Lewis Carroll, are prepubescent girls.)The Christian world view is evident from the word go - for example, the animals and birds can all be killed and eaten, provided that they are not ""talking animals""! (They have been specially blessed as such by Aslan, we are told, in the story of the creation of Narnia in The Magician's Nephew.) This evidently comes from the Bible where Man is given dominion over every living thing on earth. In case we don't get it, Aslan continuously addresses the boys as ""Sons of Adam"" and the girls as ""Daughters of Eve"" and says that only they can rule over Narnia. As the story progresses, it becomes more prevalent - and now racism and intolerance of the heathens also come into play.The Calormenes - dark-skinned foreigners who worship a savage god Tash, wear turbans and carry scimitar-like swords - are an Englishman's fantasy of the bloodthirsty and lecherous Turk. In their country, young girls are routinely married off to old codgers, and they wage war on the free countries like Narnia to rape and pillage. Their God Tash, however, is a pagan deity who is loosely associated with the gentleman I mentioned earlier - the guy with horns.The unlikeable brat Eustace Scrubb is the son of liberal parents who are pacifists and vegetarians. He studies in a school which does not have corporal punishment and which does not teach the Bible - and is therefore full of bullies who are encouraged by the Principal! However, Eustace reforms after a visit to Narnia, and returns back to the school and hammers the living daylights out of the bullies. The Principal is removed from the school and ultimately becomes a Member of Parliament, where she lives happily ever after (note the point: M. P. 's are failed schoolteachers who fail to put the fear of God into children).It is in the last book that Lewis outdoes himself. There is an ape who presents a donkey as Aslan. The ape is part of a conspiracy with the Caloremenes who present their God Tash and Aslan as the same, but don't believe in either. In an Armageddon of sorts, Narnia is destroyed, Tash eats up his worshippers, and the dwarves who believe in neither are confined in a dark stable of their own creation (the fate of atheists?). Also, the ending is patently silly (all the friends of Narnia being killed in a train accident so that they can inhabit Aslan's timeless paradise) and for me, it was disgusting.Then why the three stars?Well, if you can ignore the allegory and the preachiness, there are some pretty interesting adventures here. The first three books are rather well-written (although a bit simplistic) and The Voyage of the Dawn Treader is your classic sea adventure. The Magician's Nephew is extremely funny in parts. One advise to prospective readers though - please give the last book a miss."
6,"Read this as a kid and re-read later on, these 7 books were a great form of escapism despite the somewhat overbearing Christian symbolism that is pervasive throughout. The movies did NOT to the books justice but the animated film about Lion, Witch and Wardrobe was actually OK. A must for kids."
7,"Overall I would give this book 3 stars. Below I have provided specific ratings/reviews for each story. At first I was skeptical about reading the book in chronological order as opposed to publication order. Now that I look back at it, it works well both ways. I also had some trouble at first with the way the style of writing was presented, but I got used to it pretty quickly. The world of Narnia is well written and detailed thanks to C.S Lewis. I can safely say that I liked the introduction of every story. But, I just personally didn’t find it to be extremely appealing as a whole. This book nonetheless will be someone else's treasure, not mine. I liked it, but I just wasn’t too crazy about it. The Magician’s Nephew: 5 stars I would surely want to reread this story again in the near future. Such an original plot! I enjoyed every minute of it. Getting to know the backstory and how Narnia was created was interesting to me. Many people didn’t like how there were connections with Christianity, but I found it to be quite creative. There were a few metaphors between Adam, Eve, and the tree of wisdom. Digory and Uncle Andrew were my favorite characters, even though at times the uncle seemed quite cynical. My favorite moment would have to the fight at the lamp post and how they escaped. One quote that stood out to me was: “What you see and what you hear depends a great deal on where you are standing. It also depends on what sort of person you are.”The Lion, Witch, and the Wardrobe: 4 starsI liked these characters, they engaged me throughout the whole story. My favorite character were the two youngest ones: Lucy and Edmund. They seemed to always have something going on with them. There was also more human and animal interaction in this story than in the previous one, but it’s interesting to read about. Again, there are several religious metaphors present in this story too. It was pleasurable reading and seeing all the symbolism. We also get to see more of the magical world of Narnia in this story so that is exciting. I had fun with this story! The Horse and His Boy: 2 stars This story started of interesting, but I just wasn’t so captivated by the 4 main characters. The concept is good, but it just isn’t appealing to me. The desert scene felt eternal to me and unexciting. I did not hate it, but I can’t say I liked it. It was ok. Compared to how great the previous two were this wasn’t on that level.Prince Caspian: 3 stars In this story we are introduced to Prince Caspian and I must say he was a well written character. The backstory about him and finding out how he commences his journey is interesting. I seem to enjoy the introductions of each story quite immensely, this one being one of my favorites. The Voyage of the Dawn Treader: 3 starsMy favorite part of this story was the involvement of the new character Eustace. Even though he was portrayed negatively at first it was interesting viewing how he slowly changed. The dragon scene was enjoyable to me. I am not a big fan of all the other scenes, they weren’t bad, but just not mind blowing. The Silver Chair: 2 starsThe beginning of the novel was fun, which is when Eustace and Jill embark on their new adventure. They are sent on a mission and we read about their journey. I found many parts dull. This story didn’t have much of an impact on me. The Last Battle: 2 starsThis story ends the series of The Chronicles of Narnia. There were several parallels to heaven and at first these religious metaphors didn’t bother me much in the previous strories, but I just didn’t like how they were used here. It felt like one part of the novel dealt with adventure while the other part dealt with religion/god/creation themes. "
8,"I can't even begin to count how many times I've read ""The Chronicles of Narnia."" The truly amazing thing about these books is that each time you read them, they magically become more complex, more meaningful and more beautiful. I first read ""The Lion, The Witch and The Wardrobe"" when I was about seven or eight years old and I did not get it at all. Sure, I followed the story, but the deeper meaning was completely lost on me. Someone later told me that it was a Christian story and when I read the book again as a young teenager, I picked up on that element of it. In the many times I've read the books as an adult, I've come to find that the underlying meaning - not just of ""The Lion, The Witch and The Wardrobe,"" but of the other books as well - becomes gradually clearer until you can't believe you didn't see it all along. The books are like Narnia itself, unfolding like an onion, layer upon layer, Narnia upon Narnia, but each layer is bigger and better than the one above it. In order of the events that unfold in the story (but not in the order that the books were published), the Chronicles of Narnia include:""The Magician's Nephew"" - the Narnian creation story. Two children living in London are magically transported to other worlds and witness the dawn of Narnia. The story incorporates such familiar elements as a Tree of Knowledge and the fall of man.""The Lion, The Witch and The Wardrobe"" - Peter, Susan, Edmund and Lucy, four children living in England during World War II, stumble through a magic wardrobe and discover the land of Narnia, which has been ruled for hundreds of years by an evil White Witch who has cast a spell over the land so that it is always winter but never Christmas. With the help of Aslan, the great Lion, they seek to free Narnia. This is the most obvious Christian parable, as Aslan represents Jesus and the story parallels the Resurrection story.""The Horse and His Boy"" - Takes place during the Golden Age of Narnia, although most of the events unfold elsewhere, in the southern lands of Calormen and Archenland. Shasta, a Calormene fisherman's son, runs away when he hears his father negotiating to sell him into slavery. Together with two talking horses and a noble Calormene girl running away from an arranged marriage, he tries to get to Narnia. The book is a meditation on faith and the concept that God helps those who help themselves. It's also my favorite of the seven books.""Prince Caspian"" - Peter, Susan, Edmund and Lucy return to Narnia to help young Prince Caspian recapture the throne of Narnia from his evil uncle Miraz. Not the most overtly religious of the stories.""The Voyage of the Dawn Treader"" - Edmund, Lucy, and their obnoxious cousin Eustace, join Caspian, now King of Narnia, on a quest to find seven banished lords who had served his father. It doesn't seem all that religious until the end of the book, which encourages people to seek God in their own lives.""The Silver Chair"" - Eustace, whose personality has dramatically improved thanks to his time in Narnia, returns with his school friend Jill to search for Prince Rilian, Caspian's son who went missing ten (Narnian) years earlier.""The Last Battle"" - Eustace and Jill return again to Narnia to assist King Tirian, the last King of Narnia, in his final stand. The book is a parable of the End of Days, with chaos, confusion, war, unbelief and the worship of false gods. Tirian, Eustace, Jill and their friends can only hope that Aslan returns to Narnia to deliver them.Read them, then read them again and again and again. You won't be sorry."
9,"The Magician's Nephew is easily the best story of the Chronicles. First of all, it's the least overtly religious. There is a creation-of-the-world element, but it's not our world so it seems more fantastic than religious. Not only is there a veil over the religiosity, there's so much creativity in this story: the magical rings, the in-between place, the Deplorable Word, the founding of Narnia.Starting with The Lion, The Witch, and The Wardrobe, the religiosity becomes noticeable, with the Witch as Satan, Aslan as Jesus, and the Emperor as God. And because of the talking, fighting animals, the fantasy seems aimed at children. I might have enjoyed it more at age 12.The next story in the series, The Horse and His Boy, takes a dark, ethnocentric turn with its unfavorable depiction of the Arab-like ""Calormen"" (shoes turned up at the toe, scimitars, suffixed phrases of praise, ""son of"" lineage declarations). In The Voyage of the Dawn Treader, we get a not-quite-positive summary of the Calormen:""...they are a wise, wealthy, courteous, cruel and ancient people. They bowed most politely to Caspian and paid him long compliments...but of course what they wanted was the money they had paid.""Given that this book was published in 1954, it's possible to forgive the cultural insensitivity, but it's sad that children around the world still uncritically read such racist material.The Voyage of the Dawn Treader demonstrates the problem with using God (or Jesus) in a story: there are no real conflicts. When the Dawn Treader stops at Dragon Island, the boy passenger Eustace wanders off, encounters a magical spell, and is turned into a dragon. This raises all kinds of serious issues about how to keep Eustace the Dragon with them, but none of these problems matter because, within 24 hours, Aslan just changes Eustace back to a boy.There was a similar deus ex machina (the term being used most appropriately) in The Lion, The Witch, and The Wardrobe. To save Edmund's soul, Aslan sacrifices his life. But it wasn't Aslan's only life, he had another one ready.One thing I found especially creative about The Chronicles is how a story involving talking animals justifies eating animals."
10,"The 2005 film adaptation of The Lion, the Witch, and the Wardrobe was what made me want to read this thick, heavenly book. Little yet valiant Lucy was very close to my heart, as well as her siblings who occasionally thought she was crazy. I was so enthralled by the movie, and I asked my parents if they could buy me the series for my birthday.My uncle in the US was the one who granted my wish. Tee-hee. After buying this collection from Barnes & Noble, he immediately had it shipped all the way to the Philippines. Hence, this book literally traveled to my hands. I was overwhelmed with happiness when it finally arrived. After all, it was the first series I had ever owned. After caressing it for a long time, I tucked myself into bed and got down to business.Little did I know that this would be the series that would transform me into a devoted booknerd. At the age of 12, I managed to fly through each novel because they were just so beautiful and fantastic. The perfect mix of magic, adventure, and biblical allusions captivated me from start to finish. By the time I read The Last Battle, I was already a hardcore fanboy.In totality, The Chronicles of Narnia will always have a special place in my heart (and library). Just looking at Aslan's face on the cover fills me with much happiness and nostalgia. If I were the Ruler of Books, I would require everyone in the planet to read this timeless series."
