,Reviews
1,"Oh Gatsby, you old sport, you poor semi-delusionally hopeful dreamer with “some heightened sensitivity to the promises of life”, focusing your whole self and soul on that elusive money-colored green light - a dream that shatters just when you are *this* close to it. 

Jay Gatsby, who dreamed a dream with the passion and courage few possess - and the tragedy was that it was a wrong dream colliding with reality that was even more wrong - and deadly. Just like the Great Houdini - the association the title of this book so easily invokes - you specialized in illusions and escape. Except even the power of most courageous dreamers can be quite helpless to allow us escape the world, our past, and ourselves, giving rise to one of the most famous closing lines of a novel.
“Gatsby believed in the green light, the orgastic future that year by year recedes before us. It eluded us then, but that’s no matter — to-morrow we will run faster, stretch out our arms farther... And one fine morning —— So we beat on, boats against the current, borne back ceaselessly into the past.”
Dear Gatsby, not everything I liked back when I was fourteen has withstood the test of time¹ - but you clearly did, and as I get older, closer to your and Nick Carraway's age, your story gathers more dimensions and more tragedy, fleshing out so much more from what I thought of as a tragic love story when I was a child - turning into a great American tragedy.¹ I hang my head in shame at my ability to still belt out an enthusiastic (albeit poorly rendered) version of '...Baby One More Time' when it comes on the radio (provided, of course, that my car windows are safely up).I blame it on my residual teenage hormones.
Jay Gatsby, you barged head-on to achieve and conquer your American dream, not stopping until your dreams became your reality, until you reinvented yourself with the dizzying strength of your belief. Your tragedy was that you equated your dream with money, and money with happiness and love. And honestly, given the messed up world we live in, you were not that far from getting everything you thought you wanted, including the kind of love that hinges on the green dollar signs. And you *almost* saw it, you poor bastard, but in the end you chose to let your delusion continue, you poor soul.Poor Gatsby! Yours is the story of a young man who suddenly rose to wealth and fame, running like a hamster on the wheel amassing wealth for the sake of love, for the sake of winning the heart of a Southern belle, the one whose 
“voice is full of money”
 - in a book written by a young man who suddenly rose to wealth and fame, desperately running on the hamster wheel of 'high life' to win the heart of his own Southern belle. Poor Gatsby, and poor F. Scott Fitzgerald - the guy who so brilliantly described it all, but who continued to live the life his character failed to see for what it was.

The Great Gatsby is a story about the lavish excesses meant to serve every little whim of the rich and wannabe-rich in the splendid but unsatisfying in their shallow emptiness glitzy and gaudy post-war years, and the resulting suffocation under the uselessness and unexpected oppressiveness of elusive American dream in the time when money was plenty and the alluring seemingly dream life was just around the corner, just within reach.But first and foremost, it is a story of disillusionment with dreams that prove to be shallow and unworthy of the dreamer - while at the same time firmly hanging on to the idea of the dream, the ability to dream big, and the stubborn tenacity of the dreamer, 
“an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again”
.

This is why Gatsby is still so relevant in the world we live in - almost a hundred years after Fitzgerald wrote it in the Roaring Twenties - the present-day world that still worships money and views it as a substitute for the American dream, the world that hinges on materialism, the world that no longer frowns on the gaudiness and glitz of the nouveau riche. In this world Jay Gatsby, poor old sport, with his huge tasteless mansion and lavish tasteless parties and in-your-face tasteless car and tasteless pink suit would be, perhaps, quietly sniggered at - but would have fit in without the need for aristocratic breeding - who cares if he has the money and the ability to throw parties worthy of reality show fame??? 

Because in the present world just the fact of having heaps of money makes you worthy - and therefore the people whose voices are “full of money”, who are “gleaming like silver, safe and proud above the hot struggles of the poor”, people who genuinely believe that money makes them worthy and invincible are all too common. Tom and Daisy Buchanan would be proud of them. And wannabe Gatsbys pour their capacity to dream into chasing the shallow dream of dollar signs, nothing more.
“They were careless people, Tom and Daisy — they smashed up things and creatures and then retreated back into their money or their vast carelessness, or whatever it was that kept them together, and let other people clean up the mess they had made.”



This book somehow hit the right note back when I read it when I was fourteen, and hit even truer note now, deeply resonating with me now, almost a full century since it was written. If you read it for school years ago, I ask you to pick it up and give its pages another look - and it may amaze you. Five green-light stars in the fog at the end of a dock.——————Also posted on my blog."
2,"This is a good book, though it is so ridiculously overrated. There are so many great books out there that will never get the attention they deserve. They will be forgotten and their wisdom heard by only a select few who are willing to go looking for it. So it annoys me when books like this are acclaimed by critics and readers alike as the best pieces of fiction in existence (when they are not.) There’s so much more out there!Anyway, rant over. The thing I like most about The Great Gatsby is the language, the subtlety’s and the suggestions, the things that are not directly said but are said nevertheless. It’s a true feat of writing and at times it reminded me of a stage piece. The dialogue does not give the answers, but it is the character’s actions and movements (so fantastically narrated) that give the game away: it reveals their internal worlds. As such this is a book that can easily be skimmed over. The plot is basic and relatively unengaging and consequently I think an inattentive reader has a lot to miss here. It’s all about illusions and false appearances just like real life. The way people perceive us is not how we truly are and sometimes individuals actively work towards creating a desired appearance for the outside world. It’s easily done with enough time, effort and money. What Gatsby creates for the outside is a dream, an ideal life that looks perfect.However, scratch the surface and it is so very, very, clear that not everything is perfect. His supposed “happiness” is hollow and dictated by the whims of society. It is fickle, egotistical and driven by status and all the silly little symbols that go with it. His success is what society demands success to be; thus, he positions himself into a place where he can chase his true dream. In doing so Gatsby shows us that not everything is as simple as it appears, and that society driven by such monetary values is a dangerous thing because everybody is so detached from what really matters in life. (The object of his affections, for example.) I enjoyed The Great Gatsby though I certainly did not love it. Its popularity baffles me to a degree, I can think of books from the same era that deserve far more attention. Still, I enjoyed reading it and I’m glad I finally did so.___________________________________You can connect with me on social media via My Linktree.__________________________________"
3,"The Great Gatsby is your neighbor you're best friends with until you find out he's a drug dealer. It charms you with some of the most elegant English prose ever published, making it difficult to discuss the novel without the urge to stammer awestruck about its beauty. It would be evidence enough to argue that F. Scott Fitzgerald was superhuman, if it wasn't for the fact that we know he also wrote This Side of Paradise.But despite its magic, the rhetoric is just that, and it is a cruel facade. Behind the stunning glitter lies a story with all the discontent and intensity of the early Metallica albums. At its heart, The Great Gatsby throws the very nature of our desires into a harsh, shocking light. There may never be a character who so epitomizes tragically misplaced devotion as Jay Gatsby, and Daisy, his devotee, plays her part with perfect, innocent malevolence. Gatsby's competition, Tom Buchanan, stands aside watching, taunting and provoking with piercing vocal jabs and the constant boast of his enviable physique. The three jostle for position in an epic love triangle that lays waste to countless innocent victims, as well as both Eggs of Long Island. Every jab, hook, and uppercut is relayed by the instantly likable narrator Nick Carraway, seemingly the only voice of reason amongst all the chaos. But when those boats are finally borne back ceaselessly by the current, no one is left afloat. It is an ethical massacre, and Fitzgerald spares no lives; there is perhaps not a single character of any significance worthy even of a Sportsmanship Award from the Boys and Girls Club.In a word, The Great Gatsby is about deception; Fitzgerald tints our glasses rosy with gorgeous prose and a narrator you want so much to trust, but leaves the lenses just translucent enough for us to see that Gatsby is getting the same treatment. And if Gatsby represents the truth of the American Dream, it means trouble for us all. Consider it the most pleasant insult you'll ever receive."
4,"Jay Gatsby, you poor doomed bastard. You were ahead of your time. If you would have pulled your scam after the invention of reality TV, you would have been a huge star on a show like The Bachelor and a dozen shameless Daisy-types would have thrown themselves at you. Mass media and modern fame would have embraced the way you tried to push your way into a social circle you didn’t belong to in an effort to fulfill a fool’s dream as your entire existence became a lie and you desperately sought to rewrite history to an ending you wanted. You had a talent for it, Jay, but a modern PR expert would have made you bigger than Kate Gosselin. Your knack for self-promotion and over the top displays of wealth to try and buy respectability would have fit right in these days. I can just about see you on a red carpet with Paris Hilton. And the ending would have been different. No aftermath for rich folks these days. Lawyers and pay-off money would have quietly settled the matter. No harm, no foul. But then you’d have realized how worthless Daisy really was at some point. I’m sure you couldn’t have dealt with that. So maybe it is better that your story happened in the Jazz Age where you could keep your illusions intact to the bitter end.The greatest American novel? I don’t know if there is such an animal. But I think you'd have to include this one in the conversation."
5,"Fitzgerald, you have ruined me.Fitzgerald can set a scene so perfectly, flawlessly. He paints a world of magic and introduces one of the greatest characters of all time, Jay Gatsby. Gatsby is the embodiment of hope, and no one can dissuade him from his dreams. Have you ever had a dream that carried you to heights you could never have dreamed otherwise? When Gatsby is reunited with Daisy Buchanan, he fills the space to the brim with flowers, creating a living dream. How is anyone supposed to compete with that?The Great Gatsby perfectly makes use of a narrator, Nick. Why is Gatsby so great? Because Nick tells us. If Gatsby told us, we would just think that he is a braggard, the least humble person in the world. This book is wildly addictive, so intricate yet perfectly woven together, a brilliant literary masterpiece. I have to keep going back to reconnect with Jay Gatsby, a naïve but beautiful and charming hope, perfectly imperfect, a relentless dreamer.Connect With Me!Blog Twitter BookTube Facebook Insta"
6,There was one thing I really liked about The Great Gatsby.It was short.
7,the only thing I got from this is that Nick is gay2.5
8,"After six years of these heated and polarized debates, I'm deleting the reviews that sparked them. Thanks for sharing your frustrations, joys, and insights with me, goodreaders. Happy reading! In love and good faith, always,Savannah"
9,"COSÌ CONTINUIAMO A REMARE, BARCHE CONTRO LA CORRENTE, SOSPINTI SENZA POSA VERSO IL PASSATORomanzo che mi è parso molto, molto cinematografico (anche se non credo Fitzgerald avesse ancora incominciato a lavorare a Hollywood quando Gatsby fu pubblicato). Ma il cinema per gli US (e per noi italiani) è la forma d’arte esportata meglio nel corso del Novecento, quella che si è diffusa di più, è diventata più famosa. Fitzgerald anche in questo seppe cogliere l’aria del tempo (e poi restare eterno come solo i classici possono).Il primo adattamento per lo schermo apparve a un solo anno di distanza dalla prima pubblicazione, 1926, film muto, con Warner Baxter nel ruolo del titolo, Lois Wilson in Daisy, e Neil Hamilton in Nick. La regia di Herbert Brenon. Il film fu un fiasco, come tutti gli altri che seguirono nel tempo. Fitzgerald e sua moglie Zelda detestarono questo primo adattamento e uscirono dalla sala prima della fine della proiezione. Di questo film è rimasto solo il trailer, il resto si è dissolto.Cinematografico non solo nell’attenzione alle luci: le finestre, aperte e chiuse, i controluce, i colori (il verde della luce del faro, il giallo della macchina e degli occhiali, il rosa e l’oro degli abiti di Gatsby, l’oro della ricchezza, l’azzurro dei prati, l’argento della luna…) - pure se all’epoca la pellicola era ancora in bianco e nero, la realtà ricostruita nei set era ovviamente colorata. Squisitamente cinematografica la prima apparizione di Gatsby, in silhouette, uscito per decidere quanto gli spettasse del nostro cielo, protende il braccio verso la luce verde al di là della baia, il faro davanti alla casa di Daisy (questa luce verde ritorna più volte nel romanzo, diventa il simbolo della ricerca di Gatsby, del sogno individuale e collettivo, infatti è lo stesso verde che appare ai primi marinai che raggiunsero la costa americana, loro sì inseguirono il sogno diretti da est a ovest).Ma, l’effettiva entrata in scena di Gatsby è articolata in un crescendo, per i primi due capitoli e metà del terzo, come l’ingresso della primadonna. Preparata dalle voci (…è parente del Kaiser… ha ucciso un uomo… è cugino di secondo grado del diavolo…), dalle chiacchiere, dai mormorii, la curiosità sale nel protagonista io narrante e nel lettore (sicuramente nel sottoscritto lettore).E poi, colpo di genio, Gatsby all’improvviso è già in scena: niente occhio di bue, niente rullo di tamburi, accanto a Nick, il nostro Virgilio in questa divina tragedia americana, è seduto un uomo di qualche anno più grande di lui, che parla con cura e formalità, probabilmente un ex commilitone durante la Grande Guerra. Ed è proprio lui, Gatsby, il mitico grande Gatsby, colui che dispensava la luce delle stelle a falene indifferenti.Sempre in bianco e nero, ma in sonoro, si comincia a entrare nel mito, con Alan Ladd nella parte di Gatsby, Betty Field per Daisy, e Macdonald Carey che fa Nick. Dirige Elliott Nugent. È il 1949, e anche questo film incassa male, la maledizione di Gatsby contagia lo schermo.Esistono molti tipi di sorriso: quello di Gatsby però è unico, e FSF lo descrive a meraviglia. Dimentica tuttavia di dirci la cosa che spiega tutto: non basta scrivere che era uno di quei rari sorrisi capaci di rassicurazione eterna, come si incontrano quattro o cinque volte nella vita - il sorriso di Gatsby era uno di quei sorrisi che ti fanno sentire importante. Prima di tutto proprio per il fatto che sia uno come Gatsby a sorriderti. Quel genere di sorriso che si accompagna quasi sempre a laconicità. Perché a quel sorriso si affida l’essenza della comunicazione.Ed eccoci alla versione del 1974, con la star delle star, Robert Redford [che quest’anno ne fa ha 81, e quando lui non ci sarà più, per me non esisterà più neanche Hollywood], Mia Farrow, Sam Waterston, Bruce Dern, Karen Black, Lois Chiles. Firma Jack Clayton, che rifiuta la sceneggiatura di Truman Capote e opta per quella di Francis Ford Coppola. Il film finalmente incassa, ma l’alchimia Redford-Farrow è sotto zero. Clayton non raggiunge purtroppo le vette di The Innocents (in italiano: Suspense, 1961), l’adattamento di ‘Giro di vite’ di Henry James.Sempre per restare nell’ambito cinematografico, Nick, l’io narrante è al contempo regista e interprete/testimone, racconta ciò che vede, assiste e partecipa, ma anche ciò che ha sentito, ricostruendo l’intreccio per noi lettori come farebbe una voce fuori campo. Fitzgerald glielo lascia fare in modo che la storia e il personaggio principale siano costruiti su vuoti ed ellissi, elementi strutturali quanto mai filmici – alcuni degli eventi fondamentali del romanzo non sono messi in scena, non sono rappresentati: per esempio, l’incontro tra Gatsby e Daisy, l’investimento di Myrtle, la morte di Gatsby, tutti momenti clou che rimangono per così dire ‘fuori campo’.Nick è il punto di vista dominante, ma è qualcuno che ammette di essere allo stesso tempo dentro e fuori i fatti, è qualcuno che ci dice esplicitamente quanto il suo racconto sia in soggettiva piuttosto che oggettivo - per questo non si trattiene dal manipolare il piano temporale dei fatti, l’ordine degli eventi, spostandosi avanti e indietro nel tempo, proprio come farebbe un regista in fase di montaggio. E proprio come un regista che interviene sulla lente e gioca con la messa a fuoco, la percezione visiva di Nick è spesso annebbiata, distorta, come sottolineano i molteplici riferimenti alla vista, allo sguardo, al punto di vista, all’illusione ottica (lo stesso passato di Gatsby riassume in sé contorni sfumati e incerti). In contrapposizione allo sguardo del grande manifesto pubblicitario che ritorna più volte, quello del dott. J.T. Eckleburg, che dietro i giganteschi occhiali nasconde quasi sicuramente gli occhi miopi di dio (metafora della cecità eterna, la pubblicità mercifica il divino).Questa versione nasce modesta, destinata alla tv: è il 2000, Toby Stephens interpreta Gatsby, Mira Sorvino Daisy e Paul Rudd Nick. Dirige Robert Markowitz.Alla ricerca dell’ultima frontiera, il confine da Ovest si è spostato a Est, e in questa terra di conquista dove il sogno di felicità e redenzione è universale ed eterno, in questa vicenda semplice, per certi versi addirittura banale, eppure complessa e intricata come solo i grandi classici possono essere, in queste pagine che sono simboliche e mitiche, americane al cento per cento (Under the Red, White, and Blue sembra che fosse il titolo preferito da Fitzgerald, lo propose all’editore troppo tardi, l’opera era già in stampa) ma universali, il sogno è destinato a fallire. Gatsby è un cavaliere medioevale senza armatura che insegue il suo sogno, il suo Santo Graal che si chiama Daisy, ma si chiama anche successo, perché senza successo Daisy non si trova, non arriva. Il sogno americano è già marcio negli anni Venti del Novecento, quando è ambientato questo romanzo: il proibizionismo stimola e diffonde corruzione, il successo arriva in fretta con metodi spicci, non serve più il duro lavoro. Anche se si arriva in cima, ci si muove in una terra desolata come quella che circonda il drugstore del marito di Myrtle, dove la donna viene travolta e uccisa, mischiando il suo sangue alla cenere, e in ultima analisi all’immondizia. Proprio come Lancillotto, il più celebre cavaliere medievale, Gatsby conosce l’amore sia romantico che fisico (non credo di aver mai letto una scena d’amore più erotica di quella descritta da Chrétien de Troyes tra Lancillotto e Ginevra).On Sunday morning while church bells rang in the villages along shore the world and its mistress returned to Gatsby’s house and twinkled hilariously on his lawn. Un esempio dell’incanto che è una grande scrittura.Nel 2002 ci fu uno strano tentativo, Gatsby diventa nero in questo insolito remake che trasporta la storia al terzo millennio: si intitola semplicemente G, dirige Christopher Scott Cherot, e Richard T.Jones interpreta il protagonista Summer G. Esperimento curioso, ma non indimenticabile.Nel 1922, quando iniziò a pensare al romanzo che ultimò e fu pubblicato tre anni dopo, Fitzgerald scrisse al suo editor: Voglio scrivere qualcosa di nuovo - qualcosa di straordinario, di bello e semplice e dalla struttura intricata. Parole che sono cronaca di un capolavoro annunciato.Figlio di Henry James, o come disse T.S.Eliot, il primo passo in avanti fatto dalla narrativa americana dai tempi di Henry James, mi piace pensare che Fitzgerald battezzò la sua non eroina ispirandosi proprio alla Daisy Miller di James.Figlio della grande tradizione, dove Nick sopravvive alla morte di Gatsby per raccontare la storia proprio come Ismael sopravvive alla tragedia di Achab, Fitzgerald seppe spostare l’asticella più in alto, più avanti. Così in alto e così avanti che un altro sommo scrittore, J.D. Salinger, fa pronunciare al suo incomparabile personaggio, Holden, catcher in the rye, parole di lode per Fitzgerald e il suo Gatsby (Mi fa impazzire, Il Grande Gatsby. Il vecchio Gatsby. Vecchio mio. Mi fa morire, capitolo 18). E come Nick alla fine del romanzo pulisce una parola oscena scritta sui gradini della villa di Gatsby, così Holden cancella le oscenità scritte sui muri della scuola della sorellina.A questo punto mi piace citare Calvino, le cui parole trovo particolarmente adatte a questo capolavoro: un classico è un libro che non ha mai finito di dire quel che ha da dire - Di un classico ogni rilettura è una lettura di scoperta come la prima - I classici sono libri che quanto più si crede di conoscerli per sentito dire, tanto più quando si leggono davvero si trovano nuovi, inaspettati, inediti - Un classico è un'opera che provoca incessantemente un pulviscolo di discorsi critici su di sé, ma continuamente se li scrolla di dosso…Ed ecco l’ultima leggenda, Leonardo DiCaprio, Carey Mulligan in Daisy, e Tobey Maguire fa Nick. La regia è affidata al geniale Baz Luhrmann. Siamo nel 2013. Il risultato non è memorabile.Tentai poi di pensare a Gatsby per un momento ma lui era già troppo lontano.Probabilmente non avevo diciotto anni quando ho letto Fitzgerald per la prima volta. I 28 racconti. Il primo, ‘Il diamante grosso come l’Hotel Ritz’, mi fulminò e mi conquistò col suo finale: I don't know any longer. At any rate, let us love for a while, for a year or so, you and me. That's a form of divine drunkenness that we can all try. There are only diamonds in the whole world, diamonds and perhaps the shabby gift of disillusion. Well, I have that last and I will make the usual nothing of it."" He shivered. ""Turn up your coat collar, little girl, the night's full of chill and you'll get pneumonia. His was a great sin who first invented consciousness. Let us lose it for a few hours. Chiarendo e stabilendo per me sin da allora che l’adolescenza non è un periodo della vita, ma uno stato dell’anima."
10,"Over drinks, I’ve observed—like so many smart alecks—that much of The Great Gatsby’s popularity relies heavily on its shortness. At a sparse 180 pages, Fitzgerald’s masterpiece could be argued to be the “Great American novella.” Gatsby, like so many other short classics, is easily readable, re-readable, and assessable to everyone from the attention-deficient young to mothers juggling a kid, a career, and a long-held desire to catch up on all those books “they should have read but haven’t gotten around to yet”.I’ve now read Gatsby three times, and I admit that on my first reading during (like handfuls of others) my senior year English class, I wasn’t particularly fond of the book; I believe I used the adjective “overrated” on numerous occasions. Daisy Buchanan seemed like a twit of a woman, and I found Jay Gatsby to be pathetically clawing in his attempt to attain her. Nick, my guide, only annoyed me further with his apparent hero-worshiping of a man I found one-dimensional and his adoration for the kind of woman I’ve seen other men purport to be goddesses, but in fact, are dim-witted simpletons with nice figures. Over my two subsequent readings—pushed along by friends whose judgment I trusted and who swore the book was “so funny and ironic”—I discovered within Fitzgerald’s fable a sardonic social wit and a heavily layered critique of the American Dream: the poor, working (wo)man rising above his or her social situation to discover money conquers all. Fitzgerald has a discerning ability for sharp critiques of the economically privileged and, like Jane Austin, has an ear for realistic, bantering dialogue. Through Nick’s narration, we see a world that so many Americans dream of (its enviableness only further accentuated by our open disdain for it): a life of endless parties, delicious food, beautiful clothes, and Paris Hilton. Nick who’s paradoxically drawn to his cousin, Daisy’s, and her husband, Tom’s, lifestyle with gloating contempt echoes the contemporary American idolization of an elite lifestyle that none but a select few attain. We watch Daisy with her voice that “sounds of money” flit about with uncompromising shallowness and vivacious school-girl frivolity, and through her, see so many of the inconsequential remarks and actions others (as well as ourselves) have made for the sheer sake of “having a good time”. In spite of her frivolity and weak disposition, we become, like Gatsby, “overwhelmingly aware of the youth and mystery that wealth imprisons and preserves, of the freshness of many clothes, and of Daisy, gleaming like silver, safe and proud above the hot struggles of the poor.”Through Gatsby’s veneration of Daisy, we not only imagine what so many Americans desire (success), but also we see the goal and glittering fixation of all humanity: beauty. And like many Americans in the throes of Capitalism, Gatsby believes that money can buy beauty as well as love. Fitzgerald articulates this disillusion with haunting force, particularly voiced through Nick’s obsessive repulsion with the extravagant society his social status has allowed him and the sadness he finds while watching a “working man” attempt to enter it. One critique of The Great Gatsby, which could also be argued as a positive, is the limited scope of action and themes Fitzgerald chooses to encapsulate. We only see the wealthy elite (or people wanting to be the wealthy elite), and only Nick really has any depth of characterization. Unlike a tome, such as War and Peace, Gatsby fails to have numerous interwoven plotlines within a grand historical context. Yes, the Jazz Age is the novel’s backdrop, but Fitzgerald fails to engage in any discussion beyond a summer among the wealthy youth partying into the wee hours of the night in the West Egg. Yet, the control with which Fitzgerald expresses his limited themes makes the novel’s lack of scope forgivable.Gatsby is short and easily accessible, and I have no doubt these aspects of the novel do lend to its everlasting popularity. At the same time, it should never diminish its truly admirable ability to tease apart some of the most confounding qualities American culture values: money, beauty, youth, hard work, and the ever effusive, love. "
