,Reviews
1,"I usually like historical fiction, but this particular example has been so mitigated by the poorly-hidden didactic tautology of its too-many-cooks legion of anonymous authors and editors that it was rather difficult to enjoy. It also fell into a similar trap to the somewhat similar 'Da Vinci Code', in that it utilized a lot of poorly-researched materials and claimed them as fact. A lot of the data matched up poorly with other historical accounts, especially when it came to numerical data. It seems that the authors of this book had a need for an epic beyond epics, and several bodycounts beyond the capability of a pre-modern war. There was also a problem with the moral and ethical position presented by the book. Normally, I'm not one to nit-pick about such things, since the exploration of ethicism is an important and interesting philosophical task; but, again, this book went in so many different directions with it that it was difficult to keep up. Though the intermittent noir-ish first-person narrative made a lot of moral claims about peace and justice and acceptance, the actual actions depicted by the self-same 'protagonist' were often in complete contrast, such as when he killed all the people in the world except one family.In fact, the entire book seemed to be filled with sensationalist violence, sex, and incest. It's surprising that I haven't heard more crimes blamed on this book, which often orders the reader to kill people by throwing stones at them (I've heard the sequel, the Qur'an, is even worse).Eventually, I began to suspect that the book was some sort of in-joke. I think that when all of the editors and writers saw what the other ones were writing, they decided to take their names off the book. Eventually, I guess they just decided to pull a sort of ultimate 'Alan Smithee'; but of course, once all culpability is gone, I think a lot of the authors lost their will to make this into a good book, and so it just got published 'as is'. I know there are a lot of fans of this book, which makes sense, I guess, since it is really a lot like that Da Vinci Code book, which was also a bestseller. It is pretty fantastical and has a lot of really strong characters, like Jesus (though he's a bit of a Mary-Sue, isn't he?) and Onan. One of the main reasons I read it was because there's this really awesome Fanfic this guy Milton wrote about it, and apparently a lot of other authors were inspired by it, but I have to admit, this is one case where the Fanfic is a lot better than the original.I guess it's like how sometimes, the first example of a genre ends up not really fitting because it feels so unsophisticated and erratic. I know that it can take a long time to try to get these ideas down pat. Maybe someone will rewrite it someday and try to get it to make some sense. Then again, it wasn't that great in the first place.There was some really great writing in the book, though. Some of the poetic statements were really cool, like 'do unto others' or 'through a glass darkly', but I heard that those parts were stolen from Shakespeare, who stole them from Kyd, so I'm not really sure what to believe.I think this is one of those cases where the controversy surrounding the book really trumps the book itself, like 'The Catcher in the Rye' or 'Gigli'. In fact, the Bible is a lot like Gigli."
2,"The Holy, Inspired and inerrant word of God! I can say no more than READ IT!  I believe in one God, the Father Almighty, Maker of heaven and earth, and of all things visible and invisible. And in one Lord Jesus Christ, the only-begotten Son of God, begotten of the Father before all worlds; God of God, Light of Light, very God of very God; begotten, not made, being of one substance with the Father, by whom all things were made. Who, for us men for our salvation, came down from heaven, and was incarnate by the Holy Spirit of the virgin Mary, and was made man; and was crucified also for us under Pontius Pilate; He suffered and was buried; and the third day He rose again, according to the Scriptures; and ascended into heaven, and sits on the right hand of the Father; and He shall come again, with glory, to judge the quick and the dead; whose kingdom shall have no end. And I believe in the Holy Ghost, the Lord and Giver of Life; who proceeds from the Father and the Son; who with the Father and the Son together is worshipped and glorified; who spoke by the prophets. And I believe one holy catholic and apostolic Church. I acknowledge one baptism for the remission of sins; and I look for the resurrection of the dead, and the life of the world to come. Amen. -The Nicene Creed"
3,"As a work of fiction it's laughably bad and poorly conceived. Giant logical fallacies, poor character development, and all the plots are scuttled by a magical, invisible entity that's petty, cruel, tyrannical, and amoral. There is no central narrative that is worthwhile (or even believable), and each of the chapters seem written by committee rather than a singular voice. Clearly the book was so bad to begin with a team of editors had to step in and make major changes - which means no part of this book is even meritorious or reflects an author's vision. Frankly, I don't see this book having much of an impact."
4,"Badly edited, poor continuity and internal consistency. Authors seem to change between books. Plot is cliched and thin, with virtually no character development save for Judas Iscariot. The main characters of Jesus and Moses are entirely one dimensional messianic figures. The novel opens with Adam and Eve, and then ignores them for the next thousand pages or so. The built-in bookmark was a nice touch, but a little pretentious.Oddly, it wasn't shelved with the other fiction books."
5,Certainly not life changing or anything. The plot was hard to follow and the editing was horrible. The characters were painfully one-dimensional and this Jesus guy delivered some of the worst dialogue I've ever read. All in all I found it too long and it took itself way too seriously. The fact that it sells so well is beyond me and the way people hold it up you'd think God himself had written the damn thing.
6,"If you're a fan of Greek mythology, this one's for you. A penchant for fiery places, gnashing of teeth, the number 666, miracle-working zombies, and utter disdain for homosexuals and feminism are helpful, but not required.**Spoiler alert**He dies in the end. "
7,"""by Anonymous""i wouldn't want to take credit for this either."
8,Use as toilet paper if you run out.
9,wasn't worth the childhood damage :/
10,"Not enough Lucifer. He's easily the most interesting character.P.S. King James was Bisexual; which is, without a doubt, the greatest example of irony in the history of the human species. "
11,"God's first foray into the world of literature has made quite a splash. People the world over are talking about this book (or series of books if you want to get pedantic) and for good reason; It makes some grandiose claims, it purports to be the complete authority on almost all areas of human endeavor (aside from how to choose an internet service provider), and even makes threats to the reader.Of course, English is not God's native tongue and this book has been translated from the original aramaic and hebrew. It was then further translated to greek and didn't even have a proper English translation until the late 1600s. I have to say, either something was lost in the translation or the translator was going for a heavily stylized prose. There's lots of ""thy,"" ""thou,"" and ""begat""s throughout the book.As for the story itself, I was absolutely riveted. From the auspicious beginnings (""let there be light"" -- what a clever way to get the ball rolling) to the exciting ending with the horses and the destruction the story is full of violence, incest, adultery, begetting, and flaming bushes. It never lets up.It does get a little preachy at times and I must admit to being quite bewildered at what God's *real* message is. There are contradictions in the rules handed down (gay sex is bad but love your brother, shrimp was not OK but now it is, etc.) and unraveling the books mysteries is going to be a not insignificant task for any reader.Taken as a whole, it's really hard to look past its faults. I really wanted to like it and gave an honest attempt to understand its teachings. But it seems to me that, if you're going to claim to be the source of all truth in the universe, you'd have to do a lot better than this book does.One star."
12,"This book is really annoying, sexist, homophobic, and a lot of other awful things too. Honestly, if a character isn't getting raped then they're being burned alive for being gay. It's horrible. Also, it's wayyy too long. No offense to anyone that liked it, but it simply bores me. The first chapter is okay I guess, but everyone is way too stupid. Who kills their brother over something that dumb? It's annoying, frankly. This is a book that I'd never read twice.I'm not trying to be witty or anything, but I can't see what's so amazing about this book enough to worship it. Jesus is such a Mary Sue. Also, God is pretty awful to everyone else. Geez, dude, you think you could be a bit nicer to the people who are worshiping you all the time?I haven't read the Qu'ran yet, but I hope it isn't as boring and dumb."
13,"For anyone looking for a more realistic plot, there is Greek Mythology. "
