,Reviews
1,"Suzanne Collins has balls ovaries of steel to make us willingly cheer for a teenage girl to kill other children. In a YA book. Two reasons why this book rocks: (a) It is not Twilight, and (b) I really hate reality shows.  
Seriously, how long would it take for reality shows to evolve from ""Survivor"" to ""Hunger Games""? 
Yes, this book is full of imperfections. It often requires a strenuous suspension of disbelief. It can cause a painful amount of eye-rolling and shaking fist at the book pages. Its style is choppy and the first-person present tense gets annoying. The story is simple, and the message is heavy-handed. But is does set a better example for young impressionable pre-teens than gushing stories about sparkly co-dependency. And here is an obligatory taken out of contest Twilight-bashing quote: 
“But just the fact that he was sparkling leads me to doubt everything that happened.” 
 So why did I add it to my to-read list for my future (hypothetical) daughter? Because Katniss is cool and a badass. She is fierce, independent, resourceful, intelligent, and skilled. She is loyal to her friends and family. She is a survivor. She will never allow a guy to carry her around as though she is a delicate flower. She skewers that apple in the pig's mouth with an arrow in front of the Gamemakers in the most awesome way imaginable. For all that, I love this imperfect, surly, prickly, sullen and perpetually pissed-off, quick to jump to judgment, and sometimes clueless girl.  And I love this book because - despite The Hunger Games being YA literature that seems to hinge on the romantic puppy love - the happiness of Katniss does not revolve solely around a cute male lead. Yes, there is a (hated) love triangle here *eyeroll* but there are other issues that occupy Katniss' mind - such as the survival of her friends, family, and herself rather than just pining over a cute boy. (*)
 * Unlike other so-called ""books"", where a boyfriend of a few months dumping you is a valid reason for catatonia and almost-suicide.(**)** And yet we still get readers who divide themselves into the incredibly annoying ""Team Peeta"" and ""Team Gale"". (***)*** Because clearly nothing else ever matters besides sappy love - in a book about children murdering each other. *eyeroll* 

 Now, here is what bugged me about the romance that DID make it into the book. There is actually a LOST OPPORTUNITY here to have a YA book where people CAN be just friends, where devotion and loyalty stem from friendship and respect and not from attraction.  Katniss and Peeta could have had plenty of other reasons to care for each other that don't include puppy love - they are from the same district, same school, he gave her that bread, she trades with his dad, etc. But alas, that did not happen. I understand that Collins had to cater to the way that YA publishers and Hollywood tend to view us, the female audience. At least Katniss escapes the perils of insta-love. But poor Peeta - all of his actions are colored by him being ""Lover Boy"", and I think it detracts from his personality and reduces him from a kind compassionate person to a fool in love who'd do anything for Katniss only because of his physical attraction to her. Yeah......Rue...Oh, Rue... Now, back to the GOOD. Rue, my favorite character. Little, fragile, almost-too-perfect Rue who was clearly doomed from the start. Who despite her appearance was neither weak nor helpless. Whose death scene brought the human side to Katniss (who, until that point, was almost bordering on robotic). There was real grief and anger and sadness in that scene, and from that point on I began to care. Suzanne Collins strictly follows the ""show, don't tell"" rule. (Actually, she does it to such an extent that the book reads almost like a screenplay.) The plot moves along at a fast pace, only slowing down a bit in the drawn out Capitol makeover and cave makeout sessions. Collins does not shy away from gruesome scenes, making many parts of the book hit home.----------I enjoyed it despite the imperfections. Katniss easily beats the majority of the popular YA heroines. And because of all her coolness, this gets 3.75 stars. 
""Exactly how am I supposed to work in a thank-you in there? Somehow it just won't seem sincere if I'm trying to slit his throat."" 
-----------------------------------------
EDITED TO ADD:
 So I saw the movie today. All I have to say - Suzanne Collins may have given life to Katniss, but Jennifer Lawrence definitely gave her heart. Lawrence's Katniss has such emotional depth, and she brings such truthfulness to her character. Excellent adaptation with a great balance of tugging on the heartstrings and darkness. I CRIED TWICE (yes, apparently I am less of a cynic than I thought). First time - when Katniss volunteers for Prim and people salute her. I JUST CHOKED UP. It felt so real. I have a brother who is much younger than me, and all I could think at that moment was how I would do the exact same thing for him WITHOUT ANY HESITATION. It wouldn't even be a choice. Just like it wasn't for Katniss. *Sob* The second time I teared up - Rue. Oh Rue... And the salute from District 11 - so powerful and so touching. I...I...I just can't... PLEASE EXCUSE ME WHILE I GO AND GRAB A BOX OF TISSUES. OR TWO. OR TEN. *SOB*"
2," Dystopian Perfection.  In a post-apocalyptic future, life has turned extremely hard. Fighting poverty and hunger every day, sixteen years old hunter Katniss does absolutely everything in her power to have enough for her defenseless little sister, and a barely lucid mother. Life is hard, yet not impossible, until the one fateful day arrives. Once every year, the ever vigilant all powerful Capitol of Panem celebrates for their entertainment the “Hunger Games”, a yearly tournament where a handful representatives of each district are forced to fight in a massive arena, to the death. In a sad turn of events, young Katniss will have to fight not only for herself, but for the future of her starving family.I think this series needs as much introduction as Lord of the Rings; but what the hey, old habits die hard. Maybe not everyone has read it, maybe not everyone has watched it, but doubt anyone has never heard of it at some point. One of the greatest dystopian fiction of all time, or at least one of the best-selling ones. A literature masterpiece? Hardly. One of the most entertaining ever? Quite possibly! Astounding world building and character development. Not a profound reading at all, but a plot perfectly balanced, fast paced and action packed; if you can withstand YA that is, and the triangle thingy. Along with Percy Jackson and Divergent, one of the pillar series that sparked my literary addiction. Highly Recommendable.*** Hunger Games (2012) is a superb adaptation, maybe as good as the book, if not better. Highly popcorn and re-watch worthy. I don’t normally reread, or feel the desire to; but lost count of how many times I’ve watched the movie on TV. It just never gets old, and is perfect, for what it is; really bringing the characters alive in a way a book never can, and few adaptations ever succeed. Jennifer Lawrence and Josh Hutcherson just marvelous in their roles, with an unforgettably heartbreaking performance by Amandla Stenberg as Rue too. Still, even a decade later I can never forget that Madge Undersee was left out of the adaptation; and the Tessera system hardly explained or mentioned; along with a few other minor things cut out. Not one of the greatest films but one of the greatest adaptations ever, hands down. One of those few cases where I think I ultimately prefer the movie rather than the book. Extremely Recommendable.Team Peeta btw.Also. Fatniss I’m scared! <3-----------------------------------------------
PERSONAL NOTE
: [2008] [374p] [Dystopia] [YA] [4.5] [Highly Recommendable] -----------------------------------------------★★★★★ 1. The Hunger Games [4.5]★★★★★ 2. Catching Fire★★★★☆ 3. Mockingjay [3.5]----------------------------------------------- Perfección Distópica.  En un futuro post apocalíptico, la vida se ha vuelto extremadamente dura. Luchando contra la pobreza y el hambre cada día, la cazadora Katniss de dieciséis años hace todo lo humanamente posible en su poder para tener lo suficiente para su indefensa pequeña hermana, y una apenas lúcida madre. La vida es difícil, pero no imposible, hasta que un día llega el fatídico día. Una vez cada año, el siempre vigilante y todo poderoso Capitolio de Panem celebra para su entretenimiento los “Juegos del Hambre”, un evento anual en una masiva arena donde un puñado de representantes de cada distrito son forzados a lugar, hasta la muerte. En un triste giro de eventos, la joven Katniss deberԕ luchar no sólo por sí misma, sino por el futuro de su hambrienta familia.Creo que esta serie necesita tanta introducción como El Señor de los Anillos; pero qué demonios, los viejos hábitos nunca descansan. Tal vez no todos lo hayan leído, tal vez no todos lo hayan visto, pero dudo que nadie no haya escuchado hablarlo en algún momento. Una de las más grandes ficciones distópicas de toda la historia, o al menos de las que mejor vendieron ¿Una obra maestra literaria? Difícilmente ¿Una de las más entretenidas jamás? Muy probablemente. Increíble construcción de mundo y desarrollo de personajes. No una lectura muy profunda en absoluto, pero con una trama perfectamente balanceada, rápida en el ritmo y cargada de acción; si podés soportar lo Joven Adulto claro, y el coso ese del triángulo. Junto con Percy Jackson y Divergente, una de las series pilares que encendieron mi adicción literaria. Altamente Recomendable. *** Los Juegos del Hambre (2012) es una sobresaliente adaptación, tal vez tan buena como el libro, sino mejor. Altamente digna de palomitas y volver a ver una y otra vez. Normalmente nunca releo, ni siento el deseo; pero perdí la cuenta de cuántas veces he visto la película por TV. Nunca se gasta, y es perfecta, para lo que es; realmente trayendo a la vida a los personajes de una forma que un libro nunca puede, y pocas adaptaciones llegan a lograr. Jennifer Lawrence y Josh Hutcherson absolutamente maravillosos en sus roles, con una inolvidablemente desgarradora actuación de Amandla Stenberg como Rue también. Igual, incluso una década después no puedo olvidar que cortaron a Madge Undersee fuera la trama; y el sistema de las Teselas apenas explicado o mencionado; entre otras pequeñas cosas que quedaron fuera. No una de las mejores películas pero sí una de las mejores adaptaciones jamás, sin duda. Uno de esos casos donde creo que en última instancia prefiero la película sobre el libro. Extremadamente Recomendable.Equipo Peeta por cierto.-----------------------------------------------
NOTA PERSONAL
: [2008] [374p] [Distopía] [Joven Adulto] [4.5] [Altamente Recomendable] -----------------------------------------------"
3,"LMAAAOOOO! Thats Peeta folks! xDHahahahaha, Totally! xDHAHAHAHAHA! Laughed my ass off on this! XDOMFG. HUNGER GAMES. CINEMA. O.O IT.WAS.FREAKING.AMAZING. ♥Am I...am I still alive...? o.O *pinches myself* -ouch! Yes, I can stay alive for the next movie.And I was crying before the movie even started. Damn cinema, showing 'The Titanic 3D' movie trailer. >.< OMG, there were sooo many moments where I was crying. And God, I love my Pakistani people, they were so much fun to watch with :') <3Go and watch The Hunger Games movie NOW! When is the next movie coming? :'D <3I just died. OH YES I DID becaaaussseee...‘Hunger Games’ Clip: Peeta Mellark’s Interview With Caesar!!!OMG PEETA LOOKS SO HOT! OMG OMG OMG! <3 And how he says, well, shes here with me! :'Dhttp://mockingjay.net/2012/03/12/hung...The Hunger Games ET Behind The Scenes [Extended Version] http://www.youtube.com/watch?feature=...*Yes people, in this video you can watch Peeta escaping for his life, throwing breads and hugging Katniss* EEEE! ^_^Five Days and 21 hours till the Red carpet premiere...OMFG OMFG OMFG! O_O Anyway guys, KATNISS AND CINNA FULL 4 MIN SCENE!http://movies.yahoo.com/movie/the-hun...Another SONG released. Its so creppy and weird. LOVE IT! xDArcade Fire - Abraham's Daughterhttp://www.youtube.com/watch?v=1N9qiD...OMG! ONE OF THE HUNGER GAMES SCENES! xD(When Katniss shoots arrow in the apple while preparing)http://www.youtube.com/watch?v=L761Sr...After watching this, I am like, ""FUCK YEA! ^_^""27 days.... OMFG! ^_^ SO DAMN EXCITED! :DAnyway, new picture people!! :DPeeta painting. Now isn’t that just adorable. XD <3Josh Hutcherson (Awesome one)interview:http://www.youtube.com/watch?v=eoow-j...OMG OMG! THE ORIGINAL SOUNDTRACK! <3Deep Shadows by T.T.L:http://www.youtube.com/watch?v=xJWT2b...I am getting chills. This instrumental is Perfect.New picture! =D *Official cover*OMG! FIRST SOUNDTRACK RELEASED! ^_^ <3Safe and Sound by no other than TAYLOR SWIFT FT THE CIVIL WAR.http://www.youtube.com/watch?v=YFEDTt...Ok. I thought it would be like you know, metal, but this rocks! =D <3THE OFFICIAL TRAILER! OMG OMG OMG! ITS PERFECT! ITS FAB! *girl squeal!* THIS IS SO FREAKING AMAZING! xDhttp://www.youtube.com/watch?v=p-5ANq...For me its like, I read this series. I loved them. Then I saw the first book becoming a movie. And now watching the trailer, I feel so good. Like a dream come true. =)And I already watched the trailer like, 15-20 times. XDYeah. I nearly died while looking at this pictures. X__XWhats the use of reviewing this book when its awesome and everybody knows it! I.just.can't.wait.till.freaking.March.23.2012. =D****** May The Odds Be Ever In Your Favor ! ﻿*******"
4,"
 Latest BookTube Video is up - a totally serious take on writing Young Adult Lit! 
The Written Review
: “Happy Hunger Games! And may the odds be ever in your favor.”
Every year, Panem (post-apacolyptic North America) hosts a Hunger Games involving one female and one male representative from each of its twelve districts to fight to the death. All of the Districts of Panem must watch the Games as a form of yearly ""entertainment"" when in actuality, it's a power play put on by the Capitol (the wealthiest of the districts).
For there to be betrayal, there would have to have been trust first.
The Capitol uses the Games as a way to demonstrate the sheer helplessness of the other Districts and to keep the population cowed and in fear.When Katniss's sister (twelve-year-old Prim) is chosen as this year's competitor, Katniss volunteers to take her place. Peeta, a boy from the ""richer"" side of District 12 is chosen as the male representative.
I'm more than just a piece in their Games.
Soon, she and Peeta are whisked away to the Capitol - a place of incredible wealth and heartbreaking cruelity. And while Katniss has sworn to come back to her sister, she really has to wonder, what will be left of her if she returns.
“Here's some advice. Stay alive.” 
Honestly, this was the best apocalyptic YA teen novel I've read this year.To be fair, this was one of the very first YA series I read, so every time I re-read it, I am just overwhelmed with nostalgia.But, when I take off my rose-tinted glasses, I still think it's a pretty solid series.The characters are really well-done.  I love how Katniss's motivation is both pure and ruthlessness - and her personality isn't tainted with over-the-top self-sacrificing eyerollingly awful simpering mess that I see in quite a few of the newer YA series. Katniss's love for her sister humanized her otherwise stiff character. Her pride and will to survive energized the novel and kept me absolutely hooked. I appreciate that the smidge of romance  does not overpower the novel. Finally, a YA novel that plot doesn't solely hang on a love triangle - I love that it's more of a survivalist story. Overall, really pleased with this novel - cannot wait to reread the rest!Audiobook CommentsRead by Carolyn McCormick and she gave life to Katniss! Loved the audio.And here's another booktube video!:
 If you've ever wondered which literary world would be the best to live in, wonder no longer, cause there's a BookTube Video to answer that!YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads"
5,"I was forced into watching Mockingjay: Part II this weekend. To clarify, I watched the second part of the last Hunger Games movie without having read any of the books, without having watched any of the movies.Needless to say, I was confused as fuck.So many questions and thoughts ran through my mind as I watched the movie. Why is Peeta so thin? Did that huge-ass bruise really disappear from her neck the next day? Is Katniss supposed to look like she's about to burst into tears at any given moment, or is that just Jennifer Lawrence? Woody Harrelson is in this movie? Hey, it's Margaery from Game of Thrones! Who's President Snow? What's a Mockingjay? Lesser Hemsworth is pretty hot.Well, you get the point. I know how the book ended and I still have no idea who anyone is, and neither do I know their names, with the exception of Peeta, Gale, President Snow, that Coin woman, and Katniss. Of course, knowing how the book ended means I probably should read the first book, so here I am, the last person on earth to read The Hunger Games.And it was good. It was really good. My sister was right (she usually is).What else can I say that hasn't already been said? I loved it. The world building was interesting (although it helps that I've seen what it looks like on the big screen), and Katniss is awesome. One of the things my sister didn't like about the first movie is that the on-screen Katniss was different from her portrayal in the first book. I haven't watched that movie, but I kind of see how the screen portrayal of Katniss might have bothered her. Book-Katniss is strong, kick-ass without being a Mary Sue. She has a fierce love for her sister, and she is manipulative and cunning. She uses the prospect of romance to protect herself, she has no qualms about using people, and I love that about her.Time to watch Movie #1!"
6,"My ""Epic Book Recipe"" Checklist for The Hunger Games: 1. A sharp and intelligent heroine with just the right amount of emotion who gives in to absolutely nothing and no one? 2. A sweet and sensitive hero who loves and supports the heroine unconditionally? 3. An original setting with a unique and thrilling plot? 4. A couple of earth-shattering shocks every now and then to keep the readers' mind reeling? 5. Extraordinary side characters from interesting backgrounds who possess the much-needed Voice of Reason and/or Humor in every crisis? 6. Desperate circumstances that force me to bite my nails in anxiety? 7. An ending that provides the perfect premise for the sequel but also concludes the present book? Like I said, EPIC. For more reviews, visit my blog. "
7,"Absolute solid gold standard. Phenomenal. Don't let the movies pollute your memories of this book, it is OUTSTANDING."
8,"(A-) 83% | Very GoodNotes: The literal corruption of youth by reality television. Forced into murder, thievery, treachery, and kissing to stay alive."
9,rereading this for the first time in 10 years and it feels more relevant than ever. truly a timeless classic. 
10,she really was the blueprint
