,Reviews
1,"*** For those who somehow have no idea about what happens in The Little Prince or cannot figure it out at a reasonable spot in the book, here is a warning - THERE WILL BE, as much as I hate applying this term to this incredibly famous classic that does not rely on Aha! moments to keep the readers' attention, SPOILERS! ****-----------'You do understand that the Little Prince died?' my mother asked as carefully and gently as only adults who know that loss of innocence can be crushing but is brutally necessary can do.'No, he didn't. He went back to his home planet and that stupid rose. It says so right here,' I replied with the comforting stubbornness of an eight-year-old.Later that night, I quietly reread the book and the sad truth clicked, and so did the belated thought that for all the gentle berating of adults in it, this strange and beautiful book was written by one of them and definitely for them, and not for me, and by luring me in with the beautiful pictures it pushed me just a bit further on the inevitable road to adulthood.Or so I see now.Back then, I decided to read the author's biography instead as a distraction from the thoughts that were trying to be a bit more grown-up than my heart cared for - I was the odd kid of a literature teacher mother, after all - just to learn that just after writing this book, Antoine de Saint Exupery died when flying his plane in a war to liberate his country, killed by adults who played a game of war, too dangerous and cruel. And that finally made me cry. And then I went back to the simple security of childhood.

Then I grew up, inevitably, like most of us do. I learned to do my fair share of 'matters of consequence'. I learned the painful understanding of why certain vain but naive roses can hold such sad power over our hearts. I learned the comfort and longing of nostalgia, the fear of the crushing burden of loneliness, the understanding of fragile beauty of the world that can be so easily taken away at any moment. I became a grown-up, and I have to learn to reconcile my inner child with my outer age.
""In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence. I have lived a great deal among grown-ups. I have seen them intimately, close at hand. And that hasn't much improved my opinion of them.""
Now, reading this intensely lyrical and mesmerizing book written by an ailing middle-aged adult far away from the country he loved in the middle of war-torn years, I am confronted with emotions that ruthlessly hurt, hidden in the deceiving simplicity of a (supposedly) children's story just like an elephant was hidden inside a boa constrictor - or was it simply a hat all along? - in the opening paragraphs of this book. I sigh and tear up, and try to resist the urge to pick up the golden-haired child that never stopped until he got answers to his questions and carry him away into safety. But I can't. Because if I do so, there will never be 500 billion bells in the stars, and we will never wonder whether the rose is still alive - and it needs to be, because we are responsible for those we have tamed.
""But I was not reassured. I remembered the fox. One runs the risk of weeping a little, if one lets himself be tamed.""
This is not a book for children. It's for adults who remember being children and feel nostalgia for the simple comfort of childhood innocence but know they can never go back to it. Because they have met their Roses, and Foxes, and drank from a well with a rusty handle in the desert, and learned that a few thorns may not stand against the claws of a tiger. Unlike the Little Prince, they can no longer go back - but they can look at the night starry sky and laugh, and imagine that they hear an answering clear laughter.
""In certain more important details I shall make mistakes, also. But that is something that will not be my fault. My friend never explained anything to me. He thought, perhaps, that I was like himself. But I, alas, do not know how to see sheep through the walls of boxes. Perhaps I am a little like the grown-ups. I have had to grow old.""'What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well.'
——————Also posted on my blog."
2,"The next asteroid the Little Prince came to was inhabited by a Quiz Addict. He sat hunched in front of his laptop, and barely looked up when the Little Prince greeted him. There was nowhere else to sit, since the whole asteroid was covered in books.""Good morning!"" said the Little Prince.""I'm sorry, I don't have time to talk to you,"" said the Quiz Addict. ""I am very busy. Wait. In Twilight, what color was Edward's car?""""I don't know,"" said the Little Prince. ""I have never read this book Twilight.""""I think it was blue,"" said the man. ""Damn! I was wrong. Silver. In Twilight, who joined the Cullen family first?""""I told you,"" said the Little Prince, ""that I haven't read this book. But it must be an interesting book if you answer questions about it all day long. I would very much like to read it.""""It is the stupidest book ever written!"" said the man.""Then why do you answer questions about it all day long?"" asked the Little Prince.""Because if I don't,"" sighed the man, ""then my friend on asteroid B451 will get ahead of me. ""He has read the whole series. Luckily, he hasn't read Harry Potter and the Deathly Hallows.""""When you have finished the Quiz,"" asked the Little Prince, ""I hope you will be able to read some of these books you have around you? I notice that you have had Atonement on your to-read list for the last six months.""""It is a Never-Ending Quiz,"" answered the man. ""In Twilight, what color was Edward's car?""""I believe you said silver?"" answered the Little Prince politely.""Thank you,"" muttered the man. ""Yes! You were right. I should have known that.""""I'm sorry, I must be going,"" said the Little Prince. And he went on his way, thinking that grown-ups were very, very, very strange."
3,"The Little Prince is a short story of a man who crash lands his plane in a remote part of the desert. The man meets a little fellow, The Little Prince, who regales him with his tales of his travels around the universe.This was a short book that carried a big punch. Although it is often labeled as a children’s story, it is so full of beautiful symbolism. The Little Prince is worth reading once a year.My favorite tale from The Little Prince’s travel is the story of the businessman. The businessman is busy counting the stars, claiming to own them because he first discovered them. The Little Prince asks him what he does with the stars, and the businessman says nothing. “I own a flower myself,” he (The Little Prince) continued, “which I water every day. I own three volcanoes, which I rake out every week. I even rake out the extinct one. You never know. So it’s of some use to my volcanoes, and it’s useful to my flower, that I own them. But you’re not useful to the stars.” There was another quote that I just loved: “I need to put up with two or three caterpillars if I want to get to know the butterflies.”This book is part of the 100 Books To Read According to the BBC:https://www.listchallenges.com/bbcs-t...2023 Reading ScheduleJan Alice in WonderlandFeb Notes from a Small IslandMar Cloud AtlasApr On the RoadMay The Color PurpleJun Bleak HouseJul Bridget Jones’s DiaryAug Anna KareninaSep The Secret HistoryOct Brave New WorldNov A Confederacy of DuncesDec The Count of Monte CristoConnect With Me!Blog Twitter BookTube Facebook Insta"
4,"Great observations, but personally I think it's overrated. It practically begs the reader to come to the conclusion that if you don't ""get it"" it's your own fault because you're a ""grown up, and only kids can see what matters."" It's heavy handed, clumsily executed observations on what's important in life. It's not wrong by any means, but it's kind of pseudo-intellectualist.I'm going to go with a literal interpretation of the plot, because it's more fun that way: A man crashes his plane in the desert, hallucinates a small alien boy that teaches him philosophical lessons, invents a history for him, finds a well just in time to stave off dehydration, as he re-hydrates, his hallucinated alien friend kills himself and disappears, he fixes his plane and flies home and is sad about it, but feels blessed for the experience as it has changed him.Ready for the moral? It's really simple: ""It is the time you have wasted for your rose that makes your rose so important."" Or in other words, spend your time developing relationships, don't worry so much about the things, they're not important, it's the time you spend and how you spend it that is.That's a nice philosophy, I get it. I even agree with it one hundred percent. I just think these metaphors are painfully clumsy. "
5,"We are all children in adult bodies. Yes we are, don't think we aren't for one moment. The fact that we WERE, indeed, children, is a huge part of each of us. It is possible to shed a few appreciative tears on every page of this book if you entertain the thought that the pilot IS The Little Prince. Maybe you won't think that--maybe you'll have your own take on the book---that's the magic about it. This book is translated to English from French. If you understand and/or appreciate French, the deliciousness of that fact can affect you in addition to the sweet storyline itself. The book won't even take you a whole day to read. Consider honoring the Little You that still remains, and resides within you, and read this salute to childhood, to innocence, and to you. It just takes a 'Little' imagination and bravery."
6," “What is essential is invisible to the eyes.”  Saint-Exupéry’s plane crashes in the middle of the Sahara desert; with limited supplies and no hopes of finding help, his time is short to fix his airship. One day after waking up he finds a beautiful young boy playing on the sand, and starts to wonder if he may be losing his mind. Is he dehydrated and the boy a product of his imagination? Who is that little boy and what on earth is he doing in the middle of the desert? And why does he keeps asking to draw him a sheep?One of the firsts books I picked up from my parent’s bookcase, if not the very first. A book I read during my teens and deeply LOVED, with a soul shattering ending that I never fully recovered from. To this day I think this is the first book I read with a devastating ending.A book everyone should try to read at least once in their lifetime, but never force it. I think it’s essential for this book to come just at the right invisible time, and very important to keep an open mind about it. Don’t over analyze it too much, and it should be easy to enjoy. I think any kid can love it, or any adult with a healthy child at heart. A must read in life. Extremely Recommendable.*** The Little Prince (2015) is a beautifully touching movie that has much and little to do with the original work. This film is more of a modern retelling of what ‘The Little Prince 1 & 2’ would’ve been, if such a sequel existed. Still, of all the adaptations I’ve watched (which is to say the only one in this case ehem), it’s so VERY worth it. An extremely heartfelt animation and something any reader of the Little Prince would probably love. A fantastic film with gorgeous artwork and an amazing voicing cast. Very Recommendable. Just mind it includes a lot more stuff than just a plain adaptation.-----------------------------------------------
PERSONAL NOTE
: [1943] [96p] [Classics] [Extremely Recommendable] [B 612]----------------------------------------------- “Lo esencial es invisible a los ojos.”  El avión de Saint-Exupéry se estrella en medio del desierto del Sahara; con escasos recursos y sin esperanza de hallar ayuda, su tiempo es corto para tratar de arreglar su nave. Un día al despertar se encuentra con un hermoso joven muchacho jugando en la arena, y se empieza a preguntar si tal vez esté perdiendo la cabeza. ¿Está deshidratado y el niño un producto de su imaginación? ¿Quién es ese muchachito y qué por los cielos está haciendo en el medio del desierto? ¿Y por qué sigue insistiendo en que le dibuje una oveja?Este fue uno de los primeros libros que escogí de la biblioteca de mis viejos, si no es que el mismísimo primero. Un libro que leí durante mi adolescencia y AME profundamente, con un final que parte el alma y del cual nunca llegué a recuperarme completamente. Hasta el día de hoy creo que es el primer libro que leí con un final devastador.Un libro que todo el mundo debería intentar leer al menos una vez en la vida, pero sin jamás forzarlo. Creo que es esencial que este libro llegue justo en el invisible momento adecuado, y muy importante leerlo con una mente abierta. No sobre analizarlo demasiado, y seguramente será fácil disfrutarlo. Creo que cualquier niño puede amarlo, o cualquier adulto con un niño saludable en su interior.Un deber para leer en la vida. Extremadamente Recomendable. *** El Principito (2015) es una hermosamente conmovedora película que tiene mucho y poco que ver con la obra original. Este filme es una especie de recreación moderna de lo que sería ‘El Principito 1 & 2’, si dicha secuela existiera. Igual, de todas las adaptaciones que vi (que dicho sea de paso es una sola en este caso ehem), esta lo vale MUCHO. Una extremadamente emotiva película animada y algo que cualquier lector del Principito probablemente amaría. Una fantástica y bellísima obra artística con un excelente elenco de voces. Muy Recomendable. Sólo sepan que incluye muchas más cosas que una simple adaptación.-----------------------------------------------
NOTA PERSONAL
: [1943] [96p] [Clásicos] [Extremadamente Recomendable] [B 612]-----------------------------------------------"
7,"(A) 85% | ExtraordinaryNotes: Opens rough, like stalks of wheat, bit raw to eat, but flavors build as meaning's milled and by the end it tastes a treat."
8,"(Book 574 from 1001 Books) - Le Petit Prince = The Little Prince, Antoine de Saint-ExupéryThe Little Prince, first published in 1943, is a novella, the most famous work of French aristocrat, writer, poet, and pioneering aviator Antoine de Saint-Exupéry. The Little Prince is a poetic tale, with watercolor illustrations by the author, in which a pilot stranded in the desert meets a young prince visiting Earth from a tiny asteroid. The story is philosophical and includes social criticism of the adult world. It was written during a period when Saint-Expiry fled to North America subsequent to the Fall of France during the Second World War, witnessed first hand by the author and captured in his memoir Flight to Arras. I haven't read anything like this before. This book is very intelligently written. عنوانهای چاپ شده در ایران: «شازده کوچولو»؛ «مسافر کوچولو»، «شهریار کوچولو» و عنوانهای دیگر - آنتوان دو سنت اگزوپری (امیرکبیر و ...) ادبیات؛ تاریخ نخستین خوانش در ماه می سال 1982میلادی، سال 1994میلادی؛ و سال 2001میلادی و ماه نوامبر سال 2006میلادیبا این عنوانها چاپ شده است: «شازاده‌ بچکۆله‌ - مهتاب حسینی در 100ص»؛ «ش‍ازاده‌ چ‍ک‍ول‍ه‌ - کردی مترجم مصطفی ایلخانی زاده در 154ص»؛ با همین عنوان ترجمه «آرش امجدی در 136ص»؛ با همین عنوان «وهاب جیهانی در 119ص»؛ «شازده وه شله» - کردی با ترجمه کورش امینی در 96ص؛ «شازایه توچگه» - کردی ترجمه محسن امینی در 127ص؛ «شازده چکول» - کردی میلاد ملایی در 54ص؛ با عنوان «شازده کوچولو» مترجمها: شورا پیرزاده در 99ص؛ محمد قاضی در 113ص بیش از شصت چاپ دارد؛ ابوالحسن نجفی در 117ص؛ بابک اندیشه در 106ص؛ احمد شاملو در 103ص بارها چاپ شده؛ فریده مهدوی دامغانی در 316ص؛ مصطفی رحماندوست در 127ص ده بار چاپ شده؛ اصغر رستگار در 101ص؛ دل آرا قهرمان در 96ص؛ حسین جاوید در 120ص؛ ایرج انور در 140ص؛ سحر جعفری صرافی در 160ص؛ مهرداد انتظاری در 87ص؛ کاوه میرعباسی در 112ص؛ رضا خاکیانی در 110ص؛ فرزام حبیبی اصفهانی در 112ص؛ مرتضی سعیدی در 120ص؛ مجتبی پایدار در 119ص؛ رضا زارع در 120ص؛ پرویز شهدی در 128ص؛ محمدرضا صامتی در 112ص؛ محمدعلی اخوان در 105ص؛ جمشید بهرامیان در 148ص؛ هانیه فهیمی در 120ص؛ رامسس بصیر در 104ص؛ سمانه رضائیان در 104ص؛ غلامرضا یاسی پور در 96ص؛ مریم صبوری در 192ص؛ حسین غیوری در 170ص؛ مهسا حمیدیان در 51ص؛ میلاد یداللهی در 102ص؛ مهری محمدی مقدم در 96ص؛ زهرا تیرانی در 103ص؛ لیلاسادات محمودی در 164ص؛ محمدجواد انتظاری در 120ص؛ غزاله ابراهیمی در 128ص؛ مریم خرازیان در 120ص؛ مدیا کاشیگر در 136ص؛ محمدعلی عزیزی در 152ص؛ الهام ذوالقدر در 189ص؛ فاطمه نظرآهاری در 136ص؛ زهره مستی در 128ص؛ حمیدرضا غیوری در 98ص؛ اسدالله غفوری ثانی در 116ص؛ شادی ابطحی در 152ص؛ محمدتقی بهرامی حران در 104ص؛ محمدرضا صامتی در 176ص؛ محمدرضا محمدحسینی در 112ص؛ فهیمه شهرابی فراهانی در 131ص؛ بهاره عزیزی در 120ص؛ مولود محمدی در 143ص؛ شهناز مجیدی در 184ص؛ هانیه حق نبی مطلق در 111ص؛ سعید هاشمی در 96ص؛ سمانه فلاح در 96ص؛ حمیدرضا زین الدین در 120ص؛ شبنم اقبال زاده در 88ص؛ رضا طاهری در 72ص؛ فاطمه امینی در 220ص؛ محمد مجلسی 142ص؛ بهزا�� بیگی در 112ص؛ با عنوان «شاهزاده سرزمین عشق»، چیستا یثربی در 54ص؛ با عنوان: «شاهزاده کوچک» مریم شریف در 112ص؛ هرمز ریاحی در 99ص؛ با عنوان: «شاهزاده کوچولو»؛ شاهین فولادی در 120ص؛ علی شکرالهی در 148ص؛ با عنوان: «شهریار کوچولو» احمد شاملو در 103ص؛ با عنوان «مسافر کوچولو» فائزه سرمدی در 58ص؛ علی محمدپور در 12ص؛ با عنوان: «نمایشنامه شازده کوچولو» عباس جوانمرد در 97ص؛ با عنوان: «شازا بووچکه‌ له» ترجمه‏‫: رضوان متوسل؛موسسه انتشارات نگاه، چاپ دوم این اثر را با عنوان: «شهریار کوچولو» و برگردان روانشاد: احمد شاملو در سال 1373هجری خورشیدی منتشر کرده است نقل از متن: (...؛ اما سرانجام، پس از مدت­ها راه ­رفتن در میان ریگ­ها و صخره ها و برف­ها، به جاده­ ای برخورد؛ و هر جاده ­ای یکراست می­رود سراغ آدم­ها.؛ گفت: سلام.؛ و مخاطبش: گلستان پر گلی بود.؛ گل­ها گفتند: سلام.؛ شهریار کوچولو رفت تو بحرشان.؛ همه ­شان عین گل خودش بودند.؛ حیرت­زده، ازشان پرسید: شماها کی هستید؟ گفتند: ما گل سرخیم.؛ آهی کشید و سخت احساس شوربختی کرد.؛ گل­ش به او گفته بود که از نوع او، تو تمام عالم تنها همان یکی هست، و حالا پنج­هزارتا گل، همه مثل هم، فقط در یک گلستان.؛ فکر کرد: اگر گل من این را می­دید، بدجوری از رو می­رفت، پشت سر هم بنا می­کرد سرفه کردن، و برای این­که از هو شدن فرار کند، خودش را به مردن می­زد.؛ و من هم مجبور می­شدم وانمود کنم به پرستاریش، وگرنه برای سرشکسته کردن من هم که شده بود، راستی راستی می­مر؛د. و باز تو دلش گفت: مرا باش که با یک گل، خودم را دولتمند عالم خیال می­کردم، در صورتی­که آنچه دارم، یک گل معمولی ست.؛ با آن گل، و آن سه تا آتشفشانی که تا سر زانوم هستند، و شاید هم یکی­شان تا ابد خاموش بماند، شهریار چندان پرشوکتی به حساب نمی­آیم.؛افتاد رو سبزه­ ها، و زد زیر گریه.؛ آن وقت بود، که سر و کله ­ی روباه پیدا شد.؛ روباه گفت: سلام.؛ شهریار کوچولو برگشت، اما کسی را ندید.؛ با وجود این با ادب تمام گفت: سلام.؛ صدا گفت: من اینجام، زیر درخت سیب.؛ شهریار کوچولو گفت: کی هستی تو؟ عجب خوشگلی.؛ روباه گفت یک روباهم من؛ شهریار کوچولو گفت: بیا با من بازی کن.؛ نمی­دانی چقدر دلم گرفته.؛ روباه گفت: نمی­توانم بات بازی کنم.؛ هنوز اهلی­ ام نکرده ­اند آخر.؛ شهریار کوچولو آهی کشید و گفت: معذرت می­خواهم.؛اما فکری کرد و پرسید: اهلی کردن یعنی چه؟ روباه گفت: تو اهل اینجا نیستی.؛ پی چی می­گردی؟ شهریار کوچولو گفت: پی آدم­ها می­گردم.؛ نگفتی اهلی کردن یعنی چه؟ روباه گفت: آدم­ها تفنگ دارند، و شکار می­کنند.؛ اینش اسباب دلخوری است.؛ اما مرغ و ماکیان هم پرورش می­دهند، و خیرشان فقط همین است.؛ تو پی مرغ می­گردی؟ شهریار کوچولو گفت: نه، پی دوست می­گردم.؛اهلی کردن یعنی چه؟ روباه گفت چیزیست، که پاک فراموش شده.؛ معنی­ اش ایجاد علاقه کردن است.؛ ایجاد علاقه کردن؟ روباه گفت: معلوم است.؛ تو الان واسه من یک پسربچه ­ای، مثل صدهزار پسربچه ­ی دیگر.؛ نه من، هیچ احتیاجی به تو دارم، نه تو هیچ احتیاجی به من.؛ من هم برای تو یک روباهم، مثل صدهزار روباه دیگر.؛ اما اگر منو اهلی کردی، هر دوتامان به هم احتیاج پیدا می­کنیم.؛ تو برای من، میان همه­ ی عالم، موجود یگانه ­ای می­شوی، و من برای تو.؛شهریار کوچولو گفت: کم ­کم دارد دستگیرم می­شود.؛ یک گلی هست، که گمانم مرا اهلی کرده باشد.؛روباه گفت: بعید نیست.؛ رو این کره ی زمین، هزار جور چیز می­شود دید.؛ شهریار کوچولو گفت: اوه نه.؛ آن گل روی کره ی زمین نیست.؛ روباه انگار، حسابی حیرت کرده بود، و گفت: رو یک سیاره ی دیگر است؟ _ آره.؛ _ تو آن سیاره شکارچی هم هست؟ _ نه.؛ _ محشر است، مرغ و ماکیان چطور؟ _نه.؛ روباه آه کشان گفت: همیشه ی خدا یک پای بساط لنگ است.؛ اما پی حرفش را گرفت، و گفت: زندگی یکنواختی دارم.؛ من مرغ­ها را شکار می­کنم، آدم­ها مرا.؛ همه ­ی مرغ­ها عین هم اند، همه ی آدم­ها هم عین هم اند.؛ این وضع یک­خرده خلقم را تنگ می­کند.؛ اما اگر تو منو اهلی کنی، انگار که زندگیم را چراغان کرده باشی.؛ آنوقت صدای پایی را می­شناسم، که با هر صدای پای دیگری، فرق داشته می­کند.؛ صدای پای دیگران مرا وادار می­کند، تو هفت تا سوراخ قایم بشوم، اما صدای پای تو، مثل نغمه­ ای مرا از لانه ­ام می­کشد بیرون.؛ تازه، نگاه کن آنجا، گندمزار را می­بینی؟ برای من که نان نمی­خورم، گندم چیز بی­فایده ­ای است؛ پس گندمزار هم مرا یاد چیزی نمی­اندازد.؛ اسباب تأسف است.؛ اما تو، موهایت رنگ طلا است.؛ پس وقتی اهلی­ ام کردی، محشر می­شود.؛ گندم که طلایی رنگ است، مرا به یاد تو می­اندازد، و صدای باد را هم، که تو گندمزار می­پیچد، دوست خواهم داشت.؛ خاموش شد، و مدت درازی شهریار کوچولو را نگاه کرد.؛آن وقت گفت: اگر دلت می­خواهد منو اهلی کن.؛ شهریار کوچولو جواب داد: دلم که خیلی می­خواهد، اما وقت چندانی ندارم.؛ باید بروم دوستانی پیدا کنم، و از کلی چیزها سر درآرم.؛ روباه گفت: آدم فقط از چیزهایی که اهلی می­کند می­تواند سر درمیآرد.؛ آدم­ها دیگر برای سر درآوردن از چیزها وقت ندارند؛ همه چیز را همین جوری حاضر آماده، از دکان می­خرند.؛ اما چون دکانی نیست که دوست معامله کند، آدم­ها مانده ­اند بیدوست.؛ تو اگر دوست می­خواهی، خب منو اهلی کن.؛شهریار کوچولو پرسید: راهش چیست؟ روباه جواب داد: باید خیلی خیلی صبور باشی، اولش یک­خرده دورتر از من می­گیری اینجوری میان علف­ها مینشینی. من زیرچشمی نگاهت می­کنم، و تو لام تا کام، هیچی نمی­گویی، چون سرچشمه ی همه ی سوء ­تفاهم­ها زیر سر زبان است.؛ عوضش می­توانی هر روز، یک خرده نزدیک­تر بنشینی.؛ فردای آنروز دوباره شهریار کوچولو آمد پیش روباه.؛ روباه گفت: کاش سر همان ساعت دیروز آمده بودی.؛ اگر مثلا سر ساعت چهار بعد از ظهر بیایی، من از ساعت سه، تو دلم قند آب می­شود، و هرچه ساعت جلوتر برود، بیشتر احساس شادی و خوشبختی می­کنم.؛ ساعت چهار که شد، دلم بنا می­کند شورزدن، و نگران شدن.؛ آنوقت است که قدر خوشبختی را می­فهمم.؛ اما اگر تو هر وقت­ و بی­وقت بیایی، من از کجا بدانم چه ساعتی باید دلم را برای دیدارت آماده کنم؟ هر چیزی برای خودش رسم و رسومی دارد.؛شهریار کوچولو گفت: رسم و رسوم یعنی چه؟ روباه گفت: این هم از آن چیزهایی است، که پاک از خاطره ها رفته.؛ این همان چیزیست که باعث می­شود، فلان روز با باقی روزها، و فلان ساعت، با باقی ساعت­ها، فرق کند.؛ مثلا شکارچی­های ما، میانِ خودشان رسمی دارند، و آن اینست که پنجشنبه ها را، با دخترهای ده می­روند رقص.؛ پس پنجشنبه ها، بره کشان من است.؛ برای خودم گردش­ کنان می­روم تا دم موستان.؛ حالا اگر شکارچی­ها وقت و بی­وقت میرفتند رقص، همه ی روزها شبیه هم می­شد، و من بیچاره، دیگر فرصت و فراغتی نداشتم.؛ به این ترتیب، شهریار کوچولو روباه را اهلی کرد.؛ لحظه ی جدایی که نزدیک شد، روباه گفت: آخ.؛ نمی­توانم جلو اشکم را بگیرم.؛ شهریار کوچولو گفت: تقصیر خودت است.؛ من که بدت را نخواستم، خودت خواستی اهلیت کنم.؛ روباه گفت: همین طور است.؛ شهریار کوچولو گفت: آخر اشکت دارد سرازیر می­شود.؛ روباه گفت: همین طور است.؛ شهریار کوچولو گفت: پس این ماجر�� فایده ای به حال تو نداشته.؛ روباه گفت: چرا، برای خاطر رنگ گندم.؛ بعد گفت: برو یکبار دیگر گل­ها را ببین، تا بفهمی که گل تو، تو عالم تک است.؛ برگشتنا با هم وداع می­کنیم، و من به عنوان هدیه، رازی را به تو می­گویم؛ شهریار کوچولو، بار دیگر به تماشای گل­ها رفت، و به آن­ها گفت: شما سر سوزنی به گل من نمی­مانید، و هنوز هیچی نیستید.؛ نه کسی شما را اهلی کرده، نه شما کسی را.؛ درست همان جوری هستید، که روباه من بود: روباهی بود مثل صدهزار روباه دیگر.؛ او را دوست خودم کردم، و حالا تو همه ی عالم تک است.؛ گل­ها حسابی از رو رفتند.؛ شهریار کوچولو، دوباره درآمد که: خوشگلید، اما خالی هستید.؛ برایتان نمی­شود مرد.؛ گفت ­و گو ندارد، که گل مرا هم فلان رهگذر، گلی می­بیند مثل شما.؛ اما او، به تنهایی از همه ی شما سر است، چون فقط اوست که آبش داده ام، چون فقط اوست که زیر حبابش گذاشته ام، چون فقط اوست که با تجیر برایش حفاظ درست کرده ام، چون فقط اوست که حشراتش را کشته ام (جز دو سه تایی که می­بایست پروانه بشوند)، چون فقط اوست، که پای گله گذاری­ها و خودنمایی­ها، و حتا گاهی بغ­ کردن، و هیچی نگفتن­هایش نشسته ام، چون او گل من است.؛ و برگشت پیش روباه.؛ گفت: خدانگهدار.؛ روباه گفت: خدانگهدار.؛ و اما رازی که گفتم خیلی ساده است.؛ جز با چشم دل، هیچی را چنانکه باید نمی­شود دید.؛ نهاد و گوهر را، چشم سر نمی­بیند.؛ شهریار کوچولو، برای آن که یادش بماند، تکرار کرد: نهاد و گوهر را چشم سر نمی­بیند.؛ روباه گفت: ارزش گل تو، به قدری است، که پاش صرف کرده ای.؛ شهریار کوچولو، برای آنکه یادش بماند، تکرار کرد: ...؛ به قدر عمری است که پاش صرف کرده ام.؛ روباه گفت: آدم­ها این حقیقت را فراموش کرده اند، اما تو نباید فراموشش کنی.؛ تو تا زنده ای، نسبت به آنیکه اهلی کرده ای، مسئولی.؛ تو مسئول گلتی.؛ شهریار کوچولو برای آنکه یادش بماند، تکرار کرد: من مسئول گلمم.)؛ پایان نقلکنایه از: سیارک کوچک اگزوپری شاید همان خانه ی ایشان باشد و کنایه از گل سرخش در سیارک، همان همسر مهربانش، که در خانه بوده استتاریخ بهنگام رسانی 20/05/1399هجری خورشیدی؛ 04/05/1400هجری خورشیدی؛ ا. شربیانی"
9,"“And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”i find it almost impossible to write on this book at all, let alone extensively enough to constitute a review. it's just so lovely and wonderful, and it really seems like one of those books that reveals another facet with every reading.(it was just as delightful the second and third read as the first, and nearly as great in english as in french.)i just...love it.attempt at full review: https://emmareadstoomuch.wordpress.co..."
10,"Pero qué cosa tan más hermosa.Tengo un vago recuerdo de haberlo leído cuando estaba pequeña, pero ni de cerca me impactó como me ha impactado ahora. "
