,Reviews
1,"Tolkien first defines “Faerie” as a place, and a type of story. According to him, fairies are not required, but a belief in the other world typifies “Faerie.” This belief is not a mock-reality, of what he calls our “Primary Reality,” but a secondary reality, just as real. This is not a place to make-believe, but to truly believe, and here you find the reason children are more apt to like these stories. Children trust, and believe, without the complication of big words and deeper meanings to hide simple truth. However, Tolkien argues these stories are for adults too. This secondary world brings the person out of time here in this reality and into another, perhaps into a timeless reality (which we all may have experienced when we’ve had to go about our business after an hour of great fiction). He cites many stories, of which King Arthur and the Knights of the Round Table resonate in my memory and familiarity. He argues we are all “sub-creators,” created in the image of a Maker. Herein lies an argument for the existence of God, of which I’m not familiar in philosophical and apologetic circles, since I haven’t a clue of apologetics and philosophy. Imagine the implications of this though. Do you write, create people and worlds? What if they really exist? Are they real enough, or are they flat personalities in their world? Does their world have three dimensions? Four? Two? One? Are you taking care of your creation? Tolkien offers criticism of many stories and authors, including Chesterton and Shakespeare. Drama, he says, diametrically opposes Fantasy. He writes, “…tragedy is the true form of drama,” but refers to Fantasy as “Eucatastrophe,” which somehow means a happy ending always comes about. He also argues against the critics who call Fantasy an “escapist” practice. He says many other ways exist of escape that seem much more ridiculous, such as the escape into scientific endeavors leading to the creation of weapons of war, leading to destruction. Finally, in the last few pages, he comes to the crux of his argument, the final point, which centers on his Christian faith. He says all stories of fantasy and of Fairy (In German referred to as “Elf”) represent a deeper story, a real story of the Christ and his incarnation and death on the cross. He ends in beautiful words, which I took to mean Fantasy reveals the bliss and wonder of eternity in heaven as the understanding of the human race foreshadows what humanity will be like in heaven with resurrected bodies: “All tales may come true; and yet, at the last, redeemed, they may be as like and as unlike the forms that we give them as Man, finally redeemed, will be like and unlike the fallen that we know.” Tolkien’s essay helps me understand why The Lord of The Rings remains my favorite of all time. I share a spiritual world-view with Tolkien, and his trilogy strengthens me and gives me hope. I see warnings against evil choices in the person of Smeagol, who became corrupted and pitiful Gollum. I see greatness in smallness, a promise of honor in humility and denying personal dignity in Frodo, a tiny Hobbit, who carries the fate of the world around his neck. I see the true hero in the end, who remained invisible with Frodo and Sam both throughout their journey. I see Providence in the destruction of the ring (one of the best climaxes, if not the best climax ever!). I see the final victory of all good over all evil. Whenever I despair, I think of the Hobbits, and Tolkien’s world, and find comfort in, as Tolkien puts it, “the underlying reality.”   Although I’d find great pleasure in studying Tolkien, and learning of him that I may learn to be a better rookie writer, he tells (warns rather) writers to learn more from stories themselves than the analysis of the stories. This could also be phrased as, “you learn better by doing than talking,” or “experiencing rather than reading about it.”  I love the way Tolkien writes; how exquisite the language he uses. I appreciate his heart, his mind, and his faith. I can’t wait to meet him in the “secondary world” of Middle Earth when it becomes “Primary.”  I plan to read this essay again, many times over."
2,"It's hard to imagine a more thorough and accessible critical treatment of a single work than Flieger & Anderson put together here. There are not many short works so robust as Tolkien's original essay as to deserve a book-length treatment, and few of those have authors so popular that a mainstream publisher would take on the commercial risk of supporting such a book.Having grown up reading an oddly truncated (and partly incomprehensible) early draft version of the essay misprinted in an ancient copy of The Tolkien Reader, it was a joy to me to read the final version of ""On Fairy-Stories"" (included here and in The Monsters and the Critics), which turned out to be far clearer and more systematic than I thought. Flieger & Anderson demonstrate that this work is not the lucky product of a brilliant but scattered mind - an impression one easily derives from exposure to Tolkien's drafts - but a fully-formed contribution to literary and folklore studies, deserving of its watershed status in those fields. And of Flieger & Anderson's own contribution, nothing can be better said than this back-cover quote from the Cambridge Review: ""It goes far to explain the nature of [Tolkien's] art and justify his success."""
3,I read this for my Tolkien University class. That class was so much fun and I will never forget it.
4,Vidis li onaj uzan puteljak Sto uz planinu vjuga tamoTo je put u carstvo vila majusnihkud ti i ja nocas tumaramo <3 
5,"Loved it! I'm pleased to remark that our class readings for this semester are surprisingly interesting and enjoyable. This is something I would choose to read in my free time as well. Although I've never read Tolkien (just not my cup of tea), I found his musings on fairy tales very captivating and thought-provoking. "
6,"Well, this the first time I can say that an academic essay has made me cry. As Tolkien would say, it has whet my desire. (Floats away dreamily into a fantasy world)"
7,"A must read for anyone who loves fairy stories or tales of enchantment. An essay on the craftsmanship, delights and misapprehensions we have about tales in this genre. I particularly liked his evocation and description of 'eucatastrophe'.But the “consolation” of fairy-tales has another aspect than the imaginative satisfaction of ancient desires. Far more important is the Consolation of the Happy Ending. Almost I would venture to assert that all complete fairy-stories must have it. At least I would say that Tragedy is the true form of Drama, its highest function; but the opposite is true of Fairystory. Since we do not appear to possess a word that expresses this opposite—I will call it Eucatastrophe.Theeucatastrophic tale is the true form of fairy-tale, and its highest function. The consolation of fairy-stories, the joy of the happy ending: or more correctly of the good catastrophe, the sudden joyous “turn” (for there is no true end to any fairy-tale): this joy, which is one of the things which fairy-stories can produce supremely well, is not essentially “escapist,” nor “fugitive.” In its fairy-tale—or otherworld—setting, it is a sudden and miraculous grace.....Tolkien's love for magical stories pulsates through this essay. Why only two stars? Well, I don't share his enthusiasm for the subject. I know, I should have been able to enjoy his essay purely on the merits of his writing, but I wasn't prepared to put the work in to do so. The subject just didn't appeal enough. My bad."
8,"This is a really dense essay, and Tolkien has a habit of following intellectual rabbit trails. If you don't mind taking a long time to read a short piece, it is definitely worth the effort. He discusses not only the history, purpose and misconceptions of fairy tales, he also discusses with great passion and importance how they relate to the nature and soul of man. "
9,"“The Recovered Thing is not quite the same as the Thing-never-lost. It is often more precious. As Grace, recovered by repentance, is not the same as primitive Innocence, but is not necessarily a poorer or worse state.”"
10,A great essay on why those who think fairy-stories are for children are highly mistaken. 
11,"Read chunks in preparation to give a guest lecture in Michael Elam's course on Tolkien (January 2019). I read OFS for the first time about 10 years ago, probably in The Tolkien Reader."
12,I was incredibly excited to read this and was not in the least disappointed. It was delightful to look at fairy stories through the eyes of Tolkien. This is definitely not the last time I will read this essay.
